Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0099537~trans-synaptic signaling,143,8.583433373,9.30E-29,"ENSG00000149295, ENSG00000133424, ENSG00000179388, ENSG00000091664, ENSG00000158445, ENSG00000067715, ENSG00000138435, ENSG00000175866, ENSG00000183092, ENSG00000008056, ENSG00000163485, ENSG00000153707, ENSG00000124313, ENSG00000102003, ENSG00000168539, ENSG00000184985, ENSG00000167964, ENSG00000150394, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000181072, ENSG00000112038, ENSG00000164061, ENSG00000154118, ENSG00000186472, ENSG00000058335, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000123358, ENSG00000164588, ENSG00000107954, ENSG00000138814, ENSG00000109738, ENSG00000179603, ENSG00000116544, ENSG00000173227, ENSG00000177380, ENSG00000139182, ENSG00000075429, ENSG00000105642, ENSG00000105402, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000164082, ENSG00000075043, ENSG00000159224, ENSG00000158258, ENSG00000101327, ENSG00000188157, ENSG00000123454, ENSG00000149305, ENSG00000162105, ENSG00000128310, ENSG00000196083, ENSG00000130477, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000136854, ENSG00000080845, ENSG00000135643, ENSG00000149091, ENSG00000006116, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000165186, ENSG00000100302, ENSG00000183454, ENSG00000121361, ENSG00000058404, ENSG00000106089, ENSG00000164535, ENSG00000145335, ENSG00000106236, ENSG00000198010, ENSG00000176884, ENSG00000113327, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000169676, ENSG00000116032, ENSG00000070808, ENSG00000168748, ENSG00000166206, ENSG00000154146, ENSG00000177189, ENSG00000158109, ENSG00000115419, ENSG00000104888, ENSG00000132639, ENSG00000165917, ENSG00000198722, ENSG00000164270, ENSG00000173267, ENSG00000116106, ENSG00000171246, ENSG00000154822, ENSG00000111052, ENSG00000162374, ENSG00000006210, ENSG00000161681, ENSG00000117152, ENSG00000063015, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000129749, ENSG00000100321, ENSG00000182389, ENSG00000184845, ENSG00000185518, ENSG00000074317, ENSG00000188906, ENSG00000113749, ENSG00000129990, ENSG00000061918, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000134780, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000100678, ENSG00000142319, ENSG00000101489, ENSG00000184156, ENSG00000182256, ENSG00000163873, ENSG00000166501, ENSG00000166900",1168,654,14326,2.681886494,7.05E-25,7.05E-25,6.88E-25
GOTERM_BP_FAT,GO:0099536~synaptic signaling,144,8.643457383,2.74E-28,"ENSG00000149295, ENSG00000133424, ENSG00000179388, ENSG00000091664, ENSG00000158445, ENSG00000067715, ENSG00000138435, ENSG00000175866, ENSG00000183092, ENSG00000008056, ENSG00000163485, ENSG00000153707, ENSG00000124313, ENSG00000102003, ENSG00000168539, ENSG00000184985, ENSG00000167964, ENSG00000150394, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000181072, ENSG00000112038, ENSG00000164061, ENSG00000154118, ENSG00000186472, ENSG00000058335, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000123358, ENSG00000164588, ENSG00000107954, ENSG00000138814, ENSG00000109738, ENSG00000179603, ENSG00000116544, ENSG00000173227, ENSG00000177380, ENSG00000139182, ENSG00000075429, ENSG00000105642, ENSG00000105402, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000164082, ENSG00000075043, ENSG00000157168, ENSG00000159224, ENSG00000158258, ENSG00000101327, ENSG00000188157, ENSG00000123454, ENSG00000149305, ENSG00000162105, ENSG00000128310, ENSG00000196083, ENSG00000130477, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000136854, ENSG00000080845, ENSG00000135643, ENSG00000149091, ENSG00000006116, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000165186, ENSG00000100302, ENSG00000183454, ENSG00000121361, ENSG00000058404, ENSG00000106089, ENSG00000164535, ENSG00000145335, ENSG00000106236, ENSG00000198010, ENSG00000176884, ENSG00000113327, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000169676, ENSG00000116032, ENSG00000070808, ENSG00000168748, ENSG00000166206, ENSG00000154146, ENSG00000177189, ENSG00000158109, ENSG00000115419, ENSG00000104888, ENSG00000132639, ENSG00000165917, ENSG00000198722, ENSG00000164270, ENSG00000173267, ENSG00000116106, ENSG00000171246, ENSG00000154822, ENSG00000111052, ENSG00000162374, ENSG00000006210, ENSG00000161681, ENSG00000117152, ENSG00000063015, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000129749, ENSG00000100321, ENSG00000182389, ENSG00000184845, ENSG00000185518, ENSG00000074317, ENSG00000188906, ENSG00000113749, ENSG00000129990, ENSG00000061918, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000134780, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000100678, ENSG00000142319, ENSG00000101489, ENSG00000184156, ENSG00000182256, ENSG00000163873, ENSG00000166501, ENSG00000166900",1168,668,14326,2.644040686,2.08E-24,1.04E-24,1.02E-24
GOTERM_BP_FAT,GO:0007268~chemical synaptic transmission,139,8.343337335,2.80E-27,"ENSG00000149295, ENSG00000133424, ENSG00000179388, ENSG00000091664, ENSG00000158445, ENSG00000067715, ENSG00000138435, ENSG00000175866, ENSG00000183092, ENSG00000008056, ENSG00000163485, ENSG00000124313, ENSG00000102003, ENSG00000168539, ENSG00000184985, ENSG00000167964, ENSG00000150394, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000181072, ENSG00000112038, ENSG00000164061, ENSG00000154118, ENSG00000186472, ENSG00000058335, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000123358, ENSG00000164588, ENSG00000107954, ENSG00000138814, ENSG00000109738, ENSG00000179603, ENSG00000116544, ENSG00000173227, ENSG00000177380, ENSG00000139182, ENSG00000075429, ENSG00000105642, ENSG00000105402, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000164082, ENSG00000075043, ENSG00000159224, ENSG00000158258, ENSG00000101327, ENSG00000188157, ENSG00000123454, ENSG00000149305, ENSG00000162105, ENSG00000128310, ENSG00000130477, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000136854, ENSG00000080845, ENSG00000135643, ENSG00000149091, ENSG00000006116, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000165186, ENSG00000100302, ENSG00000183454, ENSG00000121361, ENSG00000058404, ENSG00000106089, ENSG00000145335, ENSG00000106236, ENSG00000198010, ENSG00000176884, ENSG00000113327, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000169676, ENSG00000116032, ENSG00000070808, ENSG00000168748, ENSG00000166206, ENSG00000154146, ENSG00000177189, ENSG00000158109, ENSG00000115419, ENSG00000104888, ENSG00000132639, ENSG00000165917, ENSG00000198722, ENSG00000164270, ENSG00000173267, ENSG00000116106, ENSG00000171246, ENSG00000154822, ENSG00000111052, ENSG00000162374, ENSG00000006210, ENSG00000161681, ENSG00000117152, ENSG00000063015, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000129749, ENSG00000100321, ENSG00000182389, ENSG00000184845, ENSG00000185518, ENSG00000074317, ENSG00000188906, ENSG00000113749, ENSG00000129990, ENSG00000061918, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000100678, ENSG00000142319, ENSG00000101489, ENSG00000184156, ENSG00000182256, ENSG00000163873, ENSG00000166501, ENSG00000166900",1168,645,14326,2.643243602,2.12E-23,5.31E-24,5.18E-24
GOTERM_BP_FAT,GO:0098916~anterograde trans-synaptic signaling,139,8.343337335,2.80E-27,"ENSG00000149295, ENSG00000133424, ENSG00000179388, ENSG00000091664, ENSG00000158445, ENSG00000067715, ENSG00000138435, ENSG00000175866, ENSG00000183092, ENSG00000008056, ENSG00000163485, ENSG00000124313, ENSG00000102003, ENSG00000168539, ENSG00000184985, ENSG00000167964, ENSG00000150394, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000181072, ENSG00000112038, ENSG00000164061, ENSG00000154118, ENSG00000186472, ENSG00000058335, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000123358, ENSG00000164588, ENSG00000107954, ENSG00000138814, ENSG00000109738, ENSG00000179603, ENSG00000116544, ENSG00000173227, ENSG00000177380, ENSG00000139182, ENSG00000075429, ENSG00000105642, ENSG00000105402, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000164082, ENSG00000075043, ENSG00000159224, ENSG00000158258, ENSG00000101327, ENSG00000188157, ENSG00000123454, ENSG00000149305, ENSG00000162105, ENSG00000128310, ENSG00000130477, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000136854, ENSG00000080845, ENSG00000135643, ENSG00000149091, ENSG00000006116, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000165186, ENSG00000100302, ENSG00000183454, ENSG00000121361, ENSG00000058404, ENSG00000106089, ENSG00000145335, ENSG00000106236, ENSG00000198010, ENSG00000176884, ENSG00000113327, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000169676, ENSG00000116032, ENSG00000070808, ENSG00000168748, ENSG00000166206, ENSG00000154146, ENSG00000177189, ENSG00000158109, ENSG00000115419, ENSG00000104888, ENSG00000132639, ENSG00000165917, ENSG00000198722, ENSG00000164270, ENSG00000173267, ENSG00000116106, ENSG00000171246, ENSG00000154822, ENSG00000111052, ENSG00000162374, ENSG00000006210, ENSG00000161681, ENSG00000117152, ENSG00000063015, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000129749, ENSG00000100321, ENSG00000182389, ENSG00000184845, ENSG00000185518, ENSG00000074317, ENSG00000188906, ENSG00000113749, ENSG00000129990, ENSG00000061918, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000100678, ENSG00000142319, ENSG00000101489, ENSG00000184156, ENSG00000182256, ENSG00000163873, ENSG00000166501, ENSG00000166900",1168,645,14326,2.643243602,2.12E-23,5.31E-24,5.18E-24
GOTERM_BP_FAT,GO:0050804~modulation of synaptic transmission,107,6.422569028,1.72E-23,"ENSG00000149295, ENSG00000133424, ENSG00000158445, ENSG00000067715, ENSG00000175866, ENSG00000183092, ENSG00000008056, ENSG00000163485, ENSG00000153707, ENSG00000124313, ENSG00000102003, ENSG00000184985, ENSG00000167964, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000181072, ENSG00000154118, ENSG00000058335, ENSG00000121297, ENSG00000145087, ENSG00000164588, ENSG00000107954, ENSG00000138814, ENSG00000153933, ENSG00000179603, ENSG00000116544, ENSG00000173227, ENSG00000177380, ENSG00000139182, ENSG00000075429, ENSG00000105402, ENSG00000070031, ENSG00000220205, ENSG00000106976, ENSG00000131759, ENSG00000164082, ENSG00000159224, ENSG00000158258, ENSG00000162105, ENSG00000130477, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000136854, ENSG00000080845, ENSG00000135643, ENSG00000149091, ENSG00000006116, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000183454, ENSG00000058404, ENSG00000106089, ENSG00000145335, ENSG00000106236, ENSG00000198010, ENSG00000176884, ENSG00000196358, ENSG00000006740, ENSG00000152413, ENSG00000169676, ENSG00000116032, ENSG00000008086, ENSG00000070808, ENSG00000168748, ENSG00000154146, ENSG00000158109, ENSG00000156564, ENSG00000132639, ENSG00000165917, ENSG00000198722, ENSG00000173267, ENSG00000116106, ENSG00000171246, ENSG00000154822, ENSG00000162374, ENSG00000006210, ENSG00000161681, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000100321, ENSG00000182389, ENSG00000184845, ENSG00000185518, ENSG00000188906, ENSG00000061918, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000101405, ENSG00000166342, ENSG00000100678, ENSG00000101489, ENSG00000184156, ENSG00000163873, ENSG00000166501, ENSG00000166900",1168,463,14326,2.834555016,1.30E-19,2.60E-20,2.54E-20
GOTERM_BP_FAT,GO:0007267~cell-cell signaling,212,12.72509004,3.48E-19,"ENSG00000149295, ENSG00000091664, ENSG00000179388, ENSG00000158445, ENSG00000183092, ENSG00000163485, ENSG00000143195, ENSG00000163249, ENSG00000124313, ENSG00000184985, ENSG00000167964, ENSG00000103056, ENSG00000150394, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000131650, ENSG00000268643, ENSG00000186472, ENSG00000186111, ENSG00000121297, ENSG00000145242, ENSG00000123358, ENSG00000164588, ENSG00000106588, ENSG00000177542, ENSG00000136999, ENSG00000138814, ENSG00000109738, ENSG00000179603, ENSG00000213927, ENSG00000105492, ENSG00000147655, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000075043, ENSG00000120738, ENSG00000163032, ENSG00000101327, ENSG00000164362, ENSG00000123454, ENSG00000036828, ENSG00000054356, ENSG00000101200, ENSG00000128310, ENSG00000196083, ENSG00000137825, ENSG00000136854, ENSG00000135643, ENSG00000006116, ENSG00000196639, ENSG00000221890, ENSG00000142185, ENSG00000100302, ENSG00000121361, ENSG00000183454, ENSG00000058404, ENSG00000141655, ENSG00000106089, ENSG00000164930, ENSG00000145335, ENSG00000198010, ENSG00000156453, ENSG00000159840, ENSG00000152413, ENSG00000168748, ENSG00000166206, ENSG00000154146, ENSG00000165917, ENSG00000139549, ENSG00000198722, ENSG00000164270, ENSG00000116106, ENSG00000154822, ENSG00000171246, ENSG00000081760, ENSG00000006210, ENSG00000161681, ENSG00000166573, ENSG00000129749, ENSG00000100321, ENSG00000182389, ENSG00000125266, ENSG00000185518, ENSG00000074317, ENSG00000188906, ENSG00000113749, ENSG00000099715, ENSG00000129990, ENSG00000061918, ENSG00000112658, ENSG00000070193, ENSG00000112655, ENSG00000134780, ENSG00000011347, ENSG00000119714, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000100678, ENSG00000186854, ENSG00000182256, ENSG00000091428, ENSG00000163873, ENSG00000166900, ENSG00000126368, ENSG00000089060, ENSG00000133424, ENSG00000196562, ENSG00000198742, ENSG00000198626, ENSG00000067715, ENSG00000138435, ENSG00000175866, ENSG00000138798, ENSG00000008056, ENSG00000153707, ENSG00000168772, ENSG00000102003, ENSG00000168539, ENSG00000184349, ENSG00000002746, ENSG00000126583, ENSG00000141837, ENSG00000118160, ENSG00000181072, ENSG00000164061, ENSG00000112038, ENSG00000154118, ENSG00000133794, ENSG00000154237, ENSG00000058335, ENSG00000145087, ENSG00000107954, ENSG00000174672, ENSG00000008710, ENSG00000116544, ENSG00000173227, ENSG00000003147, ENSG00000177380, ENSG00000139182, ENSG00000120332, ENSG00000075429, ENSG00000105642, ENSG00000151067, ENSG00000105402, ENSG00000132326, ENSG00000164082, ENSG00000157168, ENSG00000159224, ENSG00000158258, ENSG00000145506, ENSG00000188157, ENSG00000149305, ENSG00000162105, ENSG00000130477, ENSG00000132535, ENSG00000135925, ENSG00000133067, ENSG00000174576, ENSG00000080845, ENSG00000175426, ENSG00000149091, ENSG00000122733, ENSG00000165186, ENSG00000155090, ENSG00000164535, ENSG00000106236, ENSG00000176884, ENSG00000113327, ENSG00000150995, ENSG00000171873, ENSG00000111262, ENSG00000081803, ENSG00000123836, ENSG00000116032, ENSG00000169676, ENSG00000139174, ENSG00000070808, ENSG00000177291, ENSG00000139292, ENSG00000162009, ENSG00000101222, ENSG00000177189, ENSG00000158109, ENSG00000115419, ENSG00000104888, ENSG00000132639, ENSG00000173267, ENSG00000100604, ENSG00000111052, ENSG00000121743, ENSG00000162374, ENSG00000117152, ENSG00000063015, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000184845, ENSG00000006606, ENSG00000154096, ENSG00000156395, ENSG00000188191, ENSG00000151025, ENSG00000171532, ENSG00000185482, ENSG00000185002, ENSG00000142319, ENSG00000101489, ENSG00000184156, ENSG00000166501",1168,1430,14326,1.818368618,2.64E-15,4.40E-16,4.29E-16
GOTERM_BP_FAT,GO:0043269~regulation of ion transport,119,7.142857143,5.84E-17,"ENSG00000149295, ENSG00000213023, ENSG00000089060, ENSG00000064687, ENSG00000198626, ENSG00000158445, ENSG00000067715, ENSG00000138798, ENSG00000163485, ENSG00000168135, ENSG00000100346, ENSG00000143473, ENSG00000168539, ENSG00000102001, ENSG00000013016, ENSG00000002746, ENSG00000141837, ENSG00000178342, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000112038, ENSG00000154118, ENSG00000187048, ENSG00000102879, ENSG00000058335, ENSG00000186115, ENSG00000184611, ENSG00000164588, ENSG00000178752, ENSG00000177301, ENSG00000138814, ENSG00000156486, ENSG00000162728, ENSG00000173227, ENSG00000089327, ENSG00000162975, ENSG00000088992, ENSG00000187116, ENSG00000072954, ENSG00000075429, ENSG00000151067, ENSG00000090020, ENSG00000070159, ENSG00000132326, ENSG00000156113, ENSG00000175497, ENSG00000220205, ENSG00000164082, ENSG00000075043, ENSG00000069966, ENSG00000145349, ENSG00000115041, ENSG00000182450, ENSG00000036828, ENSG00000101200, ENSG00000125510, ENSG00000127533, ENSG00000132535, ENSG00000069535, ENSG00000188580, ENSG00000136854, ENSG00000006116, ENSG00000184261, ENSG00000183454, ENSG00000121361, ENSG00000058404, ENSG00000122691, ENSG00000141655, ENSG00000145335, ENSG00000176884, ENSG00000069424, ENSG00000099337, ENSG00000157782, ENSG00000081248, ENSG00000157542, ENSG00000111262, ENSG00000081923, ENSG00000118520, ENSG00000152413, ENSG00000143786, ENSG00000198929, ENSG00000116032, ENSG00000160460, ENSG00000070808, ENSG00000162365, ENSG00000221946, ENSG00000168748, ENSG00000162763, ENSG00000104369, ENSG00000198049, ENSG00000137801, ENSG00000173267, ENSG00000164794, ENSG00000006210, ENSG00000151704, ENSG00000161681, ENSG00000117152, ENSG00000139780, ENSG00000185774, ENSG00000102468, ENSG00000182389, ENSG00000184845, ENSG00000185933, ENSG00000026559, ENSG00000129990, ENSG00000135519, ENSG00000154096, ENSG00000121905, ENSG00000011347, ENSG00000185482, ENSG00000101405, ENSG00000166342, ENSG00000185760, ENSG00000089356, ENSG00000184156, ENSG00000182255, ENSG00000140015, ENSG00000166501",1168,659,14326,2.214846592,8.42E-13,6.33E-14,6.18E-14
GOTERM_BP_FAT,GO:0050808~synapse organization,78,4.681872749,1.11E-15,"ENSG00000149295, ENSG00000196083, ENSG00000130477, ENSG00000133424, ENSG00000132535, ENSG00000137825, ENSG00000149571, ENSG00000174576, ENSG00000175866, ENSG00000138435, ENSG00000008056, ENSG00000198739, ENSG00000166159, ENSG00000153707, ENSG00000151208, ENSG00000134072, ENSG00000183098, ENSG00000121440, ENSG00000121361, ENSG00000058404, ENSG00000184349, ENSG00000145335, ENSG00000113327, ENSG00000118160, ENSG00000081248, ENSG00000075340, ENSG00000196358, ENSG00000171992, ENSG00000164061, ENSG00000006740, ENSG00000173898, ENSG00000072071, ENSG00000186472, ENSG00000160460, ENSG00000118407, ENSG00000189108, ENSG00000091129, ENSG00000101463, ENSG00000166206, ENSG00000107954, ENSG00000132639, ENSG00000165917, ENSG00000109738, ENSG00000196189, ENSG00000070182, ENSG00000004399, ENSG00000198722, ENSG00000110400, ENSG00000173267, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000040731, ENSG00000006210, ENSG00000117154, ENSG00000161681, ENSG00000063015, ENSG00000187672, ENSG00000184564, ENSG00000177380, ENSG00000139182, ENSG00000182389, ENSG00000125266, ENSG00000184845, ENSG00000105376, ENSG00000172260, ENSG00000074317, ENSG00000188906, ENSG00000112655, ENSG00000157168, ENSG00000158258, ENSG00000171532, ENSG00000101405, ENSG00000100678, ENSG00000188157, ENSG00000108797, ENSG00000162105, ENSG00000169933",1168,357,14326,2.679837689,8.42E-12,1.05E-12,1.03E-12
GOTERM_BP_FAT,GO:0048167~regulation of synaptic plasticity,51,3.06122449,2.44E-13,"ENSG00000149295, ENSG00000133424, ENSG00000132535, ENSG00000137825, ENSG00000174576, ENSG00000158445, ENSG00000136854, ENSG00000175866, ENSG00000196639, ENSG00000163485, ENSG00000124313, ENSG00000183454, ENSG00000058404, ENSG00000102003, ENSG00000184985, ENSG00000145335, ENSG00000126583, ENSG00000176884, ENSG00000118160, ENSG00000198576, ENSG00000154118, ENSG00000169676, ENSG00000058335, ENSG00000070808, ENSG00000121297, ENSG00000154146, ENSG00000107954, ENSG00000132639, ENSG00000116106, ENSG00000173227, ENSG00000006210, ENSG00000187672, ENSG00000079841, ENSG00000177380, ENSG00000100321, ENSG00000184845, ENSG00000070031, ENSG00000220205, ENSG00000131759, ENSG00000112658, ENSG00000156395, ENSG00000188191, ENSG00000164082, ENSG00000159224, ENSG00000171532, ENSG00000011347, ENSG00000166342, ENSG00000100678, ENSG00000184156, ENSG00000166900, ENSG00000162105",1168,198,14326,3.15927252,1.85E-09,2.05E-10,2.00E-10
GOTERM_BP_FAT,GO:0003008~system process,205,12.30492197,3.73E-12,"ENSG00000149295, ENSG00000109956, ENSG00000110148, ENSG00000163914, ENSG00000133020, ENSG00000114861, ENSG00000163485, ENSG00000174808, ENSG00000100346, ENSG00000086991, ENSG00000013016, ENSG00000102076, ENSG00000198576, ENSG00000196277, ENSG00000142408, ENSG00000198336, ENSG00000189181, ENSG00000170340, ENSG00000173976, ENSG00000155719, ENSG00000121297, ENSG00000104490, ENSG00000123358, ENSG00000186115, ENSG00000166402, ENSG00000164588, ENSG00000107798, ENSG00000196182, ENSG00000177301, ENSG00000136999, ENSG00000138814, ENSG00000109738, ENSG00000156804, ENSG00000179603, ENSG00000156113, ENSG00000070031, ENSG00000086717, ENSG00000145349, ENSG00000101327, ENSG00000182450, ENSG00000123454, ENSG00000036828, ENSG00000101200, ENSG00000125510, ENSG00000164128, ENSG00000128310, ENSG00000060718, ENSG00000135643, ENSG00000006116, ENSG00000196639, ENSG00000121361, ENSG00000183454, ENSG00000058404, ENSG00000149256, ENSG00000144488, ENSG00000106511, ENSG00000106631, ENSG00000157782, ENSG00000132386, ENSG00000065989, ENSG00000152413, ENSG00000198929, ENSG00000086300, ENSG00000160460, ENSG00000180616, ENSG00000167419, ENSG00000166206, ENSG00000196071, ENSG00000154146, ENSG00000198049, ENSG00000198963, ENSG00000164270, ENSG00000171368, ENSG00000137486, ENSG00000260234, ENSG00000139304, ENSG00000253148, ENSG00000161681, ENSG00000166573, ENSG00000184564, ENSG00000129749, ENSG00000186862, ENSG00000182389, ENSG00000180745, ENSG00000103034, ENSG00000135517, ENSG00000113749, ENSG00000106536, ENSG00000109927, ENSG00000061918, ENSG00000112658, ENSG00000070193, ENSG00000111684, ENSG00000170961, ENSG00000170289, ENSG00000101405, ENSG00000166342, ENSG00000186297, ENSG00000163075, ENSG00000100678, ENSG00000157087, ENSG00000182256, ENSG00000196091, ENSG00000134755, ENSG00000133424, ENSG00000196562, ENSG00000075213, ENSG00000138315, ENSG00000064687, ENSG00000198626, ENSG00000138435, ENSG00000141052, ENSG00000151090, ENSG00000186642, ENSG00000168539, ENSG00000102001, ENSG00000126583, ENSG00000178342, ENSG00000118160, ENSG00000048740, ENSG00000181072, ENSG00000129170, ENSG00000112038, ENSG00000154118, ENSG00000137474, ENSG00000187048, ENSG00000165272, ENSG00000058335, ENSG00000152969, ENSG00000103569, ENSG00000091129, ENSG00000078725, ENSG00000188937, ENSG00000100053, ENSG00000175084, ENSG00000139988, ENSG00000089847, ENSG00000072954, ENSG00000075429, ENSG00000095397, ENSG00000151067, ENSG00000090020, ENSG00000132326, ENSG00000244752, ENSG00000159224, ENSG00000158258, ENSG00000123977, ENSG00000101842, ENSG00000149305, ENSG00000162105, ENSG00000130598, ENSG00000132535, ENSG00000242866, ENSG00000172399, ENSG00000166391, ENSG00000174576, ENSG00000122733, ENSG00000165186, ENSG00000105392, ENSG00000146147, ENSG00000102683, ENSG00000181656, ENSG00000106236, ENSG00000204060, ENSG00000176884, ENSG00000198771, ENSG00000113327, ENSG00000099337, ENSG00000150995, ENSG00000081248, ENSG00000171873, ENSG00000111262, ENSG00000081923, ENSG00000189143, ENSG00000169676, ENSG00000101349, ENSG00000015520, ENSG00000162365, ENSG00000184933, ENSG00000068024, ENSG00000115419, ENSG00000132639, ENSG00000177628, ENSG00000100604, ENSG00000121743, ENSG00000162374, ENSG00000151704, ENSG00000117152, ENSG00000079841, ENSG00000103316, ENSG00000102468, ENSG00000107593, ENSG00000184845, ENSG00000185933, ENSG00000156395, ENSG00000188191, ENSG00000151025, ENSG00000171532, ENSG00000197901, ENSG00000185482, ENSG00000142319, ENSG00000184156, ENSG00000108797, ENSG00000165899, ENSG00000166866",1168,1580,14326,1.591398257,2.83E-08,2.83E-09,2.76E-09
