Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007186~G-protein coupled receptor signaling pathway,99,6.40776699,1.09E-11,"ENSG00000160801, ENSG00000110148, ENSG00000163914, ENSG00000169220, ENSG00000163485, ENSG00000186642, ENSG00000102003, ENSG00000168539, ENSG00000109158, ENSG00000196277, ENSG00000131096, ENSG00000189181, ENSG00000154478, ENSG00000135973, ENSG00000121853, ENSG00000166368, ENSG00000156097, ENSG00000147145, ENSG00000179841, ENSG00000102780, ENSG00000109738, ENSG00000153933, ENSG00000156920, ENSG00000117114, ENSG00000160791, ENSG00000256574, ENSG00000155269, ENSG00000043591, ENSG00000152034, ENSG00000156234, ENSG00000177275, ENSG00000092445, ENSG00000112218, ENSG00000204882, ENSG00000164082, ENSG00000159224, ENSG00000167754, ENSG00000121314, ENSG00000120500, ENSG00000157680, ENSG00000036828, ENSG00000108352, ENSG00000169418, ENSG00000125510, ENSG00000164128, ENSG00000197177, ENSG00000152822, ENSG00000149091, ENSG00000163285, ENSG00000196639, ENSG00000122733, ENSG00000183695, ENSG00000238243, ENSG00000181656, ENSG00000182901, ENSG00000108018, ENSG00000114812, ENSG00000150995, ENSG00000171631, ENSG00000170820, ENSG00000152413, ENSG00000139053, ENSG00000070808, ENSG00000171509, ENSG00000162009, ENSG00000121377, ENSG00000184933, ENSG00000166206, ENSG00000196071, ENSG00000181963, ENSG00000105974, ENSG00000146360, ENSG00000132911, ENSG00000105976, ENSG00000153294, ENSG00000198963, ENSG00000151834, ENSG00000179921, ENSG00000135346, ENSG00000137642, ENSG00000006210, ENSG00000117152, ENSG00000186188, ENSG00000091831, ENSG00000102468, ENSG00000182389, ENSG00000106018, ENSG00000188906, ENSG00000113749, ENSG00000065325, ENSG00000134780, ENSG00000151025, ENSG00000056291, ENSG00000121753, ENSG00000186297, ENSG00000054277, ENSG00000179097, ENSG00000091428, ENSG00000166501",1022,679,14269,2.035673216,7.96E-08,7.96E-08,7.89E-08
GOTERM_BP_FAT,GO:0099536~synaptic signaling,95,6.148867314,1.22E-10,"ENSG00000196083, ENSG00000132535, ENSG00000070087, ENSG00000137825, ENSG00000179388, ENSG00000091664, ENSG00000169220, ENSG00000174576, ENSG00000152822, ENSG00000158445, ENSG00000067715, ENSG00000117016, ENSG00000149091, ENSG00000175866, ENSG00000163285, ENSG00000183092, ENSG00000221890, ENSG00000196639, ENSG00000163485, ENSG00000122733, ENSG00000153707, ENSG00000183691, ENSG00000124313, ENSG00000106089, ENSG00000102003, ENSG00000168539, ENSG00000109158, ENSG00000106236, ENSG00000198010, ENSG00000126583, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000164061, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000070808, ENSG00000003393, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000168748, ENSG00000167535, ENSG00000166206, ENSG00000179841, ENSG00000154146, ENSG00000177189, ENSG00000138814, ENSG00000198400, ENSG00000104888, ENSG00000109738, ENSG00000020129, ENSG00000151834, ENSG00000198722, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000006210, ENSG00000111052, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000146242, ENSG00000182389, ENSG00000102385, ENSG00000185518, ENSG00000188906, ENSG00000113749, ENSG00000101040, ENSG00000131759, ENSG00000112658, ENSG00000075043, ENSG00000164082, ENSG00000134780, ENSG00000159224, ENSG00000157168, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000171408, ENSG00000157680, ENSG00000006283, ENSG00000186297, ENSG00000184156, ENSG00000147642, ENSG00000179097, ENSG00000166501, ENSG00000149305",1022,668,14269,1.985590951,8.92E-07,4.46E-07,4.42E-07
GOTERM_BP_FAT,GO:0099537~trans-synaptic signaling,93,6.019417476,1.99E-10,"ENSG00000196083, ENSG00000132535, ENSG00000070087, ENSG00000137825, ENSG00000179388, ENSG00000091664, ENSG00000169220, ENSG00000174576, ENSG00000152822, ENSG00000158445, ENSG00000067715, ENSG00000117016, ENSG00000149091, ENSG00000175866, ENSG00000163285, ENSG00000183092, ENSG00000221890, ENSG00000196639, ENSG00000163485, ENSG00000122733, ENSG00000153707, ENSG00000183691, ENSG00000124313, ENSG00000106089, ENSG00000102003, ENSG00000168539, ENSG00000109158, ENSG00000106236, ENSG00000198010, ENSG00000126583, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000164061, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000070808, ENSG00000003393, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000168748, ENSG00000167535, ENSG00000166206, ENSG00000179841, ENSG00000154146, ENSG00000177189, ENSG00000138814, ENSG00000198400, ENSG00000104888, ENSG00000109738, ENSG00000020129, ENSG00000151834, ENSG00000198722, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000006210, ENSG00000111052, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000146242, ENSG00000182389, ENSG00000185518, ENSG00000188906, ENSG00000113749, ENSG00000101040, ENSG00000131759, ENSG00000112658, ENSG00000075043, ENSG00000164082, ENSG00000134780, ENSG00000159224, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000171408, ENSG00000157680, ENSG00000006283, ENSG00000186297, ENSG00000184156, ENSG00000147642, ENSG00000179097, ENSG00000166501, ENSG00000149305",1022,654,14269,1.985399199,1.45E-06,4.84E-07,4.79E-07
GOTERM_BP_FAT,GO:0007268~chemical synaptic transmission,90,5.825242718,1.07E-09,"ENSG00000132535, ENSG00000070087, ENSG00000137825, ENSG00000179388, ENSG00000091664, ENSG00000169220, ENSG00000174576, ENSG00000152822, ENSG00000158445, ENSG00000067715, ENSG00000117016, ENSG00000149091, ENSG00000175866, ENSG00000163285, ENSG00000183092, ENSG00000221890, ENSG00000196639, ENSG00000163485, ENSG00000122733, ENSG00000183691, ENSG00000124313, ENSG00000106089, ENSG00000102003, ENSG00000168539, ENSG00000109158, ENSG00000106236, ENSG00000198010, ENSG00000126583, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000164061, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000070808, ENSG00000003393, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000168748, ENSG00000167535, ENSG00000166206, ENSG00000179841, ENSG00000154146, ENSG00000177189, ENSG00000138814, ENSG00000198400, ENSG00000104888, ENSG00000109738, ENSG00000020129, ENSG00000151834, ENSG00000198722, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000006210, ENSG00000111052, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000146242, ENSG00000182389, ENSG00000185518, ENSG00000188906, ENSG00000113749, ENSG00000101040, ENSG00000131759, ENSG00000112658, ENSG00000075043, ENSG00000164082, ENSG00000159224, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000171408, ENSG00000157680, ENSG00000006283, ENSG00000186297, ENSG00000184156, ENSG00000147642, ENSG00000179097, ENSG00000166501, ENSG00000149305",1022,645,14269,1.948163655,7.85E-06,1.57E-06,1.56E-06
GOTERM_BP_FAT,GO:0098916~anterograde trans-synaptic signaling,90,5.825242718,1.07E-09,"ENSG00000132535, ENSG00000070087, ENSG00000137825, ENSG00000179388, ENSG00000091664, ENSG00000169220, ENSG00000174576, ENSG00000152822, ENSG00000158445, ENSG00000067715, ENSG00000117016, ENSG00000149091, ENSG00000175866, ENSG00000163285, ENSG00000183092, ENSG00000221890, ENSG00000196639, ENSG00000163485, ENSG00000122733, ENSG00000183691, ENSG00000124313, ENSG00000106089, ENSG00000102003, ENSG00000168539, ENSG00000109158, ENSG00000106236, ENSG00000198010, ENSG00000126583, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000164061, ENSG00000111262, ENSG00000152413, ENSG00000081803, ENSG00000070808, ENSG00000003393, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000168748, ENSG00000167535, ENSG00000166206, ENSG00000179841, ENSG00000154146, ENSG00000177189, ENSG00000138814, ENSG00000198400, ENSG00000104888, ENSG00000109738, ENSG00000020129, ENSG00000151834, ENSG00000198722, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000006210, ENSG00000111052, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000146242, ENSG00000182389, ENSG00000185518, ENSG00000188906, ENSG00000113749, ENSG00000101040, ENSG00000131759, ENSG00000112658, ENSG00000075043, ENSG00000164082, ENSG00000159224, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000171408, ENSG00000157680, ENSG00000006283, ENSG00000186297, ENSG00000184156, ENSG00000147642, ENSG00000179097, ENSG00000166501, ENSG00000149305",1022,645,14269,1.948163655,7.85E-06,1.57E-06,1.56E-06
GOTERM_BP_FAT,GO:0007267~cell-cell signaling,161,10.42071197,2.63E-09,"ENSG00000179388, ENSG00000091664, ENSG00000169220, ENSG00000198626, ENSG00000158445, ENSG00000067715, ENSG00000156427, ENSG00000175866, ENSG00000183092, ENSG00000138792, ENSG00000163485, ENSG00000153707, ENSG00000168772, ENSG00000163249, ENSG00000124313, ENSG00000102003, ENSG00000168539, ENSG00000184349, ENSG00000109158, ENSG00000002746, ENSG00000126583, ENSG00000160932, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000164061, ENSG00000131650, ENSG00000133794, ENSG00000154237, ENSG00000121853, ENSG00000003393, ENSG00000186111, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000107485, ENSG00000179841, ENSG00000106588, ENSG00000136999, ENSG00000138814, ENSG00000174672, ENSG00000198400, ENSG00000109738, ENSG00000020129, ENSG00000198643, ENSG00000196468, ENSG00000116544, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000166257, ENSG00000160791, ENSG00000105492, ENSG00000102385, ENSG00000147655, ENSG00000101040, ENSG00000156234, ENSG00000132326, ENSG00000131759, ENSG00000171056, ENSG00000164082, ENSG00000120738, ENSG00000075043, ENSG00000157168, ENSG00000159224, ENSG00000261594, ENSG00000157680, ENSG00000164362, ENSG00000036828, ENSG00000147642, ENSG00000054356, ENSG00000101200, ENSG00000140332, ENSG00000149305, ENSG00000196083, ENSG00000132535, ENSG00000105711, ENSG00000070087, ENSG00000137825, ENSG00000135925, ENSG00000174576, ENSG00000152822, ENSG00000115596, ENSG00000117016, ENSG00000112761, ENSG00000175426, ENSG00000149091, ENSG00000163285, ENSG00000221890, ENSG00000196639, ENSG00000122733, ENSG00000183691, ENSG00000125726, ENSG00000141655, ENSG00000106089, ENSG00000162992, ENSG00000072657, ENSG00000101076, ENSG00000155090, ENSG00000106236, ENSG00000198010, ENSG00000156453, ENSG00000150995, ENSG00000111262, ENSG00000139610, ENSG00000152413, ENSG00000081803, ENSG00000139174, ENSG00000070808, ENSG00000183682, ENSG00000142615, ENSG00000101222, ENSG00000162009, ENSG00000168748, ENSG00000167535, ENSG00000166206, ENSG00000154146, ENSG00000177189, ENSG00000105974, ENSG00000132911, ENSG00000104888, ENSG00000139549, ENSG00000151834, ENSG00000198722, ENSG00000116106, ENSG00000171246, ENSG00000135346, ENSG00000188760, ENSG00000111052, ENSG00000121743, ENSG00000006210, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000186188, ENSG00000102468, ENSG00000146242, ENSG00000182389, ENSG00000185518, ENSG00000106018, ENSG00000188906, ENSG00000113749, ENSG00000112658, ENSG00000114315, ENSG00000070193, ENSG00000112655, ENSG00000134780, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000185482, ENSG00000171408, ENSG00000185002, ENSG00000006283, ENSG00000186297, ENSG00000188910, ENSG00000184156, ENSG00000179097, ENSG00000091428, ENSG00000166501, ENSG00000126368",1022,1427,14269,1.57523207,1.92E-05,3.20E-06,3.17E-06
GOTERM_BP_FAT,GO:0030001~metal ion transport,104,6.731391586,3.20E-09,"ENSG00000091664, ENSG00000171385, ENSG00000065534, ENSG00000198626, ENSG00000158445, ENSG00000163485, ENSG00000168135, ENSG00000100346, ENSG00000143473, ENSG00000169507, ENSG00000102001, ENSG00000002746, ENSG00000102471, ENSG00000100170, ENSG00000066230, ENSG00000011083, ENSG00000118160, ENSG00000139890, ENSG00000164626, ENSG00000184611, ENSG00000179841, ENSG00000198363, ENSG00000138814, ENSG00000162728, ENSG00000172139, ENSG00000111012, ENSG00000092051, ENSG00000166257, ENSG00000089327, ENSG00000160791, ENSG00000148346, ENSG00000072954, ENSG00000124134, ENSG00000070159, ENSG00000100191, ENSG00000138821, ENSG00000158014, ENSG00000075043, ENSG00000137731, ENSG00000089558, ENSG00000115041, ENSG00000036828, ENSG00000125510, ENSG00000105711, ENSG00000184261, ENSG00000115194, ENSG00000227877, ENSG00000169427, ENSG00000072315, ENSG00000182901, ENSG00000099337, ENSG00000103888, ENSG00000157782, ENSG00000150995, ENSG00000081248, ENSG00000116039, ENSG00000111262, ENSG00000171631, ENSG00000152413, ENSG00000070808, ENSG00000163975, ENSG00000124249, ENSG00000221946, ENSG00000167535, ENSG00000105974, ENSG00000132911, ENSG00000104888, ENSG00000135740, ENSG00000174236, ENSG00000171126, ENSG00000169282, ENSG00000130054, ENSG00000139540, ENSG00000164794, ENSG00000006210, ENSG00000151704, ENSG00000117152, ENSG00000139780, ENSG00000147454, ENSG00000185774, ENSG00000102468, ENSG00000164715, ENSG00000107593, ENSG00000182389, ENSG00000104361, ENSG00000185933, ENSG00000026559, ENSG00000266964, ENSG00000134827, ENSG00000135519, ENSG00000114315, ENSG00000135750, ENSG00000121905, ENSG00000197106, ENSG00000165091, ENSG00000185482, ENSG00000006283, ENSG00000185760, ENSG00000157087, ENSG00000089356, ENSG00000184156, ENSG00000182255, ENSG00000140015, ENSG00000166501",1022,804,14269,1.806009093,2.34E-05,3.34E-06,3.31E-06
GOTERM_BP_FAT,GO:0006813~potassium ion transport,43,2.783171521,6.60E-09,"ENSG00000105974, ENSG00000104888, ENSG00000091664, ENSG00000162728, ENSG00000135740, ENSG00000171385, ENSG00000169282, ENSG00000172139, ENSG00000171126, ENSG00000158445, ENSG00000164794, ENSG00000163485, ENSG00000184261, ENSG00000151704, ENSG00000117152, ENSG00000168135, ENSG00000185774, ENSG00000102468, ENSG00000107593, ENSG00000143473, ENSG00000072954, ENSG00000124134, ENSG00000169427, ENSG00000026559, ENSG00000066230, ENSG00000266964, ENSG00000182901, ENSG00000099337, ENSG00000135519, ENSG00000135750, ENSG00000075043, ENSG00000111262, ENSG00000137731, ENSG00000089558, ENSG00000115041, ENSG00000185760, ENSG00000089356, ENSG00000184156, ENSG00000164626, ENSG00000182255, ENSG00000124249, ENSG00000140015, ENSG00000184611",1022,224,14269,2.680174553,4.82E-05,6.03E-06,5.97E-06
GOTERM_BP_FAT,GO:0050804~modulation of synaptic transmission,69,4.466019417,1.28E-08,"ENSG00000128594, ENSG00000132535, ENSG00000070087, ENSG00000137825, ENSG00000169220, ENSG00000174576, ENSG00000152822, ENSG00000158445, ENSG00000067715, ENSG00000117016, ENSG00000149091, ENSG00000175866, ENSG00000183092, ENSG00000221890, ENSG00000196639, ENSG00000163485, ENSG00000122733, ENSG00000153707, ENSG00000183691, ENSG00000124313, ENSG00000106089, ENSG00000102003, ENSG00000106236, ENSG00000198010, ENSG00000126583, ENSG00000118160, ENSG00000198576, ENSG00000196277, ENSG00000152413, ENSG00000008086, ENSG00000070808, ENSG00000121297, ENSG00000145087, ENSG00000108852, ENSG00000168748, ENSG00000179841, ENSG00000154146, ENSG00000138814, ENSG00000176697, ENSG00000198400, ENSG00000020129, ENSG00000198722, ENSG00000153933, ENSG00000116106, ENSG00000116544, ENSG00000171246, ENSG00000092051, ENSG00000173227, ENSG00000122877, ENSG00000006210, ENSG00000117152, ENSG00000187672, ENSG00000079841, ENSG00000102468, ENSG00000182389, ENSG00000185518, ENSG00000188906, ENSG00000101040, ENSG00000131759, ENSG00000112658, ENSG00000164082, ENSG00000159224, ENSG00000151025, ENSG00000171532, ENSG00000011347, ENSG00000157680, ENSG00000184156, ENSG00000147642, ENSG00000166501",1022,467,14269,2.062884213,9.34E-05,1.04E-05,1.03E-05
GOTERM_BP_FAT,GO:0071805~potassium ion transmembrane transport,39,2.524271845,1.80E-08,"ENSG00000105974, ENSG00000104888, ENSG00000091664, ENSG00000162728, ENSG00000135740, ENSG00000171385, ENSG00000169282, ENSG00000172139, ENSG00000171126, ENSG00000158445, ENSG00000164794, ENSG00000184261, ENSG00000151704, ENSG00000117152, ENSG00000168135, ENSG00000185774, ENSG00000107593, ENSG00000143473, ENSG00000072954, ENSG00000124134, ENSG00000169427, ENSG00000026559, ENSG00000066230, ENSG00000182901, ENSG00000099337, ENSG00000135519, ENSG00000135750, ENSG00000075043, ENSG00000111262, ENSG00000137731, ENSG00000089558, ENSG00000115041, ENSG00000185760, ENSG00000184156, ENSG00000164626, ENSG00000182255, ENSG00000124249, ENSG00000140015, ENSG00000184611",1022,198,14269,2.750059301,1.31E-04,1.16E-05,1.15E-05
