gene	symbol
ENSG00000099381	SETD1A
ENSG00000055130	CUL1
ENSG00000130227	XPO7
ENSG00000038382	TRIO
ENSG00000006283	CACNA1G
ENSG00000105866	SP4
ENSG00000125675	GRIA3
ENSG00000183454	GRIN2A
ENSG00000103657	HERC1
ENSG00000023287	RB1CC1
ENSG00000138622	HCN4
ENSG00000023516	AKAP11
ENSG00000196646	ZNF136
ENSG00000167978	SRRM2
ENSG00000151623	NR3C2
ENSG00000121741	ZMYM2
ENSG00000048828	FAM120A
ENSG00000119906	SLF2
ENSG00000132510	KDM6B
ENSG00000197959	DNM3
ENSG00000116539	ASH1L
ENSG00000118007	STAG1
ENSG00000168298	HIST1H1E
ENSG00000085377	PREP
ENSG00000155495	MAGEC1
ENSG00000187391	MAGI2
ENSG00000134780	DAGLA
ENSG00000181927	OR4P4
ENSG00000168065	SLC22A11
ENSG00000101745	ANKRD12
ENSG00000159164	SV2A
ENSG00000130741	EIF2S3
