Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1684804917969811	0.2002224151656757	0.025977377518010884	1.188401179448975	0.15418626359017049	0.23303613159374534	3.0264667400100984e-09	5.557882442069385e-09	0.5445359400015024
Astro_dev-2.lvl2.100UP_100DOWN	0.15833145869788073	0.17535375704442036	0.02574520516976673	1.1075105256184157	0.16260322099913382	0.5142275380428547	5.884713869418938e-11	5.641561697274917e-09	0.010431001529703153
Astro_dev-3.lvl2.100UP_100DOWN	0.13564526629804707	0.16387601006561683	0.026099772135659647	1.2081218500138415	0.1924119642945138	0.2881113764910265	4.849818265529645e-09	6.613862006702016e-09	0.733280836614853
Astro_dev-4.lvl2.100UP_100DOWN	0.12923107737941564	0.14717393523468367	0.02322790975944306	1.1388432118583114	0.1797393493149263	0.4427985316741667	2.2344198010647e-09	6.06506705827591e-09	0.36840809501286353
Astro_dev-5.lvl2.100UP_100DOWN	0.08931769811877187	0.11988097238721956	0.019831511932357496	1.3421860942699801	0.22203339707642458	0.1295460448054311	9.244024514220359e-09	7.489210657154759e-09	1.2343122576461583
Astro_GFAP.lvl2.100UP_100DOWN	0.17242938831190377	0.19570909828674776	0.024705972181504488	1.1350101058917743	0.14328167850838971	0.352645432973687	1.4555818886969e-09	5.113404549389937e-09	0.28466002926964984
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16268648428938065	0.21672712726634583	0.025111753381767764	1.3321765985233271	0.15435672785884236	0.033282393726081494	8.781587233707873e-09	5.505021231852085e-09	1.5951958882370076
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1709187760299633	0.22307673131717123	0.025276744480340202	1.3051622326037735	0.14788746483832182	0.04396660101204397	7.61724135478861e-09	5.307098263278e-09	1.4352930691891352
BKGR_NRGN.lvl2.100UP_100DOWN	0.11975540326973329	0.12297165687816666	0.024620708229567818	1.026856855896424	0.205591627244684	0.8951334209042654	-8.482904258384509e-10	6.734348286801287e-09	-0.12596473923111806
CCK_RELN.lvl2.100UP_100DOWN	0.15808872066656837	0.19179336806657382	0.021820528088506486	1.2132008359476407	0.13802710273384455	0.13788606635837883	6.733908642317015e-09	5.019478011871334e-09	1.3415555614330734
CCK_SORCS1.lvl2.100UP_100DOWN	0.169562160646948	0.17350930229246786	0.021587648935410896	1.023278434471818	0.12731407085782176	0.8552016172965595	4.1948651824217996e-10	4.5422452105347405e-09	0.09235223965215993
CCK_SYT6.lvl2.100UP_100DOWN	0.1479744123584021	0.1902519456126311	0.023692146952511137	1.285708404449213	0.16010975529422927	0.07931198593496684	9.325726397369978e-09	5.632780417745029e-09	1.6556168900159873
CGE_dev.lvl2.100UP_100DOWN	0.13818000828362403	0.14857758452894437	0.024412615160775412	1.0752466031408725	0.1766725553429323	0.6703439543897829	9.261983698249424e-10	6.068049128873797e-09	0.15263527867923518
ID2_CSMD1.lvl2.100UP_100DOWN	0.17049520068161242	0.18360621272212246	0.022508377366697516	1.0768995959305265	0.1320176595981156	0.5647029451249916	2.831116436397894e-09	4.6199368971446775e-09	0.6128041355170126
ID2_dev.lvl2.100UP_100DOWN	0.14579044108704364	0.19449555545228	0.02638089762463838	1.3340761849822318	0.18095080464766386	0.07267297738005846	9.123452150877946e-09	6.454710383139397e-09	1.4134564696674345
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1933727988131167	0.20947717500342317	0.025013292062210726	1.0832814971348188	0.12935269187671314	0.5201207846286514	1.8300398487840132e-09	4.717948925654734e-09	0.3878888639155943
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.167553323103779	0.14282078408014998	0.023504603294563033	0.8523900417760727	0.1402813316928652	0.29052612493506363	-6.800150550282719e-09	5.024594708807178e-09	-1.3533729473470413
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.17719725308450923	0.19368559501060112	0.02485819142801813	1.0930507761213897	0.14028542201025382	0.5070571940455626	2.262240215409954e-09	5.000126116630974e-09	0.4524366311252615
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.1445884936134064	0.15542628267763275	0.0231676851212061	1.0749560963903801	0.1602318728290421	0.6403987650002727	5.591593757128418e-10	5.600310454505515e-09	0.09984435331848283
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.15322708218317949	0.15942599357623918	0.023982963319605324	1.0404557164747745	0.15651908904024053	0.79639711343086	1.5173860939983533e-10	5.464768358997943e-09	0.027766704722258194
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.169375284235834	0.18787229924131707	0.025358934280335893	1.1092072854013828	0.1497203939450028	0.46964638211081267	1.3173844936617555e-09	5.211048336538254e-09	0.2528060398950177
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.13839775117556838	0.178335954865258	0.023098242984418697	1.2885755248943669	0.16689753112474182	0.09225957224015079	8.498999631326654e-09	5.847253617858169e-09	1.4535028214561712
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.17605418677810808	0.16683352734932427	0.0264170572354055	0.9476260144815234	0.15005071858189062	0.7267671268238189	-2.434428670776743e-09	5.307133262953665e-09	-0.458708788748574
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.17971807160318992	0.16943119658506303	0.026826878549826606	0.9427610427467757	0.1492720142749987	0.6958001128297138	-2.823990784580691e-09	5.080608636885978e-09	-0.5558371026805914
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.18754893134036518	0.18086669465440092	0.023869983196064447	0.964370702417721	0.12727336287907196	0.7758925323319769	-2.073625988232272e-09	4.3728391388279536e-09	-0.47420587000784653
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.14910724575539758	0.14628163764649882	0.02347107350184653	0.9810498269578796	0.15741068371921754	0.9035288027668544	-1.6096203020998226e-09	5.365739632429948e-09	-0.29998106735769514
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.19235906977149914	0.2245954954218575	0.025210542619205033	1.1675846409979607	0.131059807313231	0.20584518855031866	4.2267455298622734e-09	4.76562506155959e-09	0.8869236407110542
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.1471099831425399	0.21780900385472135	0.025756551134229273	1.4805861519518955	0.17508363867646473	0.0082533728475033	1.5301826932617803e-08	6.226484481251455e-09	2.4575387570133804
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.19351186572946635	0.20188432981087734	0.02259088905548417	1.0432658950904636	0.11674162186553824	0.711709026498935	-5.879817385330465e-11	4.272139066101605e-09	-0.01376316944358249
L4_RORB_MET.lvl2.100UP_100DOWN	0.17951794273563246	0.18954172369323613	0.021330372883902656	1.0558372093889534	0.11882028369339595	0.6408048527104475	3.729850457006004e-10	4.234998128858981e-09	0.08807206859406388
L4_RORB_MME.lvl2.100UP_100DOWN	0.1706773800195566	0.18647542806619022	0.02239098405459727	1.0925608773981852	0.1311889369993356	0.48200796647604904	2.1435011220826463e-09	4.707623461965073e-09	0.4553255245244059
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.18680796804782426	0.2112094226848668	0.022875220552746333	1.1306232003486896	0.12245313083695714	0.2956076168054722	3.5598564831471648e-09	4.371475522884369e-09	0.8143375078990068
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.1512519629152653	0.19642567085392132	0.023425666093573314	1.2986652673325194	0.15487842697748586	0.06484926146296065	8.56397380339252e-09	5.536359821328338e-09	1.5468600451871943
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.17567909193497439	0.2084271366039973	0.022763521017909686	1.1864083216069004	0.12957444603786628	0.15546026051367104	4.494238724947467e-09	4.67117323076829e-09	0.9621220414915502
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.15726690061446105	0.17403193742413572	0.022010523702604545	1.1066024493658335	0.13995649190393358	0.4499027657328448	1.6489999391191512e-09	5.023283254658756e-09	0.3282713427696547
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.15475228894246906	0.21626572744229236	0.02501465142552104	1.3974961463910343	0.161643175661334	0.017652897516669628	1.1782820989876426e-08	5.686731666127733e-09	2.0719846973014824
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.17707361940857475	0.1573109435548739	0.02570551412668655	0.8883928847238335	0.14516851359645144	0.42571262475506666	-5.011410011345008e-09	4.835779588646077e-09	-1.036318947023825
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.18294160581860003	0.20430740454847854	0.02551536100664015	1.1167902655837856	0.1394727071103798	0.40936894834554804	2.9731383790122154e-09	5.158217986583124e-09	0.5763886649896439
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.18898002888364493	0.2282278746641965	0.0263343158068727	1.2076825049313358	0.13934972897631817	0.1436403086692731	6.690904002858654e-09	5.1709446446136465e-09	1.2939422992718137
LAMP5_CCK.lvl2.100UP_100DOWN	0.16931975812086206	0.2191974087185033	0.02510652064144212	1.294576670503144	0.14827874147753534	0.05709490038236457	9.894782435232902e-09	5.445884629767411e-09	1.8169283978488355
LAMP5_NDNF.lvl2.100UP_100DOWN	0.16656945402731246	0.18658471047691375	0.023440459430105035	1.120161626070524	0.1407248379781655	0.40041370859465497	4.118627358905057e-09	5.087514971784202e-09	0.8095558208176922
LAMP5_NOS1.lvl2.100UP_100DOWN	0.16696937625720099	0.21960253718446954	0.029540255944929317	1.3152264331765364	0.176920203016302	0.08981823285058699	1.0131299236690702e-08	6.478909815678135e-09	1.5637351846099556
MGE_dev-1.lvl2.100UP_100DOWN	0.14165517141884656	0.1661992082372998	0.026103090390935144	1.1732660839178355	0.18427206101606713	0.35285845169244523	3.861096971154305e-09	6.2834856812583936e-09	0.6144832927161287
MGE_dev-2.lvl2.100UP_100DOWN	0.1386193523776165	0.15615678216816656	0.025426009926950967	1.1265150174903134	0.1834232341360774	0.4917668317462829	2.664955011522271e-09	6.289096282015757e-09	0.42374212319549825
Micro.lvl2.100UP_100DOWN	0.15328512458734955	0.13735877642033878	0.023002730675058442	0.8960998452401352	0.1500649899132928	0.48436626848653563	-4.6072367620463476e-09	5.543554062113568e-09	-0.8310980122902897
Micro_out.lvl2.100UP_100DOWN	0.1300030749054001	0.11751260559525066	0.022035259640447807	0.9039217393954839	0.16949798807822275	0.5629538899920314	-3.3674565179762452e-09	5.889899531814854e-09	-0.5717341186868482
Oligo-1.lvl2.100UP_100DOWN	0.1711212534341057	0.16896883144817876	0.0218120276653927	0.9874216560320148	0.12746533366056684	0.9212754718946792	-2.3461430837437653e-09	4.811651446694883e-09	-0.4875962254820697
Oligo-2.lvl2.100UP_100DOWN	0.16911694521149326	0.17526284651693647	0.02290535516691535	1.03634113244984	0.13544092307409233	0.788757320938122	-3.052561370974245e-10	5.01966729491257e-09	-0.06081202581031644
Oligo-3.lvl2.100UP_100DOWN	0.17089981998467077	0.17478990872327993	0.02102661339129743	1.0227623922538835	0.1230347310674959	0.8525948173070015	-1.5480854632177779e-09	4.760835544254726e-09	-0.32517095976692034
