Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1684804917969811	0.18731456731340873	0.009345024824069847	1.1117878711983027	0.05546650964985666	0.04079803681743616	-2.6967091428199867e-09	2.176352178842113e-09	-1.2390959372461123
Astro_dev-2.lvl2.100UP_100DOWN	0.15833145869788073	0.17269968853128365	0.008483576161718989	1.0907477891732151	0.053581115411226496	0.08479618499641417	-3.583056411983472e-09	2.159670923082688e-09	-1.6590751737626124
Astro_dev-3.lvl2.100UP_100DOWN	0.13564526629804707	0.1427091406078123	0.01008388281421297	1.0520760842051362	0.07434010112860201	0.4827710067907397	-5.3390979949239645e-09	2.9907376018138173e-09	-1.7852111103581665
Astro_dev-4.lvl2.100UP_100DOWN	0.12923107737941564	0.1389548723637094	0.00828193689362476	1.0752434722473543	0.06408626362612012	0.23647982360142053	-3.6440390507721726e-09	2.4153399517355916e-09	-1.5087064858732098
Astro_dev-5.lvl2.100UP_100DOWN	0.08931769811877187	0.10286474167210201	0.006623160898949401	1.1516725558166054	0.07415283911752998	0.04032355071188614	-2.4200794702875984e-09	2.7080569139886127e-09	-0.8936590135113293
Astro_GFAP.lvl2.100UP_100DOWN	0.17242938831190377	0.1858487915924174	0.009687250688675946	1.077825499538626	0.05618097230126971	0.16265519914499207	-3.818943817671734e-09	2.1652440291191943e-09	-1.7637475343715658
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16268648428938065	0.18804030157374044	0.009794238525556	1.1558446443483366	0.06020314821072889	0.009200998040063432	-9.332056659552753e-10	2.3597936689598255e-09	-0.39546070414140205
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1709187760299633	0.19280784817197646	0.009835714163813571	1.1280671009379089	0.05754613034491482	0.024554324453289776	-2.131912581009555e-09	2.2347384351486355e-09	-0.9539875215274394
BKGR_NRGN.lvl2.100UP_100DOWN	0.11975540326973329	0.15464813954460183	0.011176501549982967	1.2913666968017905	0.09332774342389685	0.0027844471326293964	6.21937466125968e-09	4.348826233301515e-09	1.4301271946977963
CCK_RELN.lvl2.100UP_100DOWN	0.15808872066656837	0.16959055222954295	0.009656922516541317	1.0727555483685238	0.06108546185852906	0.23322076622174814	-5.318943029364679e-11	2.441736099541463e-09	-0.021783447565703478
CCK_SORCS1.lvl2.100UP_100DOWN	0.169562160646948	0.20160575985923138	0.02095292135522722	1.1889784789838966	0.12357073816046797	0.13138221513109063	5.488385522579138e-09	5.3598500326876514e-09	1.0239811728140895
CCK_SYT6.lvl2.100UP_100DOWN	0.1479744123584021	0.16489427719192482	0.009855137522278606	1.1143431797690933	0.0666002815298156	0.08946950896913873	1.6459011189120068e-09	2.706452654267572e-09	0.6081396311576805
CGE_dev.lvl2.100UP_100DOWN	0.13818000828362403	0.15450655661695112	0.008293042588540264	1.1181541999897389	0.06001622587486187	0.04969202435596381	1.4189193434991211e-10	2.4567759837235777e-09	0.05775534085727084
ID2_CSMD1.lvl2.100UP_100DOWN	0.17049520068161242	0.19591174703776934	0.017394643886732484	1.1490748493479326	0.10202424359859687	0.15072709132339693	4.73476954601969e-09	4.438972289119398e-09	1.0666364279014167
ID2_dev.lvl2.100UP_100DOWN	0.14579044108704364	0.1949539036122072	0.012929856724247698	1.3372200684667022	0.08868795942888996	0.00040588836985797495	8.519025341069623e-09	3.995859159325852e-09	2.131963365422239
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1933727988131167	0.2244683635520493	0.010181225911385308	1.1608063022813493	0.0526507656396123	0.001969303806158904	4.41194313087249e-09	2.1651479148286417e-09	2.0377098029451113
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.167553323103779	0.21509917082141464	0.02301750490419676	1.2837654714146538	0.13737420707520198	0.04357118563333676	8.593655781214459e-09	6.100356164681664e-09	1.4087137782164074
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.17719725308450923	0.19009862057590518	0.009287909136569695	1.0728079429382746	0.05241564964971601	0.16415030760331664	7.376473343095345e-10	2.1897552418309237e-09	0.33686291518716227
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.1445884936134064	0.17243454221663584	0.018229122486709444	1.1925882752308274	0.12607588633885056	0.13237221450279604	2.365564793526701e-09	5.7591409399569445e-09	0.41074959237659947
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.15322708218317949	0.1701457747722368	0.007795820678365046	1.110415811278266	0.05087756398731994	0.030400071494709992	-8.3367618679433e-10	1.9569002628042337e-09	-0.42601874129224854
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.169375284235834	0.19435431520007343	0.00911867467980151	1.1474774261010787	0.05383710333501133	0.005927680705167148	1.5655122244886655e-09	2.217189919380737e-09	0.7060794435354074
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.13839775117556838	0.14245398103265558	0.007544134256724714	1.029308495424478	0.05451052631017385	0.5905241682428097	-3.273045686942084e-09	2.244443367824841e-09	-1.4582883818156185
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.17605418677810808	0.20424344006437667	0.010031537110817801	1.160116915150659	0.05697982703166932	0.005019967951250449	4.152316586247004e-09	2.336425511506543e-09	1.7772090596500816
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.17971807160318992	0.2066358134700716	0.00991665337113647	1.1497776023677515	0.05517894379053894	0.006926938146245879	3.266578548597632e-09	2.170802000640938e-09	1.5047795918896159
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.18754893134036518	0.21788488897172764	0.010367175304938596	1.1617495627117627	0.05527717609930909	0.003251912949673587	4.110150168390728e-09	2.2650945383912024e-09	1.8145600983656902
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.14910724575539758	0.15664572150270595	0.008261485247499117	1.0505574072481685	0.05540632989124915	0.36216032856196556	-1.1648468307788895e-09	2.31976632280439e-09	-0.5021397281820584
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.19235906977149914	0.239667472559731	0.014210691710111373	1.2459379890141333	0.07387586001009504	0.0013259183478011947	6.768712288134882e-09	3.3825671314545844e-09	2.00105778395126
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.1471099831425399	0.16352045302598994	0.0073513511756558075	1.11155238776385	0.049971803535133516	0.026295778757272407	-5.194986532505793e-10	2.0627907437023546e-09	-0.2518426334986207
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.19351186572946635	0.24336435078940793	0.010521116108827357	1.2576197840479528	0.05436935905282469	3.689982336863177e-06	7.239041444058331e-09	2.318856499490872e-09	3.1218151902231703
L4_RORB_MET.lvl2.100UP_100DOWN	0.17951794273563246	0.20802715934271027	0.010885166948147354	1.158809844702053	0.060635537497092544	0.008155478678435463	3.6134604784610227e-09	2.4307613924524555e-09	1.4865549904161153
L4_RORB_MME.lvl2.100UP_100DOWN	0.1706773800195566	0.19597524729868526	0.009017428814012374	1.148220386768475	0.052833180430699934	0.0060747045797220995	3.0919951424316347e-09	2.2476086803957718e-09	1.37568215027857
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.18680796804782426	0.21493872137025505	0.010493766130939832	1.1505864745299788	0.05617408208333676	0.007339456833623628	2.902622984686219e-09	2.238584469993002e-09	1.2966332178188
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.1512519629152653	0.17281982514890656	0.008911921646900599	1.1425955856567895	0.05892103133823959	0.01852085419180999	7.954111168026709e-10	2.699703600356442e-09	0.2946290536107937
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.17567909193497439	0.19826349652486136	0.008527848799865267	1.128554880043701	0.04854219535140672	0.007143310508110123	4.794968377064924e-10	1.8470674411434094e-09	0.25959898757657945
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.15726690061446105	0.18993892953496358	0.009260373630628274	1.207748921056172	0.05888316991335659	0.0008500784432041584	3.81248709296038e-09	2.6756106559502247e-09	1.4249035391161577
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.15475228894246906	0.1872879435113328	0.012006778076999713	1.2102434464213918	0.07758707906067464	0.008944483649480016	3.417697729656127e-09	3.6373727021986182e-09	0.9396061414301294
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.17707361940857475	0.2191871666437571	0.02188385929141334	1.2378307247338223	0.12358622003946919	0.059658810255936286	7.3189505541927254e-09	5.491748940393969e-09	1.332717615759703
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.18294160581860003	0.21981295252704292	0.008451084132938646	1.2015470813402804	0.04619552832240094	2.9788348638799935e-05	5.267447726105526e-09	2.053767715234248e-09	2.5647728742803486
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.18898002888364493	0.2294685278046652	0.011122332818307802	1.2142475009671474	0.058854540789364716	0.000618518598733809	6.188714450422502e-09	2.7609737779734953e-09	2.241497003627795
LAMP5_CCK.lvl2.100UP_100DOWN	0.16931975812086206	0.18336607886887266	0.011458799657179195	1.082957363652647	0.06767550216437113	0.22406361783091194	2.3448545230989915e-10	3.033550881623662e-09	0.07729735266032339
LAMP5_NDNF.lvl2.100UP_100DOWN	0.16656945402731246	0.17456565031286597	0.00893303654455072	1.048005177973642	0.05362950005879209	0.36981674411666465	-4.378482974153891e-10	2.1735073664411e-09	-0.20144780927626746
LAMP5_NOS1.lvl2.100UP_100DOWN	0.16696937625720099	0.1942881095031177	0.015722791490982466	1.1636152320760587	0.09416571974709273	0.0880126651138128	3.2393418871234038e-09	4.24736726223546e-09	0.76267054086076
MGE_dev-1.lvl2.100UP_100DOWN	0.14165517141884656	0.17316836681652553	0.018444921542180463	1.2224641365510096	0.13021001180142197	0.09378941796990625	4.285517815116242e-09	5.809139018010005e-09	0.737719961913444
MGE_dev-2.lvl2.100UP_100DOWN	0.1386193523776165	0.15035556687711554	0.009281745239548654	1.0846650507176525	0.06695850961894567	0.20805551454847093	-1.350989426404024e-09	2.729267352512474e-09	-0.4950007646412315
Micro.lvl2.100UP_100DOWN	0.15328512458734955	0.15632591048298364	0.008330612563987221	1.019837449353419	0.05434716895337108	0.7141346446825658	-5.154641080864491e-09	2.045282275413684e-09	-2.5202590091491897
Micro_out.lvl2.100UP_100DOWN	0.1300030749054001	0.12338420261614795	0.007058401064285518	0.9490868020308862	0.054294108577214305	0.34989181698278504	-7.947622097897791e-09	2.138161741213249e-09	-3.717035032807248
