Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1678925188876861	0.2617844354186247	0.016115792715837973	1.5592382385646901	0.0959887481741747	3.6234462212708e-08	1.3111304370010815e-08	9.47184410932076e-09	1.3842398817679702
Astro_dev-2.lvl2.100UP_100DOWN	0.15859365603232525	0.2513195808522583	0.014893576944089701	1.5846761285396767	0.09391029450165413	3.710609323865841e-09	1.6577837283834867e-08	9.291790980624074e-09	1.7841379900176608
Astro_dev-3.lvl2.100UP_100DOWN	0.13572025171615118	0.24100614517457342	0.01595392308997224	1.7757566916293366	0.11755005526617121	5.11000181685199e-10	2.30075177418373e-08	1.1366341916799319e-08	2.02417962702956
Astro_dev-4.lvl2.100UP_100DOWN	0.1288751063341877	0.20981199417717855	0.015431534051712962	1.6280257696402	0.11974022362159883	4.6477254195582766e-07	9.470676914764465e-09	1.0927007378909114e-08	0.8667219291024181
Astro_dev-5.lvl2.100UP_100DOWN	0.09097610045294884	0.1610898082164429	0.015151455686179843	1.7706827113320336	0.16654325268663167	8.540294408862926e-06	7.633973934513834e-09	1.520463267153726e-08	0.5020821021743238
Astro_GFAP.lvl2.100UP_100DOWN	0.17259764418295168	0.2524525326688964	0.014352780978451286	1.462664996755688	0.08315745586444674	9.807031274147149e-08	2.781337452084102e-09	7.879636301008861e-09	0.35297789718137074
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16336688888855339	0.26507802141198417	0.016108720429725	1.6225933126070406	0.09860456142195462	5.098465308047944e-09	1.6676656032288817e-08	9.637698951789255e-09	1.7303566043835357
Astro_SLC1A2.lvl2.100UP_100DOWN	0.17183101474058987	0.27009440990439054	0.016056846749918776	1.571860646415591	0.09344556786887107	9.992315150576985e-09	1.2471171262427612e-08	9.210235893694435e-09	1.354055575380615
BKGR_NRGN.lvl2.100UP_100DOWN	0.1193845022419298	0.17817412847608238	0.01074047894980419	1.4924393462311953	0.08996543728966486	2.209465171630655e-07	-2.4075161132313257e-08	1.1123384264608533e-08	-2.164373769673104
CCK_RELN.lvl2.100UP_100DOWN	0.15674703526612863	0.19076161568017921	0.008635626735688462	1.2170030224578083	0.055092759623980775	0.00011678049266697647	-4.0000385780029755e-09	5.8782787003691816e-09	-0.680477871481622
CCK_SORCS1.lvl2.100UP_100DOWN	0.16996409590819503	0.1970091794057857	0.010927001675091629	1.1591223331791138	0.06429005853679695	0.015030748766467133	-3.5363963788717276e-09	7.315487419140326e-09	-0.4834122699219001
CCK_SYT6.lvl2.100UP_100DOWN	0.14835890134787547	0.17963945914908833	0.009328421008044669	1.2108438220896869	0.06287739342428242	0.0010838900721564242	-6.760585790535949e-09	6.832287955966599e-09	-0.9895053946946084
CGE_dev.lvl2.100UP_100DOWN	0.13715822711657247	0.18710356319260596	0.010463865550679793	1.3641439316183661	0.07629046955955784	5.676119361821326e-06	-3.6789145875191063e-09	7.852012277946058e-09	-0.4685314359291148
ID2_CSMD1.lvl2.100UP_100DOWN	0.1693138867793998	0.1894531548877046	0.01008933989907409	1.1189463456978244	0.059589559314881003	0.048729111103512475	-5.551384476174842e-09	7.056882894021259e-09	-0.7866624059863729
ID2_dev.lvl2.100UP_100DOWN	0.14496795002448348	0.18693451170842806	0.008590625166239537	1.2894885502406352	0.059258789027427615	3.064430757717772e-06	-7.529042867743312e-09	6.138731669461482e-09	-1.2264818325906393
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.19687866067655635	0.20265285517051657	0.010063145956845997	1.0293286965388615	0.05111344176288519	0.566352865262693	-9.813227685396571e-09	5.8924942017479545e-09	-1.6653775717735229
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.16830988738934827	0.2269898748015071	0.014107514282103821	1.3486425445488859	0.08381869004207197	6.941525377460357e-05	7.708194303594382e-09	8.852317155188513e-09	0.8707544215218793
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.17737792264893454	0.1857468008072722	0.00962973806698832	1.0471810585745855	0.05428938349925006	0.38593904425951997	-1.3637516594202325e-08	5.882692313600152e-09	-2.3182440738356913
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.14530496502441892	0.22074829061090806	0.011737146770809878	1.5192067977430137	0.08077595124734668	3.4180392371597706e-09	6.773815834661298e-09	9.108351980106615e-09	0.7436928051809883
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.15432116472652382	0.21272846831073605	0.010020151188941255	1.3784788929484637	0.06493050520126777	5.948457397895805e-08	-1.3773271285113319e-08	7.20976845776732e-09	-1.910362498573019
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.1699184671974024	0.20514950716180935	0.012863565149273412	1.2073408532074232	0.07570433844797572	0.0077580081709598715	-2.60271564351421e-09	7.844797968581148e-09	-0.3317759939692814
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.13827109795259612	0.17745378026372371	0.010574791285741512	1.2833757950237779	0.07647868167913802	0.0003226782624301199	-1.5217070276374124e-08	8.758760509653008e-09	-1.7373543048246871
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.17849934886823182	0.18401567187334666	0.010229384905622614	1.0309038830678705	0.05730768750968355	0.5901819781904629	-1.5644445602358696e-08	6.380521152352295e-09	-2.4519071763583273
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.18101060548795964	0.22183058846287973	0.009615313581193276	1.225511554225674	0.05312016693868726	4.88162345373394e-05	-8.212087752992417e-09	5.901604327099885e-09	-1.3915009034548287
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.18877302215894592	0.20844176268474662	0.01000673592398271	1.1041925392773535	0.05300935382364695	0.051610953445713495	-1.0855626147301587e-08	5.876621752982692e-09	-1.84725623046809
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.1496249303197583	0.17797794835822198	0.009564686977307385	1.1894939431408351	0.06392442059533142	0.0035379122962563747	-1.4218721780844046e-08	6.6934978204069765e-09	-2.124258819879547
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.19245837931851842	0.20998981233677483	0.010476672856701513	1.091092074454404	0.054436044269928256	0.09901901093674688	-7.824684655725863e-09	6.153257667341128e-09	-1.2716328616069434
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.14717440014601188	0.19544855463934968	0.010082040638497679	1.3280064633893187	0.06850403758055257	3.3561444808155897e-06	-1.0320086950391191e-08	7.371815051555609e-09	-1.3999383975610504
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.19493105283720832	0.2065380771130004	0.009598607107906047	1.059544254785744	0.04924103660345013	0.22817491371934645	-1.766892777574536e-08	5.698947238953033e-09	-3.1003845157533627
L4_RORB_MET.lvl2.100UP_100DOWN	0.18029832789227732	0.20632479326850767	0.010854644428623382	1.1443522282235494	0.06020379975519627	0.017236394437900256	-5.432773879162065e-09	6.754500031463839e-09	-0.8043191729743276
L4_RORB_MME.lvl2.100UP_100DOWN	0.17249615385196065	0.18910747997466482	0.010092677927427202	1.0962996898873485	0.05850958239966859	0.10036761255479995	-1.2541324442054419e-08	6.392836357490571e-09	-1.961777799514543
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.18705506764708005	0.21356803912270855	0.010167795357410324	1.141738856953349	0.05435723012110035	0.010302434024793599	-9.006298473957013e-09	6.372117252893989e-09	-1.4133918313990022
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.15171915394305033	0.20239004598207416	0.00994805435288246	1.3339782138387337	0.06556887574403814	1.2562070458603974e-06	-6.338000788556945e-09	7.061494726272775e-09	-0.8975437969210653
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.17689596939118718	0.2033127974905945	0.010109449966594988	1.1493353872918903	0.05714912556452308	0.010456680255039031	-1.0293117897555747e-08	6.200223150833658e-09	-1.6601205548822502
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.15797146158993577	0.21606839055559568	0.009441102582722271	1.3677685094569083	0.05976460866855558	1.1063054355116894e-08	3.4240279015005073e-09	6.657834051930798e-09	0.5142855581549867
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.15474507558010112	0.21500680833732902	0.010907960313004596	1.3894258510735902	0.07048987033747822	1.1454117390037601e-07	1.3616891059651854e-10	7.822176149301857e-09	0.017408059854120243
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.17866357867656274	0.20293975449620658	0.008734217865820832	1.1358764668180712	0.048886392685733186	0.006113429147533994	-7.092668100022644e-09	5.4387878854404815e-09	-1.304089854103258
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.1840418952086331	0.2355708644421445	0.01292788257337606	1.2799849956723022	0.07024423737171794	0.00010069108735348275	7.729751595803151e-09	7.078160696023312e-09	1.0920565282087928
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.1885957076467848	0.22058779734459255	0.009746392773876362	1.1696331803994435	0.05167876244633354	0.0012814821997254745	-3.3176825295950574e-09	5.902138660709221e-09	-0.5621153145182789
LAMP5_CCK.lvl2.100UP_100DOWN	0.16865847731959507	0.20493764995343822	0.00978438862082051	1.2151043529528425	0.05801302594639125	0.0002760805333074184	-4.876580183656585e-09	6.630602115502379e-09	-0.7354656634056079
LAMP5_NDNF.lvl2.100UP_100DOWN	0.16588737190200764	0.19350855757659483	0.009423785985118657	1.1665056559633935	0.05680833855566438	0.0038294660100075643	-5.0018358843166925e-09	6.480449143587376e-09	-0.7718347561243002
LAMP5_NOS1.lvl2.100UP_100DOWN	0.16569344988113888	0.23587837080612603	0.011538378959233896	1.423582953794098	0.06963690458199172	1.3976730169096476e-08	1.613896389117701e-08	7.019595216117353e-09	2.299130276646311
MGE_dev-1.lvl2.100UP_100DOWN	0.1411832833178917	0.18489456910701846	0.009663786340230747	1.3096066670351147	0.06844851680118198	1.5419038408723697e-05	-8.978735251914956e-09	7.01586311897e-09	-1.279776286917229
MGE_dev-2.lvl2.100UP_100DOWN	0.13773814790043346	0.16885144852427386	0.008657034351677806	1.225887316608404	0.06285139217884432	0.0003889136232546755	-1.547737371537583e-08	7.0437735380721745e-09	-2.1973127943025643
Micro.lvl2.100UP_100DOWN	0.1542518828972688	0.26312726808798415	0.013024238165472473	1.7058285652384935	0.08443487314930587	4.740823196726872e-14	1.2045622326617082e-08	9.62331741787224e-09	1.2517120451878876
Micro_out.lvl2.100UP_100DOWN	0.13062711462653487	0.2018161193001305	0.012019589771478559	1.5449787731829352	0.09201450867105784	1.3541792308849362e-08	-1.2545401534832061e-08	1.0332561872656086e-08	-1.214161762537517
Oligo-1.lvl2.100UP_100DOWN	0.17131416893929519	0.24578170680314648	0.012005024424632135	1.4346840563446839	0.0700760742614704	9.932045105002112e-09	-3.501737955738249e-09	7.931861728058365e-09	-0.4414774331417193
Oligo-2.lvl2.100UP_100DOWN	0.17068643866066985	0.23935270376028173	0.011209229245834798	1.4022947906020973	0.06567146947227077	5.452014598149997e-09	-8.67699170029893e-09	7.345846348999564e-09	-1.1812106172736183
Oligo-3.lvl2.100UP_100DOWN	0.17181692352108038	0.2545147116550037	0.012030318744789728	1.4813134028894253	0.07001824091742463	2.3062038918965743e-10	-6.020005771025436e-09	8.122719561683605e-09	-0.7411318001698514
