Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1684804917969811	0.17069225070039645	0.013911903311489796	1.013127685465689	0.0825727843212473	0.8736492273215619	-4.496788251782143e-10	8.0038797263086e-10	-0.5618260650520879
Astro_dev-2.lvl2.100UP_100DOWN	0.15833145869788073	0.16083366420047018	0.013224823763424536	1.0158035902856426	0.08352619165000814	0.8502041333731952	-4.0895845444738865e-10	7.922295700797942e-10	-0.516212055056463
Astro_dev-3.lvl2.100UP_100DOWN	0.13564526629804707	0.12499407257774865	0.012703706996732494	0.921477586273486	0.093653891089861	0.40168647907440647	-7.455200830167805e-10	8.721818468880295e-10	-0.8547759686547227
Astro_dev-4.lvl2.100UP_100DOWN	0.12923107737941564	0.13162063940868146	0.012341525063407358	1.0184906144692285	0.09549966860659445	0.8464507484099435	3.682201233382885e-10	8.957056509291441e-10	0.4110950097906851
Astro_dev-5.lvl2.100UP_100DOWN	0.08931769811877187	0.0963454801586851	0.011210788690434789	1.07868297311657	0.1255158711717697	0.5314655401068319	1.2129103374926178e-09	1.1287766740289876e-09	1.074535260516439
Astro_GFAP.lvl2.100UP_100DOWN	0.17242938831190377	0.14732691958652672	0.01277734568322763	0.854418849529468	0.07410190228196464	0.04951883841265585	-1.8486263323134706e-09	7.062601701255869e-10	-2.6174863180869288
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16268648428938065	0.1691766460432917	0.013721983001564072	1.039893675140011	0.08434617701342614	0.6359988790293991	-9.324017202568004e-12	8.056568581925441e-10	-0.011573186658506238
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1709187760299633	0.15588478126241168	0.013771807216523126	0.912040121531668	0.08057515702141951	0.27716660081117483	-1.3647474239330889e-09	7.86361260726297e-10	-1.7355221983755713
BKGR_NRGN.lvl2.100UP_100DOWN	0.11975540326973329	0.10930721359611487	0.011536279020545449	0.9127539185009861	0.09633201263212733	0.36694237145795106	2.703576144753828e-10	8.952985406076397e-10	0.3019748186921995
CCK_RELN.lvl2.100UP_100DOWN	0.15808872066656837	0.1610381948562891	0.012705088557651732	1.0186570817784122	0.08036682505925627	0.8162716816291626	4.5691589653312356e-10	7.477320963016496e-10	0.6110689895392625
CCK_SORCS1.lvl2.100UP_100DOWN	0.169562160646948	0.18167586019406212	0.013991622570845824	1.071441054424498	0.08251618472813829	0.3865003230160088	1.0019135468906115e-09	7.705301397757572e-10	1.3002911828759776
CCK_SYT6.lvl2.100UP_100DOWN	0.1479744123584021	0.1566668088199588	0.013337872572151207	1.0587425644948887	0.09013634424745104	0.5157869410331106	9.13361245481609e-10	8.51183580105967e-10	1.0730484784115564
CGE_dev.lvl2.100UP_100DOWN	0.13818000828362403	0.15899082490345584	0.013875987480238909	1.150606566596205	0.10041964574034098	0.13713578605544946	1.5886706160980601e-09	9.514499886507967e-10	1.6697363340671998
ID2_CSMD1.lvl2.100UP_100DOWN	0.17049520068161242	0.14601294452632854	0.013717618232259766	0.8564050128249491	0.08045750365651896	0.07721285670401855	-8.917392448316674e-10	7.526631681342711e-10	-1.18477864014808
ID2_dev.lvl2.100UP_100DOWN	0.14579044108704364	0.1400065901646072	0.013161475885718534	0.9603276395948126	0.0902766723770355	0.6603550564792218	-5.872984856419476e-10	8.354894461439917e-10	-0.702939442685348
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1933727988131167	0.2265194914059717	0.013998868126010205	1.1714134190346457	0.0723931608371624	0.020087030077136164	1.6370093853869317e-09	7.185479623959999e-10	2.278218673014283
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.167553323103779	0.149477939281736	0.01269444174521458	0.8921216035157508	0.07576359280771716	0.1543872067003592	-7.764805040434377e-10	7.010290781517668e-10	-1.1076295238574059
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.17719725308450923	0.18834368215993771	0.01302770233103493	1.0629040737449384	0.07352090455274572	0.3936194956199002	7.986425660552787e-10	7.07097316842412e-10	1.1294662658623396
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.1445884936134064	0.16834828938912783	0.012629119145241258	1.1643270165000073	0.08734525707839778	0.06313589473549712	1.711903199399824e-09	8.490114818823566e-10	2.0163487019095863
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.15322708218317949	0.1540535989518442	0.013809886597508083	1.0053940645275528	0.09012693057092008	0.9522894530577707	8.715064435886579e-10	8.792310436076784e-10	0.9912143684243396
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.169375284235834	0.18032026898358106	0.01462037415876102	1.0646197277077778	0.08631940737235291	0.45578711978729236	1.7915150447505594e-10	8.29295754082227e-10	0.21602848391925153
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.13839775117556838	0.14535173292314468	0.011767377419859807	1.050246349297646	0.08502578488383072	0.5540827094012146	8.35523948109267e-10	7.814298036858261e-10	1.0692245729153036
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.17605418677810808	0.18764053169677608	0.01449512468607002	1.06581124329222	0.08233331425590644	0.4239023009675309	7.260678402924915e-10	7.828693215106896e-10	0.9274444921298113
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.17971807160318992	0.18667536201594834	0.013795313658682628	1.038712247191923	0.07676085958201305	0.6142641200519601	8.795828705962554e-10	7.30629183173359e-10	1.2038704322977387
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.18754893134036518	0.20277363635986678	0.013869312450500769	1.0811772421772519	0.07395036778605066	0.2758425224935041	1.0145714557611756e-09	7.158894482202734e-10	1.4172180610895109
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.14910724575539758	0.16085163317599452	0.012288376467261013	1.078764699603284	0.08241300685963601	0.34192498174760977	1.2596094968400896e-09	7.969280896380702e-10	1.5805811254716209
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.19235906977149914	0.2119753066242327	0.012851281041511004	1.101977187122164	0.06680881258563412	0.12759668038962635	6.078489290838705e-10	6.522028342551057e-10	0.931993694535393
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.1471099831425399	0.15891645970014887	0.012726666193181569	1.0802561206615684	0.08651123412100636	0.3545150735285014	9.180807297895212e-10	8.041288814676005e-10	1.1417084387193623
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.19351186572946635	0.23921073839869764	0.014360510568612376	1.2361554031685027	0.07420997422808517	0.001853839507284076	2.2754420391257765e-09	7.500311511374064e-10	3.0337967105434442
L4_RORB_MET.lvl2.100UP_100DOWN	0.17951794273563246	0.19910886888808227	0.014009555225081044	1.1091307412167732	0.07803986059327925	0.16560513127849927	1.0296571351603838e-09	7.489720183072182e-10	1.3747604850279365
L4_RORB_MME.lvl2.100UP_100DOWN	0.1706773800195566	0.20807395501161646	0.01485855388317091	1.2191068024818221	0.08705637432135636	0.0144275590627049	2.195086387572007e-09	8.512014703335575e-10	2.5788094406272886
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.18680796804782426	0.19500514939077335	0.013941349024025995	1.0438802553692492	0.07462930607144608	0.5555896556466349	4.850602120274778e-10	7.276219020159946e-10	0.6666377285834026
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.1512519629152653	0.17809212044976624	0.011622635823664908	1.177453284024733	0.07684287595114496	0.02158436736355885	1.7858281601283347e-09	7.270314904019652e-10	2.456328486048075
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.17567909193497439	0.1938185684395961	0.012922001153979658	1.1032534737334359	0.07355457619716403	0.1600425680359726	6.405776317266655e-10	6.987646978696808e-10	0.9167286694356342
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.15726690061446105	0.15261714914404312	0.012436709171305424	0.9704340108932599	0.07908027132672976	0.709279191442874	-2.355994441878312e-10	7.41812874332165e-10	-0.31759956228844816
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.15475228894246906	0.19318465309394467	0.013412601812641721	1.2483476297126905	0.08667142763638223	0.0046799924242537354	2.309630996291396e-09	8.184137555679717e-10	2.8220823276467697
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.17707361940857475	0.17384623095573148	0.013779828462566195	0.9817737477574427	0.07781977071791255	0.8145654466759888	-7.997069707533186e-11	7.587019266983426e-10	-0.1054046315966823
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.18294160581860003	0.21313238730132866	0.014875133784922022	1.1650296079321891	0.08131082985940226	0.044119765910524675	1.6443852763793558e-09	8.242866836231586e-10	1.9949191331727543
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.18898002888364493	0.19474925438327045	0.013950824722565664	1.030528228478458	0.07382168795812383	0.6790960013085117	3.6826375170658396e-10	7.267987556607086e-10	0.5066928759004377
