Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1684804917969811	0.1813990149024789	0.011742911530025763	1.0766766702050266	0.06969893905684918	0.27699405042767944	-4.541641949360187e-10	1.4266145016806564e-09	-0.31835102923808783
Astro_dev-2.lvl2.100UP_100DOWN	0.15833145869788073	0.16888256012413946	0.010856190207381733	1.066639324320202	0.06856622364666588	0.33504259868012165	-6.374213455781763e-10	1.3587769753409885e-09	-0.46911403206417585
Astro_dev-3.lvl2.100UP_100DOWN	0.13564526629804707	0.1316485397257825	0.009916532133419196	0.9705354511709775	0.07310636341433441	0.6852344023977587	-1.6461117130504899e-09	1.4710628334854577e-09	-1.1189948352853702
Astro_dev-4.lvl2.100UP_100DOWN	0.12923107737941564	0.1280910760065919	0.008372560407853112	0.9911785818400572	0.0647875153379068	0.8914593563486921	-1.0061781707962265e-09	1.335682927337624e-09	-0.753306155377617
Astro_dev-5.lvl2.100UP_100DOWN	0.08931769811877187	0.09370887051958422	0.008014802954439857	1.0491635195857052	0.08973364879804699	0.585093282923353	4.305413635402053e-10	1.7695703140502258e-09	0.24330277249892043
Astro_GFAP.lvl2.100UP_100DOWN	0.17242938831190377	0.16199882056872364	0.01115539185562087	0.9395081787084201	0.06469542091886404	0.3432799512748025	-3.1420830409560796e-09	1.3072836309724584e-09	-2.4035205264665906
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16268648428938065	0.16212576717025592	0.010182923488596026	0.9965533884294449	0.06259231387951701	0.956056161056587	-1.967058415462539e-09	1.2847337073906252e-09	-1.5311020518468048
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1709187760299633	0.1718017782045675	0.011036341066019017	1.0051662093253546	0.06457067691664412	0.9360963580511524	-1.939079747227531e-09	1.319182286180659e-09	-1.4699103888376337
BKGR_NRGN.lvl2.100UP_100DOWN	0.11975540326973329	0.1351490172238724	0.011660496450729425	1.1285421244790685	0.09736927213601955	0.195968414773445	3.954437082213192e-09	1.931175546787758e-09	2.04768390361552
CCK_RELN.lvl2.100UP_100DOWN	0.15808872066656837	0.17134827786668477	0.012589535653236958	1.0838741508199228	0.07963588800108062	0.298272103952509	1.682069064373885e-09	1.6343067745018647e-09	1.029224800763968
