Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1684804917969811	0.19435518583373973	0.012490359253246562	1.153576795513736	0.07413534421716574	0.038555740596531295	-1.768182101212957e-09	4.218190197359303e-09	-0.4191802689029729
Astro_dev-2.lvl2.100UP_100DOWN	0.15833145869788073	0.17971039839359457	0.012086020057499312	1.1350264809756343	0.07633366203340033	0.07773717501932546	-2.9876489481901935e-09	4.235948820044358e-09	-0.705308084472774
Astro_dev-3.lvl2.100UP_100DOWN	0.13564526629804707	0.15262224188138548	0.010671848396730693	1.1251571547364998	0.07867468351812539	0.11114582361795923	-2.994719683334947e-09	4.317964974855642e-09	-0.6935488594219239
Astro_dev-4.lvl2.100UP_100DOWN	0.12923107737941564	0.139079948022765	0.010892750913736916	1.0762113173012835	0.08428894298974521	0.36598824199070357	-4.6940940778029606e-09	4.471556067935438e-09	-1.0497674649465527
Astro_dev-5.lvl2.100UP_100DOWN	0.08931769811877187	0.09251197569241576	0.008119826810996489	1.0357630978061731	0.09090949478119105	0.6948893248156472	-8.446544099897214e-09	4.516754632153958e-09	-1.8700471439754103
Astro_GFAP.lvl2.100UP_100DOWN	0.17242938831190377	0.1911147852624867	0.012144375736741344	1.1083655004144846	0.07043100863278391	0.12566160881162725	-3.824626451374645e-09	3.994665455259185e-09	-0.9574334807785531
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16268648428938065	0.1891741521384481	0.011895545569387399	1.1628141880671057	0.07311944579383771	0.025711840612814438	-1.154078063439968e-09	4.1675780637910166e-09	-0.2769181634453097
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1709187760299633	0.19891622126046124	0.0113754340823557	1.163805556538679	0.06655461937289736	0.014388752483591057	-1.1486165564390006e-09	3.7645427774459635e-09	-0.3051144918104169
BKGR_NRGN.lvl2.100UP_100DOWN	0.11975540326973329	0.14028296759026482	0.010401835985501373	1.1714124269975184	0.08685901179817838	0.049692555701595344	2.463628432973804e-09	4.40209672007102e-09	0.5596488649922389
CCK_RELN.lvl2.100UP_100DOWN	0.15808872066656837	0.1761421282300344	0.010435463747216838	1.1141979483883815	0.06601017266264503	0.08477670672911602	2.6250636816226e-09	3.5828281489546447e-09	0.73267920550097
CCK_SORCS1.lvl2.100UP_100DOWN	0.169562160646948	0.1782052906163844	0.010598890957033721	1.0509732238399143	0.06250740682116032	0.41554444708623417	1.4815655839886582e-10	3.434618498441758e-09	0.043136248892295476
CCK_SYT6.lvl2.100UP_100DOWN	0.1479744123584021	0.1670405464129642	0.010808145254672469	1.1288475064755308	0.07304063643445699	0.08146757056533208	3.430362914733843e-09	4.0397979808307645e-09	0.8491421925084496
CGE_dev.lvl2.100UP_100DOWN	0.13818000828362403	0.1675695415019618	0.011433080646782308	1.2126901972535253	0.08274048314800445	0.010962265075299968	4.909693082460498e-09	4.476164123968852e-09	1.096852784322674
ID2_CSMD1.lvl2.100UP_100DOWN	0.17049520068161242	0.16913761222550358	0.010308331191766254	0.9920373802272356	0.060461122369164656	0.895238693680438	-2.287698722349268e-09	3.3029802765666687e-09	-0.692616525317932
ID2_dev.lvl2.100UP_100DOWN	0.14579044108704364	0.17129961149733194	0.009940192516871137	1.1749714879801902	0.06818137350264536	0.011951487289266611	2.3673546462390566e-09	3.795545394127924e-09	0.6237192288364101
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1933727988131167	0.23712883648251784	0.011973658553404813	1.2262781422101086	0.061920076799305376	0.00036389218192071416	9.912673603573603e-09	3.4808957886439407e-09	2.8477363889814415
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.167553323103779	0.19369182122508039	0.012385767819063651	1.1560010725965235	0.07392134987016741	0.03640183774027613	4.873263447018652e-09	4.25862757091231e-09	1.1443272194789906
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.17719725308450923	0.20143874538936268	0.01165516944220359	1.136805124700732	0.06577511354899494	0.038552865048708085	5.070794387791388e-09	3.6584012179007767e-09	1.3860684178049383
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.1445884936134064	0.18146971909045437	0.010925748171090344	1.2550771818375754	0.07556443737703687	0.0010599492223460172	6.294243521676147e-09	4.084020162373426e-09	1.541188160544793
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.15322708218317949	0.18032691160803982	0.01051561216799	1.176860572156971	0.06862763434611921	0.011218044175664896	4.543734196556772e-09	3.7220072692560707e-09	1.220775207530678
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.169375284235834	0.20448943461319882	0.011729660155821758	1.207315669082348	0.06925248987030283	0.0033541213975741006	5.448292000301123e-09	3.8613057318437335e-09	1.4109973098917552
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.13839775117556838	0.17411639047817712	0.011103290196223824	1.2580868475044573	0.08022738882612646	0.00175423290889343	8.065875705496763e-09	4.323743120092421e-09	1.8654844845001692
