Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1678925188876861	0.1951865199338164	0.012566183048028506	1.162568298021599	0.0748465931137457	0.02876233096422666	-1.9012965803311577e-09	4.484749768408677e-09	-0.42394708256059394
Astro_dev-2.lvl2.100UP_100DOWN	0.15859365603232525	0.1798598259839631	0.012577949194327497	1.1340921855493595	0.07930928329039721	0.09089495253076055	-3.831795098117658e-09	4.637618727566236e-09	-0.8262419407920011
Astro_dev-3.lvl2.100UP_100DOWN	0.13572025171615118	0.1566781331783332	0.011466430175270922	1.1544197066920703	0.08448577150631956	0.06721377920741486	-2.156550584620775e-09	4.913221911538018e-09	-0.4389279831949817
Astro_dev-4.lvl2.100UP_100DOWN	0.1288751063341877	0.13958354043873822	0.010562576425807909	1.083091563678577	0.08195978824970243	0.3093732416360944	-5.1794759510635904e-09	4.674841764587856e-09	-1.1079467951831785
Astro_dev-5.lvl2.100UP_100DOWN	0.09097610045294884	0.0957001400985669	0.007273091980602644	1.0519261610697552	0.07994508386698937	0.5174534412885914	-8.872377047182304e-09	4.399879932312597e-09	-2.016504355499297
Astro_GFAP.lvl2.100UP_100DOWN	0.17259764418295168	0.19398219205483308	0.011654318631872999	1.1238982604491057	0.06752304579267342	0.06719699917406845	-3.7565714574815095e-09	4.09184106039043e-09	-0.9180638744367724
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.16336688888855339	0.1879980542624226	0.011739402936645266	1.1507720783657223	0.07185913263399246	0.03471131766071897	-2.5025764162742818e-09	4.341777850606808e-09	-0.5763943947349865
Astro_SLC1A2.lvl2.100UP_100DOWN	0.17183101474058987	0.19888974366755696	0.011720593382596555	1.157472904224055	0.06820999922680385	0.02114185843559819	-2.387345482940773e-09	4.058835953379934e-09	-0.5881847678403329
BKGR_NRGN.lvl2.100UP_100DOWN	0.1193845022419298	0.14373867857087025	0.010511500289959315	1.203997804334664	0.08804744412015904	0.022128279636569034	3.76025420995655e-09	4.879317370824665e-09	0.7706516965755438
CCK_RELN.lvl2.100UP_100DOWN	0.15674703526612863	0.17244785940980917	0.009874767166329675	1.1001666418572023	0.06299811125335847	0.11298920911845098	1.2539137879404092e-09	3.650144598890976e-09	0.34352441498382996
CCK_SORCS1.lvl2.100UP_100DOWN	0.16996409590819503	0.17658839691481745	0.010875144868629677	1.0389747079889184	0.06398495406055532	0.5429279032789978	-8.221878031444016e-10	3.793356295630883e-09	-0.21674415453443752
CCK_SYT6.lvl2.100UP_100DOWN	0.14835890134787547	0.1646990043240299	0.009704122678879854	1.1101390130804472	0.06540977717356775	0.09516536963770117	2.1364358582321085e-09	3.872983708579136e-09	0.5516253149992962
CGE_dev.lvl2.100UP_100DOWN	0.13715822711657247	0.1674446886317251	0.010924449614997	1.2208140346507381	0.07964851868282152	0.006097378427357804	4.9214318039913816e-09	4.661494030356091e-09	1.0557627601671378
ID2_CSMD1.lvl2.100UP_100DOWN	0.1693138867793998	0.16330070117389678	0.010257791657742137	0.9644849827744039	0.060584467422374416	0.5582676635016646	-4.491399398118496e-09	3.5303275345079487e-09	-1.2722330588922255
ID2_dev.lvl2.100UP_100DOWN	0.14496795002448348	0.17098290830653828	0.010146426667769562	1.179453170701946	0.06999082670380552	0.012289687156535454	2.0407718055517248e-09	4.13274278213816e-09	0.49380566687382593
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.19687866067655635	0.2483897994915671	0.012635492860621484	1.2616390148023011	0.06417908785645288	8.68489319890927e-05	1.2660716985775133e-08	3.867801222391935e-09	3.2733628896123728
