Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro.lvl1.100UP_100DOWN	0.07617679716310201	0.12635539078897287	0.013647185189940401	1.6587123047249357	0.1791514699774058	0.0003401996474866023	2.2747983671384682e-08	1.570441921016461e-08	1.4485084336427518
CGE_dev.lvl1.100UP_100DOWN	0.06813742092770886	0.09239172338197624	0.007670385864061286	1.3559615571596149	0.1125722952179136	0.0020553001151251793	-3.4187736980002803e-10	1.0457665115991199e-08	-0.032691558393589296
ID2.lvl1.100UP_100DOWN	0.08892029217808148	0.08385275084767466	0.006930880233094029	0.943010293755468	0.07794486571426792	0.46614897705651626	-7.648136359494609e-09	7.555974087216607e-09	-1.0121972721470716
L2-3_CUX2.lvl1.100UP_100DOWN	0.08324907958334948	0.08790100340256027	0.007136338245872208	1.0558795826031115	0.08572272848647249	0.5152129478435405	-6.121460277353472e-09	8.41950498238491e-09	-0.7270570289061704
L4_RORB.lvl1.100UP_100DOWN	0.08366359629058712	0.07679504621015693	0.00753086955499966	0.9179027631495329	0.09001369638525744	0.36155841346623885	-1.3313637660450427e-08	8.631991105650546e-09	-1.5423599836352067
L5-6_THEMIS.lvl1.100UP_100DOWN	0.07854110249365936	0.09619556870290964	0.008592489670476043	1.2247799642317923	0.10940118482764762	0.04267521567449653	6.472275594762806e-09	1.0330610635116004e-08	0.6265143294397455
L5-6_TLE4.lvl1.100UP_100DOWN	0.08322878151715128	0.09243182275851332	0.007114582829492276	1.1105752249835057	0.08548224183753243	0.1963869658813151	2.415059244898916e-09	7.903421562291538e-09	0.30557135613536573
LAMP5_NOS1.lvl1.100UP_100DOWN	0.0849958875446872	0.11178000249862087	0.010613236303055305	1.315122480953584	0.12486764489017564	0.012147161345778867	7.177545249602387e-09	1.1290465766156398e-08	0.6357173741332579
MGE_dev.lvl1.100UP_100DOWN	0.07076962718155982	0.08690225818583922	0.007061863468781277	1.2279598133658531	0.09978664223656332	0.0240364418053579	-1.0030970091937842e-08	9.53317983923895e-09	-1.052216601500579
Micro.lvl1.100UP_100DOWN	0.07137689164137377	0.10443086178068997	0.008687908041864848	1.4630906359076639	0.12171877819387812	0.00019365744698222713	-1.4169228636007987e-08	1.241518083615603e-08	-1.1412825010767256
Oligo.lvl1.100UP_100DOWN	0.08287801080293279	0.11134834391500731	0.007783697246511251	1.3435209512903397	0.09391752011301664	0.00033670140087902904	-1.7344616860423394e-08	9.070419864992882e-09	-1.9122176391596406
OPC.lvl1.100UP_100DOWN	0.08783291973926546	0.1180100855305297	0.009549661014663832	1.3435746629036815	0.10872530530707933	0.001943806849272074	1.6729745309862595e-08	1.0127399807407282e-08	1.651928987500453
PN_dev.lvl1.100UP_100DOWN	0.06831641296600208	0.08486598829148108	0.006529925231054432	1.242248891693347	0.09558354936322659	0.012221323407377045	-9.335066054892347e-09	8.87972681069027e-09	-1.0512785194758352
Poor-Quality.lvl1.100UP_100DOWN	0.06351399115507572	0.09387763954636413	0.0073209224563210214	1.4780623582157284	0.11526472078327217	5.398269259978593e-05	-2.0620459653336344e-08	1.1941050999339417e-08	-1.7268546675227394
PV.lvl1.100UP_100DOWN	0.08546391733553828	0.10401090521944437	0.012223464778868055	1.2170154196312943	0.14302485961271516	0.13047005982121887	2.04499546494901e-09	1.2315349613492873e-08	0.16605257090781114
PV_SCUBE3.lvl1.100UP_100DOWN	0.08635854202177798	0.114353082353454	0.012470758319459237	1.3241664307465535	0.14440677236438695	0.026115303422975942	1.0967889066998963e-08	1.27868376659377e-08	0.857748362303515
SST.lvl1.100UP_100DOWN	0.09184371696846201	0.08943267392992688	0.007056380690473483	0.9737484161343006	0.07683030394878897	0.7329918677725288	-8.74320777759144e-09	7.541246066726614e-09	-1.1593850273853423
Vas.lvl1.100UP_100DOWN	0.08094684271967918	0.13369016484093235	0.01018869785606499	1.6515797324412582	0.125868996414705	4.706217249165632e-07	6.112963899589734e-09	1.2778734575385545e-08	0.47837005014287975
VIP.lvl1.100UP_100DOWN	0.08676618087187407	0.08282047647469762	0.00800920203637874	0.9545248579858205	0.09230787797616416	0.6209043574140174	-4.040012410470442e-09	8.981079917211498e-09	-0.4498359270501638
Astro_dev-1.lvl2.100UP_100DOWN	0.0756431761004865	0.12063788996212003	0.012773315389109242	1.5948284588402437	0.1688627586464748	0.0005500859669322362	1.5171704535380168e-08	1.4742043642819252e-08	1.0291452734078834
Astro_dev-2.lvl2.100UP_100DOWN	0.07419194824362176	0.126843398090133	0.013987155059348269	1.7096652816505282	0.18852659069443883	0.00023092512023487445	2.588401726261074e-08	1.7159513875308895e-08	1.5084353467527816
Astro_dev-3.lvl2.100UP_100DOWN	0.07182529437647947	0.13980642208805175	0.016314850297437834	1.9464789292090108	0.2271463060342212	4.819547023263056e-05	3.677783794170375e-08	2.0766037824999063e-08	1.77105706209535
Astro_dev-4.lvl2.100UP_100DOWN	0.06667730218234406	0.10858079441954521	0.013480262347287445	1.6284521248716188	0.20217168220787696	0.002176991670753244	7.603582554293871e-09	1.7389606381592564e-08	0.43724868679848317
Astro_dev-5.lvl2.100UP_100DOWN	0.07204991512556534	0.135551658868152	0.015392530448628804	1.8813576481237857	0.21363703790356167	6.422523117947368e-05	1.2705522095856015e-08	1.9139468095093934e-08	0.663838829414118
Astro_GFAP.lvl2.100UP_100DOWN	0.07477790812155824	0.12150884619630126	0.012895468730068181	1.6249297319039422	0.17245024705833484	0.00041064134944884725	1.4778090388753675e-08	1.495497183241917e-08	0.9881723987415307
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.07614542742443206	0.1331697490908941	0.014723142819817032	1.7488870125925011	0.19335557390400776	0.00018365572254113813	2.5056661407697328e-08	1.6860733509233176e-08	1.4860955719379554
Astro_SLC1A2.lvl2.100UP_100DOWN	0.0774364515356829	0.12715119107686398	0.013386982680507547	1.6420069431806597	0.1728770161212616	0.00029033332160887493	1.4496261808141704e-08	1.5025162224785666e-08	0.9647990212197854
