Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro.lvl1.100UP_100DOWN	0.07617679716310201	0.08058764118325044	0.008779163041492987	1.0579027234592757	0.11524720608423503	0.6149241403697436	-5.58266576502568e-09	6.148467830139579e-09	-0.9079767381492416
CGE_dev.lvl1.100UP_100DOWN	0.06813742092770886	0.0734120853802538	0.007379882646209797	1.0774121529803888	0.10830880514305882	0.4745768769222899	-2.7695219546228804e-09	5.755103155051153e-09	-0.4812288989454724
ID2.lvl1.100UP_100DOWN	0.08892029217808148	0.09375100912141378	0.007752533111649588	1.0543263728110315	0.0871851961093821	0.5337096974558646	1.6672930524746314e-09	4.613962192238515e-09	0.36135819562616
L2-3_CUX2.lvl1.100UP_100DOWN	0.08324907958334948	0.10474441368114042	0.007577248403197476	1.258205066114511	0.09101900514841235	0.005438928447478042	1.3015764410742e-08	4.873856303458454e-09	2.6705269093604804
L4_RORB.lvl1.100UP_100DOWN	0.08366359629058712	0.11233609916828635	0.008909910926149133	1.3427118143249734	0.10649686746912618	0.0018333831199675243	1.6690734723876347e-08	5.760393358276953e-09	2.8974991264952212
L5-6_THEMIS.lvl1.100UP_100DOWN	0.07854110249365936	0.09427970652067148	0.009348610998215197	1.200386848762184	0.11902826292729862	0.0961335147311266	5.995584935250941e-09	6.377457579167512e-09	0.940121492118742
L5-6_TLE4.lvl1.100UP_100DOWN	0.08322878151715128	0.09130671135978805	0.008246279711157892	1.0970569278485967	0.09907966403975947	0.3293363031341128	3.457234027352028e-09	5.1648570875468896e-09	0.6693765129896522
LAMP5_NOS1.lvl1.100UP_100DOWN	0.0849958875446872	0.08971000829044701	0.007327152905575041	1.0554629274655356	0.08620596969144816	0.5194960662806778	-1.4988640996145952e-09	4.564493585746803e-09	-0.32837467540648635
MGE_dev.lvl1.100UP_100DOWN	0.07076962718155982	0.09015859238667362	0.008145647155231096	1.2739729736793908	0.1151008911539607	0.017944874152681266	7.697743846069933e-09	6.133481252214072e-09	1.2550366634431616
Micro.lvl1.100UP_100DOWN	0.07137689164137377	0.06000936959339419	0.0060710751059025935	0.840739463619478	0.085056591374224	0.060542537067717554	-1.4533547245852649e-08	4.450425590747701e-09	-3.265653351460914
Oligo.lvl1.100UP_100DOWN	0.08287801080293279	0.0975622301037486	0.008626605894544705	1.177178713129734	0.10408799404050653	0.09441271317057592	-5.56979465317034e-11	5.807614415319175e-09	-0.009590503526677804
OPC.lvl1.100UP_100DOWN	0.08783291973926546	0.09034238828202522	0.008708116803873671	1.0285709338845752	0.0991441116807225	0.7732584827106833	-4.527168632516959e-09	5.144319589469361e-09	-0.8800325395382247
PN_dev.lvl1.100UP_100DOWN	0.06831641296600208	0.09331477115423789	0.007237361976865678	1.3659202394112282	0.10593884635698568	0.0008503831980118867	1.011288512989479e-08	5.658454261222479e-09	1.78721690819322
Poor-Quality.lvl1.100UP_100DOWN	0.06351399115507572	0.07298186522820399	0.007664214814046505	1.1490675345848054	0.12066970874706272	0.21878823856871238	9.815547086078326e-10	6.223313761699339e-09	0.15772219531155524
PV.lvl1.100UP_100DOWN	0.08546391733553828	0.09406105114844761	0.007132423950383601	1.1005937251759277	0.08345538295864822	0.22687358731845644	1.3337438177169397e-10	4.457394021966965e-09	0.029922053359967116
PV_SCUBE3.lvl1.100UP_100DOWN	0.08635854202177798	0.10455413741603303	0.008214910347890113	1.2106982698905044	0.0951256257408615	0.028438357966228026	6.718358787775832e-09	5.258969210156279e-09	1.2775048720196223
SST.lvl1.100UP_100DOWN	0.09184371696846201	0.10896958174470908	0.008656386556111444	1.1864674617004871	0.09425126553930673	0.05056801526915508	5.359731007485755e-09	5.0895058048866076e-09	1.0530945857925331
Vas.lvl1.100UP_100DOWN	0.08094684271967918	0.05697796517939355	0.007240468542421031	0.7038936080151956	0.08944720138739622	0.000890770378893131	-2.2444633973780462e-08	4.807778258819714e-09	-4.668400405656501
VIP.lvl1.100UP_100DOWN	0.08676618087187407	0.08985428599400128	0.00767451545028483	1.035591115006979	0.08845053882938143	0.6873238325350768	2.7813262426702347e-09	4.745528407657417e-09	0.5860941087576818
Astro_dev-1.lvl2.100UP_100DOWN	0.0756431761004865	0.083297741736076	0.00884617539136736	1.1011930755712975	0.11694611262245062	0.3846808589288334	-4.252003837670057e-09	6.261312029532338e-09	-0.6790915095134848
Astro_dev-2.lvl2.100UP_100DOWN	0.07419194824362176	0.09043084673365842	0.00896446793655829	1.2188768306328	0.12082804332246337	0.07025256604388132	1.175516846445714e-09	6.349457153615668e-09	0.18513659010618277
Astro_dev-3.lvl2.100UP_100DOWN	0.07182529437647947	0.07388617655288834	0.008442119745901035	1.0286929861450558	0.11753686245476168	0.8071869133388474	-8.569938365931478e-09	6.238913896788502e-09	-1.3736266452311319
Astro_dev-4.lvl2.100UP_100DOWN	0.06667730218234406	0.06999285743098316	0.008270614160987571	1.0497253959011714	0.1240394240662245	0.6880035488522664	-7.020740413767854e-09	6.544269544217561e-09	-1.072807341802004
Astro_dev-5.lvl2.100UP_100DOWN	0.07204991512556534	0.08067966234669982	0.006764405471988276	1.1197745647041353	0.0938849887636866	0.20510421477628793	-5.557787230949838e-09	5.107605458957254e-09	-1.0881394962101263
Astro_GFAP.lvl2.100UP_100DOWN	0.07477790812155824	0.07305533850529465	0.007890246720658523	0.976964190901631	0.10551574547702262	0.8270761504557119	-9.81560598161756e-09	5.621951073748304e-09	-1.7459429747532889
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.07614542742443206	0.0859799113031362	0.00924387688316672	1.1291539651342037	0.12139766228695073	0.2855993720976288	-2.9351747210160386e-09	6.51509807011389e-09	-0.45051888543018187
Astro_SLC1A2.lvl2.100UP_100DOWN	0.0774364515356829	0.09518025887456266	0.009446383694014262	1.229140243218704	0.12198885029825192	0.06017821799322895	1.9159621862480474e-09	6.522598701639299e-09	0.29374215307259605
BKGR_NRGN.lvl2.100UP_100DOWN	0.0637936347612939	0.07160183217592138	0.007840919483677706	1.1223977508703582	0.12291068714013922	0.3200315243042946	-6.683312535861248e-10	6.499336065819987e-09	-0.10283069636926137
CCK_RELN.lvl2.100UP_100DOWN	0.08064639778942316	0.08840647169616948	0.006798984381535308	1.0962234410891947	0.08430611370005915	0.25499914501809284	8.593749936348177e-10	4.461155324946346e-09	0.1926350756785527
CCK_SORCS1.lvl2.100UP_100DOWN	0.07808464763311966	0.07717179278576725	0.007246581145107715	0.9883094196487706	0.09280417296823495	0.8997403520774733	-1.9855721019147743e-09	4.90784703960973e-09	-0.40457090163768966
CCK_SYT6.lvl2.100UP_100DOWN	0.07983749468853288	0.09233177763599691	0.00807515235960642	1.156496430608294	0.10114486171077536	0.12498597025439258	5.138814754875801e-09	5.4776108105589e-09	0.9381489362059057
CGE_dev.lvl2.100UP_100DOWN	0.06797252010892513	0.07569877770905327	0.00790296004289589	1.113667370104079	0.11626698598538783	0.32885977583407566	-5.305157414894621e-10	6.14990649309475e-09	-0.08626403378411313
ID2_CSMD1.lvl2.100UP_100DOWN	0.08501266280600803	0.0785921042588344	0.007235879914955224	0.9244752683276746	0.0851153190139087	0.3752871804724296	-4.123577497099992e-09	4.470637433797746e-09	-0.9223690263777594
ID2_dev.lvl2.100UP_100DOWN	0.07619155939306434	0.07864474773974967	0.007440654231689717	1.0321976392953134	0.09765719839522059	0.7417657440267804	-4.550419883530025e-09	5.146128481544741e-09	-0.8842414059129945
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.08596398787551213	0.1030184406974281	0.007371795381485319	1.1983906661777164	0.08575446025329478	0.022260256885542645	9.970274050829619e-09	4.5233716933658225e-09	2.204168643813301
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.07764077421857059	0.08609614449136839	0.0075136927568405015	1.1089037346407011	0.09677508799291869	0.263031447962651	3.0568556339296037e-09	5.222726205475263e-09	0.585298848468246
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.07965581860842832	0.08546424326423192	0.006484990866989938	1.0729190253427263	0.08141264480462906	0.3722231752550158	2.616210257104503e-09	4.304643708569955e-09	0.6077646453981748
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.06732197547490346	0.08711705081978921	0.007506451748910696	1.2940358657815239	0.11150076473482244	0.010052181455653939	7.900564243982986e-09	5.906661608031392e-09	1.3375684554606022
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.07235371510808553	0.08512067080363928	0.006951279976223336	1.1764519717678885	0.09607357363528843	0.06659941127973082	1.353130783592881e-09	4.927381275371736e-09	0.27461458896151625
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.08063213881730046	0.10217929577642412	0.009165631507806402	1.2672278978974634	0.11367218632974946	0.021450223235172657	7.037250808828166e-09	6.0191240975766725e-09	1.1691486493294592
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.06609687814064345	0.08395037927307628	0.007631091572030456	1.2701111101562688	0.11545313162586483	0.021347027249092477	7.258071145709393e-09	6.108161993380702e-09	1.1882578021956238
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.08368691390382306	0.1052915596137436	0.007612836665376045	1.2581603825748626	0.09096806549856856	0.005256054854624572	1.2731326212005777e-08	4.81834108190985e-09	2.6422633839278666
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.08045918587308273	0.09044675420281036	0.007312600328832979	1.1241321077431996	0.09088583546405703	0.17556500394393137	4.763617895365504e-09	4.8202506858400625e-09	0.9882510694638927
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.09127319033094068	0.09825839937820384	0.007420915675382321	1.076530786553379	0.08130444053150081	0.3479577930668031	3.2159279675595156e-09	4.27466839065173e-09	0.7523222092718178
