Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
L4_RORB_LRRK1-GO.0050877.lvl2.100UP_100DOWN	0.01584691835933247	0.02949703448810749	0.008435681084654175	1.8613735376970801	0.5323231238637817	0.11024831285643355	1.3096854765207829e-08	9.284722668293755e-09	1.4105811485282227
L4_RORB_LRRK1-GO.0055085.lvl2.100UP_100DOWN	0.019022139822138615	0.03023809541646539	0.0073146768896584086	1.589626387945759	0.3845349134246894	0.12728359226024316	9.738630409387176e-09	6.687192391585778e-09	1.4563107862188769
L4_RORB_LRRK1-GO.0060078.lvl2.100UP_100DOWN	0.0039262499121395684	0.019637681754378584	0.008815779516341436	5.001638253759867	2.2453434482313352	0.08200525111552565	6.671427992356099e-08	3.9145885800042675e-08	1.704247548882602
L4_RORB_LRRK1-GO.0071805.lvl2.100UP_100DOWN	0.006145784737498195	0.006920093306245097	0.001629667742455352	1.1259901870663478	0.2651683734563654	0.6340592390988726	1.6655689620514962e-09	4.5655138847523365e-09	0.36481522214050777
L4_RORB_LRRK1-GO.0098660.lvl2.100UP_100DOWN	0.014618801478034724	0.022225098732795746	0.0065048392002798475	1.5203092241309768	0.44496391924150575	0.24326935637329766	8.467860683011964e-09	7.637997672765291e-09	1.1086492881774113
L4_RORB_LRRK1-GO.0003008.lvl2.100UP_100DOWN	0.023830768479753687	0.03950727719873791	0.008886527474375912	1.6578264033869818	0.3729014228779819	0.08187938021057879	1.0044716183752482e-08	6.551672651771767e-09	1.5331529393545162
L4_RORB_LRRK1-GO.0006811.lvl2.100UP_100DOWN	0.02167313436866891	0.03271732049124404	0.0073885756107676314	1.5095795529483178	0.3409094173959764	0.13644600944691607	8.593185753169276e-09	5.9308958473791975e-09	1.4488849533526234
L4_RORB_LRRK1-GO.0006813.lvl2.100UP_100DOWN	0.007053661880181354	0.007785465843868333	0.001646902788974365	1.103748092284254	0.23348195830050505	0.6561511666543414	1.0314656667934312e-09	4.0442331656947715e-09	0.25504604322590596
L4_RORB_LRRK1-GO.0006836.lvl2.100UP_100DOWN	0.005295111235919055	0.014181338982674895	0.006354032581500096	2.678194725443475	1.1999809443846834	0.1646029365710242	2.6336339493250162e-08	2.0559581683694276e-08	1.2809764273626933
L4_RORB_LRRK1-GO.0007186.lvl2.100UP_100DOWN	0.012693840241469821	0.030454408966560112	0.008059412206323826	2.3991485939036674	0.6349073293040457	0.03120028126377515	2.3392348352578924e-08	1.1163625786080793e-08	2.095407782455888
L4_RORB_LRRK1-GO.0007267.lvl2.100UP_100DOWN	0.024963434124135927	0.059298560969604855	0.010817559810123169	2.375416806627257	0.4333362051202802	0.0023051538114431214	2.1389641842997735e-08	7.849879080679766e-09	2.724837111904338
L4_RORB_LRRK1-GO.0007268.lvl2.100UP_100DOWN	0.015956293063144264	0.0494213097377045	0.009494809325234131	3.0972926820865117	0.5950510740596245	0.0008063542584873338	3.380104465117077e-08	1.077097110874576e-08	3.1381612957558827
L4_RORB_LRRK1-GO.0007270.lvl2.100UP_100DOWN	0.0037922155741861607	0.015160792944300514	0.007340037457352309	3.997872127180992	1.9355538507136527	0.12693004929502	4.8564234180939055e-08	3.3542561871480357e-08	1.4478391473798222
L4_RORB_LRRK1-GO.0007399.lvl2.100UP_100DOWN	0.03333361851277579	0.059783549925492646	0.00852827912997507	1.793491153760561	0.25584618503708	0.0021357684840640394	9.239049909114826e-09	4.47990575788209e-09	2.062331309728859
L4_RORB_LRRK1-GO.0019226.lvl2.100UP_100DOWN	0.0022030950692642154	0.0015959891394337197	0.0011418304334531082	0.7244304441055031	0.5182846847523717	0.5965555535040131	-7.0295854496007e-09	8.852075814165519e-09	-0.794117176261823
L4_RORB_LRRK1-GO.0042391.lvl2.100UP_100DOWN	0.009663557036475624	0.023609139890101997	0.008126402468418193	2.443110730447185	0.8409328405414944	0.09312847566335872	2.365410939427235e-08	1.4632733114230394e-08	1.6165202501553608
L4_RORB_LRRK1-GO.0043269.lvl2.100UP_100DOWN	0.01072123726275377	0.01906646668246441	0.006063549288086117	1.7783830555361808	0.5655643224267833	0.17035357240897772	1.2983130810162524e-08	9.706784000929497e-09	1.3375316488879625
L4_RORB_LRRK1-GO.0046903.lvl2.100UP_100DOWN	0.013389174823218102	0.025368904391651945	0.007165831653713976	1.894732478035902	0.5351959137382942	0.09674118788046818	1.3397456604616916e-08	9.219565962864075e-09	1.45315480778392
L4_RORB_LRRK1-GO.0050804.lvl2.100UP_100DOWN	0.01412846058962695	0.043058849680356046	0.01033337642654999	3.0476674657654956	0.7313872846229763	0.00680361816058483	3.193677113826719e-08	1.3008292395882452e-08	2.4551086465719525
L4_RORB_LRRK1-GO.0050808.lvl2.100UP_100DOWN	0.010649942402140254	0.024698518326022517	0.007780656825801093	2.319122244366224	0.7305820568792429	0.07389651984538732	1.7666729170121536e-08	1.2537069649988482e-08	1.409159370039694
