Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
L4_RORB_LRRK1-GO.0050877.lvl2.100UP_100DOWN	0.01584691835933247	0.034741519410600455	0.004431242368101448	2.192320211591214	0.27962801773960216	3.579674307508968e-05	6.180243934878944e-08	1.606659582594637e-08	3.8466418162447984
L4_RORB_LRRK1-GO.0055085.lvl2.100UP_100DOWN	0.019022139822138615	0.038286042016715205	0.0060624288490338085	2.0127095255685483	0.3187038317307576	0.0019707811691928156	5.3972653231076115e-08	1.8411984323808987e-08	2.931387094506851
L4_RORB_LRRK1-GO.0060078.lvl2.100UP_100DOWN	0.0039262499121395684	0.012384854865629853	0.0035412413241186773	3.1543725292007347	0.9019398671412934	0.017672303841376	1.1471585367715725e-07	5.08639757537944e-08	2.2553457919301474
L4_RORB_LRRK1-GO.0071805.lvl2.100UP_100DOWN	0.006145784737498195	0.011861584466565336	0.002668406116757399	1.9300357843958442	0.43418476740264816	0.03262156671208578	4.886252214577388e-08	2.4344607082280265e-08	2.0071189475610596
L4_RORB_LRRK1-GO.0098660.lvl2.100UP_100DOWN	0.014618801478034724	0.033500059680010325	0.005853307772799104	2.2915736102132156	0.4003958725066422	0.0017139044597957848	6.972294070211489e-08	2.3090336260330185e-08	3.0195723403950927
L4_RORB_LRRK1-GO.0003008.lvl2.100UP_100DOWN	0.023830768479753687	0.05131275665871543	0.007050638934463522	2.153214517706808	0.2958628438882973	0.00018602788386243212	5.981703659119157e-08	1.7376467936328953e-08	3.4424163075242804
L4_RORB_LRRK1-GO.0006811.lvl2.100UP_100DOWN	0.02167313436866891	0.04128805056640616	0.005928624647371248	1.9050336635245955	0.27354717349705443	0.0013006269790690624	4.8664155914909394e-08	1.5858153549116605e-08	3.068715141657856
L4_RORB_LRRK1-GO.0006813.lvl2.100UP_100DOWN	0.007053661880181354	0.012926979676569611	0.0027856939838188325	1.8326622251189122	0.39492876624066514	0.03588186649251116	4.2769140968691015e-08	2.2282843419727002e-08	1.9193753760719556
L4_RORB_LRRK1-GO.0006836.lvl2.100UP_100DOWN	0.005295111235919055	0.01141728314267334	0.003562591799488326	2.156193257135925	0.6728077354299392	0.0885902675218775	5.639528559232906e-08	3.824300871959569e-08	1.4746560869681824
L4_RORB_LRRK1-GO.0007186.lvl2.100UP_100DOWN	0.012693840241469821	0.020790933243834447	0.0036843538206390524	1.637875760868018	0.29024737593612887	0.028792880662018024	3.1926769484569736e-08	1.671217402387408e-08	1.9103899611720732
L4_RORB_LRRK1-GO.0007267.lvl2.100UP_100DOWN	0.024963434124135927	0.050645924141829904	0.006395553331114576	2.0288043660172073	0.25619685574153545	0.00011862331490249394	4.9180873952187725e-08	1.5123967887311928e-08	3.251849932414061
L4_RORB_LRRK1-GO.0007268.lvl2.100UP_100DOWN	0.015956293063144264	0.03548728426461184	0.004702139095971041	2.224030614390013	0.2946886897453651	5.111549702433199e-05	6.006204229519332e-08	1.7060078488872153e-08	3.5206193414860447
L4_RORB_LRRK1-GO.0007270.lvl2.100UP_100DOWN	0.0037922155741861607	0.010626576921771252	0.0030683406362581565	2.8022080269136067	0.8091155621912782	0.026987340641851293	9.289140338999271e-08	4.5847179065341684e-08	2.026109463738288
L4_RORB_LRRK1-GO.0007399.lvl2.100UP_100DOWN	0.03333361851277579	0.06858565455197428	0.006432135157920277	2.057552033412977	0.1929624038702858	3.6453490112635163e-07	4.6640868995175123e-08	1.1582549656523417e-08	4.026822278193858
L4_RORB_LRRK1-GO.0019226.lvl2.100UP_100DOWN	0.0022030950692642154	0.009262262290632218	0.002361339468818232	4.204204539264666	1.0718282210158396	0.0028867746616706835	1.7374893637946023e-07	5.977035255962771e-08	2.906941802060243
L4_RORB_LRRK1-GO.0042391.lvl2.100UP_100DOWN	0.009663557036475624	0.02780160111595755	0.005244113225978302	2.876953176870472	0.5426690406218031	0.0008279728206265237	1.0071374971242524e-07	3.1136664448273845e-08	3.23457093099157
L4_RORB_LRRK1-GO.0043269.lvl2.100UP_100DOWN	0.01072123726275377	0.02174987126852833	0.004782968409117037	2.0286717601231254	0.4461209365950104	0.023984101700896876	5.453430754077617e-08	2.564119914166508e-08	2.1268236028853225
L4_RORB_LRRK1-GO.0046903.lvl2.100UP_100DOWN	0.013389174823218102	0.025343053938918076	0.004508791160955664	1.892801780059725	0.336748994653277	0.00873895517404204	4.289531791363496e-08	1.918686353529422e-08	2.2356607600157816
L4_RORB_LRRK1-GO.0050804.lvl2.100UP_100DOWN	0.01412846058962695	0.030615174728660967	0.004959437502181946	2.166915109713969	0.35102461947079655	0.0011309716371494586	5.520020439012957e-08	2.0239407444626355e-08	2.7273626730996736
L4_RORB_LRRK1-GO.0050808.lvl2.100UP_100DOWN	0.010649942402140254	0.022697011680439007	0.0044165105471053205	2.1311863316629513	0.4146980688100023	0.007300992829226506	4.873792887342943e-08	2.3659427760292867e-08	2.0599791916871846
