Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.13679672023510864	0.15885407283463623	0.011907481332339136	1.1612418233537927	0.08704507909161921	0.06259701081108303	-1.822860451728179e-09	5.012661002783078e-09	-0.3636512524417887
Astro_dev-2.lvl2.100UP_100DOWN	0.1298710535988052	0.15412539634932104	0.011464412288258247	1.1867571108296529	0.08827534674257637	0.034358069668457177	7.863524355696066e-11	4.965521263002868e-09	0.015836251501500264
Astro_dev-3.lvl2.100UP_100DOWN	0.12339009914011688	0.14328101719770117	0.011051282367543576	1.1612035179175677	0.0895637692534324	0.07009625186406376	-3.0146909958224165e-09	5.214507922461876e-09	-0.5781352796179317
Astro_dev-4.lvl2.100UP_100DOWN	0.12200764985466753	0.13810160135568517	0.010462872560557295	1.1319093640455198	0.08575587328352285	0.12474022454310901	-3.4408958245220016e-09	4.79147767426669e-09	-0.718128322500973
Astro_dev-5.lvl2.100UP_100DOWN	0.0905270267073903	0.09910784865404015	0.007743143327028531	1.094787405029722	0.08553405108572298	0.27108179387393927	-6.366743612366187e-09	4.802737737613582e-09	-1.3256488195272016
Astro_GFAP.lvl2.100UP_100DOWN	0.14285275732454042	0.15352884178715964	0.01092596031697097	1.074734885504273	0.07648407018248025	0.32772500989562026	-6.4253223595789895e-09	4.355519480029749e-09	-1.475213780822099
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.13509788952114848	0.15525769363234598	0.010894453305737616	1.1492236790867236	0.08064118058655666	0.06331095003916677	-3.0274635487152182e-09	4.6039057515774235e-09	-0.657585909024729
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1358284521516705	0.1557438911005863	0.010548471676934672	1.1466219973314398	0.07766025092560065	0.058263660674735505	-2.972806911183894e-09	4.556826444262118e-09	-0.6523853711670771
BKGR_NRGN.lvl2.100UP_100DOWN	0.1014559417052959	0.12858910665815715	0.009125266667727932	1.2674379094688835	0.0899431468906429	0.0033817455883751748	6.994238965162815e-09	4.940723826396859e-09	1.4156304239865862
CCK_RELN.lvl2.100UP_100DOWN	0.14845183629559286	0.1701264568449125	0.008272902432351304	1.1460043950292524	0.05572785516696842	0.009338662813817176	2.0391487521846816e-09	3.207763571624167e-09	0.6356917231129388
CCK_SORCS1.lvl2.100UP_100DOWN	0.15221620493598645	0.17548054950207873	0.010269755280128327	1.1528375022611814	0.06746821262852537	0.024377567402402708	4.059888951966495e-09	3.944335264522246e-09	1.0292961119414998
CCK_SYT6.lvl2.100UP_100DOWN	0.15118536512782163	0.16926148367204433	0.009887080542788062	1.11956262121628	0.0653970742103834	0.06995560092759719	8.645009451161559e-10	3.8799019679322475e-09	0.22281515158407017
CGE_dev.lvl2.100UP_100DOWN	0.11620793875821799	0.15402939036040894	0.009989500112396603	1.3254635785329796	0.08596228639061172	0.0002130855235779873	9.880268320469444e-09	4.897207858133952e-09	2.017530929192426
ID2_CSMD1.lvl2.100UP_100DOWN	0.1533267272354252	0.16835209542591065	0.010091795414205797	1.0979957536523608	0.0658188927407964	0.13558495775983664	1.6767324777055982e-09	3.848176571599225e-09	0.4357212946205277
ID2_dev.lvl2.100UP_100DOWN	0.13215399891195656	0.1697861919072819	0.011520906702397691	1.2847601533450121	0.08717788941122495	0.0013614863130531928	7.2417980747898045e-09	5.060202753191658e-09	1.4311280452590824
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.15789614066660526	0.18941142047208331	0.010697593858426915	1.1995949975244928	0.06775082540500267	0.003728689463940974	7.86089554551816e-09	3.911281317003486e-09	2.009800602003375
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.14343351687146744	0.16664404830796573	0.011798095164985613	1.1618208347864574	0.08225479945219522	0.05289367255018942	3.827478083005755e-09	4.872217391840102e-09	0.7855721071510363
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.1474325714177394	0.16238570497969296	0.009912803799487713	1.1014235417463143	0.06723618603517746	0.13147577977993202	1.625595158963848e-09	3.866382590903272e-09	0.420443430194546
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.12031469048216965	0.15493062395205037	0.009827446866676753	1.2877116113681124	0.0816811881183633	0.0006912320065485967	6.633108585620952e-09	4.6619801544249515e-09	1.4228092711473879
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.13424973230876747	0.15824141060512306	0.008998410416670767	1.1787093194433786	0.06702739932452817	0.008553839929001448	3.615925722006436e-09	3.896309762148364e-09	0.928038565396985
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.15050680580739417	0.18724495796853277	0.011036787157258218	1.2440962849756638	0.07333081781950884	0.001092817131549373	6.813240344016218e-09	4.237154059996027e-09	1.6079756004960097
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.1224392773284524	0.15882965138813437	0.0100149784109422	1.2972116044270836	0.08179547143255575	0.00042398033987976747	8.908850300217156e-09	4.666523874179436e-09	1.909097765364737
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.15409419544085304	0.1930601647382419	0.010242179514298826	1.252871103845994	0.06646700406200666	0.00020996107855893154	1.0281756235135219e-08	3.833116730536038e-09	2.682348845060447
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.15062423263663996	0.17846840789383112	0.010181740124076188	1.1848585368355793	0.06759695930626397	0.007594377027427055	5.856528274411081e-09	3.788326979846224e-09	1.5459405446170884
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.15833615577105056	0.1885084564283016	0.01031802156523264	1.1905585020068272	0.06516529035953227	0.004050981201057967	7.30096502558242e-09	3.7005480260614024e-09	1.9729415681582283
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.1473856006860411	0.16750120643767838	0.0097756969346541	1.1364828426793694	0.06632735415909566	0.04213680116218745	3.4988020759246694e-09	3.823049945483015e-09	0.9151860754679785
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.1491773663477186	0.1930220636827461	0.010836684850374631	1.2939098497880004	0.07264295593686326	0.00011564734772916347	1.1091304748085466e-08	4.313626228239302e-09	2.571225266453514
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.12235691079536715	0.161276154400286	0.010933790762018706	1.3180796519945523	0.08935981376895548	0.0005573593461536794	1.0176788425322549e-08	5.0992304774322776e-09	1.9957498431110494
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.1612721620074217	0.2107823877891088	0.009787073563035958	1.306997966452565	0.06068668914220645	2.162408986834841e-06	1.335267866434607e-08	3.646447528162017e-09	3.661832115016462
L4_RORB_MET.lvl2.100UP_100DOWN	0.15268524124251676	0.19599919116570724	0.010542951919905598	1.2836813143871124	0.06905023585848588	9.218389703790795e-05	1.1366149197542566e-08	3.993657231339719e-09	2.8460502589827064
L4_RORB_MME.lvl2.100UP_100DOWN	0.15222241178267515	0.19205272651996375	0.009527220868549504	1.2616586760834767	0.06258750440868933	5.417357860621464e-05	1.0686314614664116e-08	3.612876288080159e-09	2.957841277300613
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.1611502058576193	0.2078190224661502	0.011075407756573025	1.289598243825789	0.06872723306576758	6.188316586485774e-05	1.1973101286628298e-08	4.035385477809541e-09	2.9670278967072687
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.12655374567261166	0.17656542560475288	0.01017730446739237	1.395181348970255	0.08041883243598777	3.0020808711338094e-06	1.3938795543366956e-08	4.728660308567443e-09	2.9477261282889113
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.1463673423238669	0.19240187261756425	0.011213219353089039	1.3145136719900044	0.07661011790647643	9.15511593676693e-05	1.0476283067192076e-08	4.527292226505571e-09	2.314028461838056
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.14853671911787625	0.1961697272496607	0.010471110289585596	1.320681703585924	0.07049509610667984	9.141689024156478e-06	1.0543715838288566e-08	4.071422427924894e-09	2.5896884995209017
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.13194548241373866	0.16570192925333516	0.009781604137723544	1.2558363213508676	0.07413367975003171	0.0008288191388395736	5.743459300531196e-09	4.317007394292252e-09	1.3304260975148974
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.1613307076694314	0.1687277218445618	0.00850906945102508	1.0458500076147128	0.052743024399671434	0.38501327073501956	-1.9747474412644554e-09	3.1474764282051603e-09	-0.6274065862950877
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.14878683826416977	0.18595755608132145	0.010953991492725723	1.2498253088163307	0.07362204628125106	0.0011107771886317553	8.972783330235558e-09	4.415032762470605e-09	2.03232542383547
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.1585659768511459	0.20013473660900888	0.011693274513594915	1.2621543447298642	0.07374390613802354	0.0006807706194437578	1.0791289657947524e-08	4.393273539679925e-09	2.456320909791047
LAMP5_CCK.lvl2.100UP_100DOWN	0.14611084857827145	0.15988510755490334	0.01002445013396872	1.0942726642864786	0.0686085272347086	0.17246284339581833	-1.2392587230992321e-09	3.901478112434483e-09	-0.31763826103485354
LAMP5_NDNF.lvl2.100UP_100DOWN	0.14482703782938855	0.15620561235222705	0.00947614925085876	1.0785666453818028	0.06543080209941188	0.23320401485019368	7.12851108199451e-11	3.746156857500332e-09	0.019028864388639335
LAMP5_NOS1.lvl2.100UP_100DOWN	0.14979738000613638	0.18341938314894785	0.010056732981929708	1.2244498745000356	0.06713557327583258	0.0008589783591263817	6.28079920882671e-09	3.839156717242899e-09	1.6359840640569847
MGE_dev-1.lvl2.100UP_100DOWN	0.1204594609873684	0.15571793222958427	0.009707695762624927	1.2926998921729622	0.08058890254907329	0.0003441938882228007	7.3954431052123976e-09	4.512183116783576e-09	1.6389944543039952
MGE_dev-2.lvl2.100UP_100DOWN	0.1255465589829092	0.18316388825278723	0.011257144818064667	1.458931967045959	0.0896651004158315	1.1744566597431873e-06	1.7502673255498257e-08	5.216925188585511e-09	3.354978770597214
Micro.lvl2.100UP_100DOWN	0.12102579380955952	0.10557895378178755	0.007962156692768074	0.8723673727595757	0.06578892351903882	0.05389432517246802	-1.669081419335977e-08	3.842346668425015e-09	-4.34391158156517
Micro_out.lvl2.100UP_100DOWN	0.12094644682351201	0.11962852545679456	0.00860343583946357	0.989103265111702	0.07113425871880232	0.8781485664844306	-9.88406487125334e-09	4.106927607509455e-09	-2.4066810559749037
Oligo-1.lvl2.100UP_100DOWN	0.13129107946961321	0.15580360879615637	0.00977366710644051	1.1867036924790955	0.0744427355302733	0.013763262536768739	4.364124111769509e-10	4.30539311885417e-09	0.10136412613886858
Oligo-2.lvl2.100UP_100DOWN	0.13616949321432292	0.15743527619578174	0.00969459743991841	1.156171419012243	0.07119507615894313	0.030823787375624467	-1.351438328253786e-09	4.217111344504721e-09	-0.320465412898057
Oligo-3.lvl2.100UP_100DOWN	0.1286214643830168	0.15348240847914033	0.009952035795545575	1.1932876772580594	0.07737461117617041	0.014440127024676614	-9.415388982186276e-10	4.640048961286166e-09	-0.20291572482839584
Oligo-4.lvl2.100UP_100DOWN	0.13598513309240703	0.1573552910076497	0.00972598114004411	1.1571506930887867	0.07152238571134786	0.030456537971502974	-8.742370973698647e-10	4.16200684080641e-09	-0.21005181654157895
