Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.06266751146882678	0.07301980604442236	0.005917736076681255	1.1651939630751926	0.09443068566118129	0.07805013037733212	1.0713554573002994e-09	3.3283325492675198e-09	0.3218895472257053
Astro_dev-2.lvl2.100UP_100DOWN	0.06684253850635422	0.0762362801800012	0.005512021295792501	1.1405353818624646	0.08246277623445607	0.0851098579415152	-2.1396754832893825e-09	2.948536423993405e-09	-0.725673749823132
Astro_dev-3.lvl2.100UP_100DOWN	0.046686558771540904	0.05988204095494208	0.007884964077061766	1.2826398546093924	0.1688915243388696	0.0967817067362153	4.103472212399534e-09	6.072396476976523e-09	0.6757582822462003
Astro_dev-4.lvl2.100UP_100DOWN	0.06504070768788418	0.07349728804870126	0.0052099084578233305	1.1300198085389586	0.0801022719928651	0.10046409386470205	-1.3309108320390927e-09	2.873949218924119e-09	-0.46309476287035006
Astro_dev-5.lvl2.100UP_100DOWN	0.030043822015148398	0.02865101491623491	0.0028206669981570825	0.9536408151329341	0.0938850921409025	0.6220366785544236	-8.944317007245746e-09	3.2135324578755243e-09	-2.7833286654147753
Astro_GFAP.lvl2.100UP_100DOWN	0.06489157561474203	0.06815016402369135	0.005687416911832966	1.0502158928655916	0.08764491935900694	0.5656342906796079	-2.0414068099802018e-09	3.0816418673978283e-09	-0.6624412887095111
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.06186196342020067	0.0689308838070207	0.006216628194197948	1.1142692536091041	0.100491931560128	0.2536665782056863	-3.339869220586662e-10	3.5159955159681763e-09	-0.09499071331059375
Astro_SLC1A2.lvl2.100UP_100DOWN	0.06754760273966857	0.07475809602867071	0.006165594131947099	1.1067468421757571	0.09127776385654379	0.24018419847623385	-1.30987287055922e-09	3.1805435693954826e-09	-0.4118393104761599
BKGR_NRGN.lvl2.100UP_100DOWN	0.04104805793638452	0.06462866182943336	0.009692258571703886	1.5744633261235794	0.2361197839548161	0.018655162411383326	1.6553115950126452e-08	8.942425061819733e-09	1.8510768427684186
CCK_RELN.lvl2.100UP_100DOWN	0.08154790033280442	0.08616886405383632	0.007814739648835025	1.0566656370326315	0.0958300534648024	0.5532562331511923	-1.3376645444964352e-10	3.5145523611428276e-09	-0.038060737386808104
CCK_SORCS1.lvl2.100UP_100DOWN	0.08710822845020574	0.11581613050056516	0.021128431076401118	1.3295659039463752	0.2425537914420898	0.17832186651578968	1.0328953196589527e-08	9.21903832169693e-09	1.120393780366486
CCK_SYT6.lvl2.100UP_100DOWN	0.07179258261690386	0.0857174654946636	0.008571498608202372	1.1939599102050003	0.11939253744277725	0.10672352711777251	4.6515230227870816e-09	4.393252607858199e-09	1.0587879728260823
CGE_dev.lvl2.100UP_100DOWN	0.0843265546179862	0.0967590295383769	0.006736933275067197	1.147432501857949	0.07989100593029874	0.06513820616365604	-1.5324525323440825e-11	2.963904271076316e-09	-0.005170384709448074
ID2_CSMD1.lvl2.100UP_100DOWN	0.08693259146417669	0.11408783650008163	0.018939374912481027	1.3123712819155415	0.21786276692655127	0.15760471414701047	1.0802065359534563e-08	8.238350047488318e-09	1.311192811335792
ID2_dev.lvl2.100UP_100DOWN	0.07357243784304361	0.09992160928451839	0.009230218691034216	1.3581391648009138	0.1254575621202818	0.00498276714189577	8.689583796061785e-09	4.653714299560259e-09	1.8672361981660295
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.08375133090729504	0.08942854078799892	0.006309666281149986	1.0677865034406202	0.07533810164920486	0.3651810937201151	1.9431962337125558e-09	2.8826962711189828e-09	0.6740898280477745
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.08290116066355553	0.11731837041374904	0.022643954559284744	1.4151595644103423	0.27314399916766585	0.13352031225288474	1.3115245359217386e-08	1.0259924707074154e-08	1.2782984021485564
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.08477009252730887	0.09466717029999028	0.007156177155892389	1.1167519991734471	0.08441865453416854	0.16610703499808363	3.1915026258598956e-09	3.181044421140711e-09	1.003287663840744
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.08020336313794012	0.1145781195116514	0.01825502821388349	1.4285949494984498	0.2276092610042679	0.06578959260535212	1.0530781833419566e-08	9.038361910347642e-09	1.1651206200720194
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.07213362367955628	0.07552459819353823	0.00500053350546598	1.0470096238204514	0.0693231983974653	0.49640656669041405	-1.8046019550484185e-09	2.548864975284028e-09	-0.70800217843918
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.0764017534174143	0.0888299439738271	0.007498465885270634	1.1626689179306195	0.09814520675073281	0.09839119282538737	2.2480499811217105e-09	3.6760106938702296e-09	0.6115460939410072
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.07809790008956312	0.08566721162749429	0.0065740897605618236	1.0969208074641013	0.08417754834666002	0.2497412039634032	-1.6024218215817453e-09	3.1312403796525205e-09	-0.5117530522391798
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.08134777146524694	0.09618813205357343	0.007337897649627264	1.1824310650558698	0.09020404022699172	0.04427702863178657	5.31925025708154e-09	3.3568388678844884e-09	1.5846010089944478
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.08221891078563749	0.09161673280808053	0.007200548301614796	1.114302438850658	0.08757776322758866	0.19235915735782474	3.3629012263299236e-09	3.223843626830304e-09	1.0431341018969775
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.08320563165652854	0.08675348952870052	0.00573581210532404	1.0426396363027142	0.06893538323224775	0.5337548278013626	7.675455560647362e-10	2.6439490338122006e-09	0.290302704874021
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.08585746496612488	0.0939976197652813	0.006232446907978288	1.094810099533781	0.0725906234296261	0.19325709803406377	9.194102904801531e-10	2.73244032415633e-09	0.336479549929066
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.0759434532781293	0.09802906047579132	0.014098581052928919	1.2908164725770033	0.18564577253677667	0.12128384137895785	8.418765716371209e-09	6.770546228171495e-09	1.2434396624221624
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.0885213764638722	0.10476786928472487	0.006173398996669347	1.1835318594202302	0.06973907595290123	0.008969102694234241	1.5765947325757656e-09	2.62642551937542e-09	0.6002815312846524
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.0791986927374358	0.10155145565887369	0.0074667212482527655	1.2822365136195253	0.0942783395807666	0.0032174810802787176	8.441881945165232e-09	3.5202318545921016e-09	2.398103958451741
L4_RORB_MET.lvl2.100UP_100DOWN	0.08690994486139357	0.09395506737603329	0.006088094454582995	1.081062328665327	0.07005060772150368	0.24256015616310017	2.0536285635783087e-09	2.6111655929255742e-09	0.7864796354326208
L4_RORB_MME.lvl2.100UP_100DOWN	0.0876651671260572	0.09534349664919443	0.006674949254548363	1.087587006046498	0.0761414079659506	0.2527431061478341	1.6297568588527878e-09	2.8334580868774373e-09	0.5751829774368862
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.07181120315696998	0.08370343821476453	0.006816378940652027	1.1656041750449393	0.09492082907665962	0.08218825465784146	5.147140320503032e-09	3.471307511076144e-09	1.4827670277207337
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.09297420182887255	0.11111959616486203	0.00787029120236002	1.1951659060153883	0.08465026908051339	0.025006519790440936	2.3836266555845624e-09	3.4182901618170214e-09	0.697315483106187
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.07796336249377009	0.08289324594507244	0.005765599057317873	1.06323333542337	0.07395267306202438	0.38892472110169707	-5.936088858829121e-10	2.7613541270998785e-09	-0.21497021336642244
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.061855756573511965	0.07877446264891001	0.008114203510012675	1.2735186991899639	0.13117944003108936	0.04300789012184758	7.479550159814813e-09	4.83062856923134e-09	1.5483596084070226
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.09281584336200394	0.11228977775823534	0.007285275879000546	1.2098126105505331	0.07849172743694448	0.0077864573362927975	2.5273730896873576e-09	2.939165755681485e-09	0.8598947115527182
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.08135028775444507	0.10471287648662375	0.02126713293857518	1.287185077976594	0.26142664673504024	0.2741568814732965	9.457885733349715e-09	9.732482825219781e-09	0.9717855046033574
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.0835231873533318	0.09322166904134596	0.0070556798898925984	1.116117236366786	0.08447570205917367	0.17546891743300008	2.1368758245098013e-09	3.1330956040557833e-09	0.6820333927070791
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.08500712696977215	0.09030106799507967	0.007344281916372789	1.0622764374472977	0.08639607263734905	0.47100638305363984	7.244689555849734e-10	3.2327112553731044e-09	0.22410568045037435
LAMP5_CCK.lvl2.100UP_100DOWN	0.07868419547272602	0.06869314577840387	0.004648164149991889	0.8730234244082051	0.05907366939531158	0.03456915102479111	-6.826007427334899e-09	2.156001875143689e-09	-3.166048928821072
LAMP5_NDNF.lvl2.100UP_100DOWN	0.08302764613391456	0.08937013326256338	0.007425109955468019	1.0763900631172787	0.08942936842376724	0.39315698080313155	5.192021801738662e-10	3.2825817042433672e-09	0.15816885212718323
LAMP5_NOS1.lvl2.100UP_100DOWN	0.07848306008948931	0.0865463374835524	0.0073687567438721025	1.102739080062233	0.0938897736080878	0.27723265093952487	9.219732193969667e-10	3.5429555548345656e-09	0.2602271479637619
MGE_dev-1.lvl2.100UP_100DOWN	0.07833610880031887	0.09660019450732062	0.009287093247758189	1.2331502800778305	0.11855443664468034	0.05570590744309347	3.307643873353674e-09	4.662865381725758e-09	0.7093586459340356
MGE_dev-2.lvl2.100UP_100DOWN	0.08270119954861127	0.09394000036666024	0.007836395359591547	1.1358964667911844	0.09475552231845634	0.15332535602165112	-1.2964663867998622e-10	3.5462234788260727e-09	-0.03655907177144513
Micro.lvl2.100UP_100DOWN	0.04667062227328612	0.04456150772061854	0.003967049763951478	0.9548085187226051	0.08500100428749124	0.5956362209387134	-6.274018784566486e-09	2.915097285791197e-09	-2.1522502233964493
Micro_out.lvl2.100UP_100DOWN	0.03684837126471547	0.035823298072953556	0.003532940984250093	0.9721813161184825	0.09587780580231768	0.7716767456547112	-3.951170187547345e-09	3.197480044322539e-09	-1.2357137911034226
Oligo-1.lvl2.100UP_100DOWN	0.0546801385435282	0.07713994072547484	0.016320591106590086	1.4107488163013246	0.2984738433608404	0.17325961769430773	1.1263416695366154e-08	1.1180747442815236e-08	1.0073938932055961
Oligo-2.lvl2.100UP_100DOWN	0.056841966469943175	0.06277315004744856	0.005276692609677284	1.1043451510538727	0.09283092998669366	0.26025452345456696	9.103770352357348e-10	3.268644016107504e-09	0.2785182573414238
Oligo-3.lvl2.100UP_100DOWN	0.04587933319678271	0.05315649783404422	0.005147938963019104	1.1586153095566747	0.11220605454178884	0.15788480848855568	2.080976676586468e-09	3.9133241711926965e-09	0.531767005633022
Oligo-4.lvl2.100UP_100DOWN	0.050468205931094946	0.05312875942090827	0.005108701849314925	1.0527174176440077	0.10122614337212457	0.6020555507079339	-1.1048981817053188e-09	3.5445261898889545e-09	-0.31171957054715227
Oligo-5.lvl2.100UP_100DOWN	0.052480734031754565	0.0571014168591913	0.005317098508501321	1.0880453162991373	0.10131524656808534	0.3855695138389824	-3.078863735893299e-10	3.510514854293745e-09	-0.08770405093507896
Oligo_mat.lvl2.100UP_100DOWN	0.052513445791330174	0.06144879385669876	0.0053553617473766635	1.1701535279340551	0.10198077209895869	0.09518201842504932	1.498951487252726e-09	3.5984152297841395e-09	0.4165587881148015
OPC_dev.lvl2.100UP_100DOWN	0.07292138995118232	0.08501994180619836	0.005218383139786993	1.1659122496583718	0.07156176182709179	0.01934409919597386	8.90443811631661e-10	2.5559545509642865e-09	0.3483801428690204
OPC.lvl2.100UP_100DOWN	0.06985671746048042	0.0715181367826057	0.005857044321045065	1.023783243509333	0.08384368080791274	0.7761012197842108	-1.277727932103271e-09	3.0477476354990636e-09	-0.41923678890625904
OPC_MBP.lvl2.100UP_100DOWN	0.06330564240947105	0.07603920062822295	0.008001586571486844	1.2011441276654173	0.1263961041534228	0.11702673271788015	3.669844027218098e-09	4.787026519371548e-09	0.7666228737959621
PN_dev.lvl2.100UP_100DOWN	0.09833071052122583	0.11709833485037482	0.007452327553163297	1.1908622873735646	0.07578840337530791	0.0124787546314924	1.5838324272160115e-09	2.846212597513043e-09	0.5564701767534614
PV_dev.lvl2.100UP_100DOWN	0.07467826306931252	0.09299448015260962	0.0101668548460365	1.2452683864151597	0.1361420904581049	0.07914664965927316	5.493269796489696e-09	5.169533831247209e-09	1.0626238217623545
PV_SCUBE3_dev.lvl2.100UP_100DOWN	0.07056111068334195	0.06912039784904117	0.004981123797598122	0.9795820556061499	0.07059304692569224	0.7722806393411358	-4.263569979932566e-09	2.640557028293686e-09	-1.6146479452055849
PV_SCUBE3.lvl2.100UP_100DOWN	0.07857918233685765	0.08654850267130851	0.007406394156924179	1.1014177050136196	0.09425389698220621	0.2805136329163149	4.26851082524587e-10	3.454617580648384e-09	0.12355957571560582
PV_SST.lvl2.100UP_100DOWN	0.07799422897460041	0.0908142509508624	0.0059374637250169905	1.1643714175370201	0.07612696225191974	0.033438730670344786	1.8013607090365006e-09	2.8572535432381514e-09	0.6304518243750262
