Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.06266751146882678	0.07827870369196117	0.009319443616565053	1.2491114112756816	0.14871252101977755	0.09572777750646828	1.166470981281315e-09	1.7339634767027283e-09	0.6727194643681041
Astro_dev-2.lvl2.100UP_100DOWN	0.06684253850635422	0.0927231411109864	0.009642818571685878	1.3871876081153307	0.14426170500345686	0.008404738815737025	1.8721265729916216e-09	1.7017164881739767e-09	1.1001401149967718
Astro_dev-3.lvl2.100UP_100DOWN	0.046686558771540904	0.05624459317454589	0.00878690550345582	1.2047277557932017	0.18821060567891168	0.27885622046897135	5.2379124223287134e-11	2.1600312546414287e-09	0.02424924366753305
Astro_dev-4.lvl2.100UP_100DOWN	0.06504070768788418	0.09696067351467913	0.008693365430802085	1.4907690423660782	0.13366037578372614	0.00028147833160444837	3.4665333286044435e-09	1.5309919324991465e-09	2.264240101478377
Astro_dev-5.lvl2.100UP_100DOWN	0.030043822015148398	0.041785903567658725	0.005778833698949369	1.3908318171566139	0.19234682245273663	0.04290084787381605	1.4330968461102574e-09	2.1284251722678476e-09	0.6733132387187873
Astro_GFAP.lvl2.100UP_100DOWN	0.06489157561474203	0.0769395557995546	0.009433452698207391	1.1856632401151856	0.1453725327030633	0.20244117118143326	7.275985396606378e-10	1.6954894981079273e-09	0.4291377448651836
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.06186196342020067	0.08170325558268643	0.00944177695103867	1.32073492442703	0.1526265321859395	0.03634942478182677	2.0818762530827697e-09	1.765615212196021e-09	1.1791222904640657
Astro_SLC1A2.lvl2.100UP_100DOWN	0.06754760273966857	0.08475753141052005	0.009459278922367753	1.254782227241717	0.14003870661145784	0.07101388515141806	1.1767519891348252e-09	1.6415838010160905e-09	0.7168394256853969
BKGR_NRGN.lvl2.100UP_100DOWN	0.04104805793638452	0.05993766806213176	0.006711009065828582	1.4601827973206916	0.16349151222279926	0.0050687012349704685	3.233517684608652e-09	1.8704673949423936e-09	1.7287217587175516
CCK_RELN.lvl2.100UP_100DOWN	0.08154790033280442	0.08534736124372211	0.008997945505101268	1.0465917687078605	0.1103393890999012	0.6732362114731443	-3.8130326379869685e-10	1.2916317608946579e-09	-0.2952105045284613
CCK_SORCS1.lvl2.100UP_100DOWN	0.08710822845020574	0.09615730101419576	0.008636166325409323	1.1038830972112215	0.09914294526545299	0.2970731834265672	4.66153888516424e-10	1.1867777420378157e-09	0.3927895443303405
CCK_SYT6.lvl2.100UP_100DOWN	0.07179258261690386	0.09138867544161458	0.008800195880836508	1.2729542817713977	0.12257806531066993	0.028057155621632687	2.303950798777829e-09	1.447008164454567e-09	1.592216861918175
CGE_dev.lvl2.100UP_100DOWN	0.0843265546179862	0.11221792127154817	0.009534025150910523	1.3307542538636217	0.11306076945869895	0.0039795259178889925	1.7599244477750136e-09	1.3287566257319587e-09	1.3244896873462753
ID2_CSMD1.lvl2.100UP_100DOWN	0.08693259146417669	0.0917722584036505	0.009433089499702802	1.0556714904958073	0.10851039110676924	0.6082051177966622	2.6190855263485116e-10	1.2709628369912541e-09	0.2060709762803658
ID2_dev.lvl2.100UP_100DOWN	0.07357243784304361	0.08949469603158836	0.008069216728926135	1.2164160744885555	0.1096771694060304	0.050842093494252394	6.950203570871939e-10	1.289882364995818e-09	0.5388246059860251
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.08375133090729504	0.08945328216256085	0.010017509703335014	1.0680819181438124	0.11961015538276602	0.5703537567569318	9.458074265153945e-10	1.4251260296664213e-09	0.663665813988942
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.08290116066355553	0.08544653081358022	0.008782450771111365	1.030703673261642	0.105938815582497	0.7723826332962076	-3.1992917366922624e-10	1.2494625814292083e-09	-0.2560534252280469
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.08477009252730887	0.10222977567949025	0.00922037444852105	1.2059651302911663	0.10876919174708564	0.06160380154714211	2.339901422265261e-09	1.3001028785582406e-09	1.7997817410112291
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.08020336313794012	0.11608298047073345	0.009909165251575931	1.4473580150384058	0.1235504954391172	0.000365046677883896	3.0643124010200395e-09	1.485375261862585e-09	2.0629887138267993
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.07213362367955628	0.08241775772657886	0.007705625742253653	1.1425706005386398	0.10682432614899312	0.18393810097312044	3.8924397690820395e-10	1.2460875830878021e-09	0.3123728879021957
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.0764017534174143	0.08376137655624158	0.010089802726984416	1.0963279350228865	0.1320624498217948	0.4667769670591222	-1.5104300140103515e-10	1.550064330261357e-09	-0.09744305346060556
