Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.06266751146882678	0.07711088338746247	0.006018271952169182	1.2304762321034621	0.0960349599195893	0.017192693568025587	-8.109539132879592e-09	8.583328600920877e-09	-0.9448011965905099
Astro_dev-2.lvl2.100UP_100DOWN	0.06684253850635422	0.09663455721808378	0.0068625451599003285	1.4457044776792471	0.1026673330075272	2.151880998292487e-05	1.4426215455851187e-09	9.142345955289433e-09	0.15779555407772222
Astro_dev-3.lvl2.100UP_100DOWN	0.046686558771540904	0.06931684626441675	0.006319993698659413	1.4847281120807467	0.13537073335359945	0.0005022337683168955	3.823646311736423e-09	1.1756334657570694e-08	0.32524136332527076
Astro_dev-4.lvl2.100UP_100DOWN	0.06504070768788418	0.09365969588433025	0.00807932679513231	1.4400165559972409	0.12421954007485886	0.0005058308543009202	2.255269124494002e-11	1.1286033167814032e-08	0.0019982832683193507
Astro_dev-5.lvl2.100UP_100DOWN	0.030043822015148398	0.049791179290110434	0.006131466506171687	1.6572851238768895	0.2040841043153611	0.0015185402034115535	7.421449905766191e-10	1.7006662357076006e-08	0.04363848561195389
Astro_GFAP.lvl2.100UP_100DOWN	0.06489157561474203	0.08215530570937153	0.006317264737572081	1.2660396196437482	0.09735107643367083	0.006690372760653104	-4.112972375373018e-09	8.641214990307478e-09	-0.47597153640852385
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.06186196342020067	0.08766021220650108	0.007482292202312191	1.4170292593376714	0.12095141810304862	0.0008608387156469924	8.219139620264518e-09	1.0823756101551314e-08	0.7593611259483674
Astro_SLC1A2.lvl2.100UP_100DOWN	0.06754760273966857	0.0930940892770773	0.008817490885089414	1.3781997510091661	0.13053743622956407	0.004365108495958681	2.7426541015447593e-09	1.198711152064198e-08	0.22880024906933327
BKGR_NRGN.lvl2.100UP_100DOWN	0.04104805793638452	0.051023403354351	0.004985571992436309	1.2430162575151809	0.12145695175549721	0.0458654687156872	-2.8438902039937318e-08	1.1984185578374517e-08	-2.373035852453367
CCK_RELN.lvl2.100UP_100DOWN	0.08154790033280442	0.10697854416177371	0.00753206529267683	1.3118491552226914	0.09236369375468632	0.0010349129390226975	5.5610736766270296e-09	8.66634729452969e-09	0.6416859938370172
CCK_SORCS1.lvl2.100UP_100DOWN	0.08710822845020574	0.10622794141316541	0.0072895341467643085	1.2194937642875976	0.08368364592480805	0.010403154512095369	-2.860516732511792e-10	8.104001422215249e-09	-0.03529758428558941
CCK_SYT6.lvl2.100UP_100DOWN	0.07179258261690386	0.09330006495098286	0.007963337556711712	1.2995780559789332	0.11092145269665661	0.008397898918199975	1.972646907743583e-09	1.0460493538545512e-08	0.18858067264939693
CGE_dev.lvl2.100UP_100DOWN	0.0843265546179862	0.11705640893638834	0.009076386231231807	1.3881322374271545	0.10763378478285278	0.0005321599390988131	-8.26637055015889e-10	1.0382294690369596e-08	-0.07961987977307758
ID2_CSMD1.lvl2.100UP_100DOWN	0.08693259146417669	0.10633874864076576	0.006669119025883605	1.2232322406330887	0.07671598089459723	0.004318017069446217	4.238880491849649e-09	7.267482194254493e-09	0.5832667185893915
ID2_dev.lvl2.100UP_100DOWN	0.07357243784304361	0.09499295608173179	0.0073202884472261835	1.2911486810371273	0.09949770133814219	0.004187504228097423	-6.6581894940573574e-09	9.14004123155988e-09	-0.7284638357064656
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.08375133090729504	0.0790167930599851	0.005757049843412475	0.9434691031650514	0.06873980127891932	0.41104583497485025	-6.522654672267216e-09	6.6507221385264336e-09	-0.980743825468614
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.08290116066355553	0.10561001030851128	0.008672841418118917	1.273926799856481	0.10461664648238894	0.010451099134517314	1.0453286758896014e-08	9.906720381144692e-09	1.0551712733097416
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.08477009252730887	0.08541943033449333	0.007005703446872408	1.007659987005149	0.08264357437872921	0.926080155973735	-5.3538923155838444e-09	7.780493513738018e-09	-0.6881173162255679
