Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.13018995131651412	0.14973621978297738	0.011019619514419102	1.1501365371812986	0.08464262719961017	0.07604761883224398	-4.712356500162722e-09	5.718572026845918e-09	-0.8240442680516215
Astro_dev-2.lvl2.100UP_100DOWN	0.11639699595330372	0.13040994026057331	0.010802900745423703	1.12038922647876	0.09281082090604488	0.19346449950681446	-5.614972727663884e-09	6.069172117609112e-09	-0.9251628754064475
Astro_dev-3.lvl2.100UP_100DOWN	0.10179010491080677	0.11264891708616159	0.009360311932214203	1.1066784653073087	0.09195699268034102	0.2449576856654509	-5.698209546297854e-09	5.8364490830342e-09	-0.976314444832871
Astro_dev-4.lvl2.100UP_100DOWN	0.07912337181410528	0.07577999131830353	0.00858703944714939	0.9577447166476072	0.1085272183208272	0.6972635581078102	-1.3780336128789554e-08	6.658581872056615e-09	-2.0695602147087913
Astro_dev-5.lvl2.100UP_100DOWN	0.06573436474350039	0.06812671149499484	0.006919516576750998	1.0363941564025079	0.10526482767044887	0.7299890082086595	-1.0942415525289045e-08	6.422653587938115e-09	-1.70372189243386
Astro_GFAP.lvl2.100UP_100DOWN	0.1293134439125009	0.1473543655256637	0.011038029829488441	1.1395131168679573	0.08535871828575883	0.10419963220153682	-5.693735026370107e-09	5.634310772930348e-09	-1.0105468540580436
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.1230294310217191	0.1470355276553544	0.010594940096602896	1.195124828541208	0.08611711855135305	0.023513427166930896	-1.6655697142412708e-09	5.789721323132336e-09	-0.2876770091829169
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1279890370312216	0.15110667840082992	0.009808558515255137	1.1806220431517818	0.07663592712915279	0.01937607026839468	-2.6245870298055635e-09	5.089861385700837e-09	-0.5156500012316498
BKGR_NRGN.lvl2.100UP_100DOWN	0.08965790041835824	0.10299221562637902	0.008667598632480155	1.1487243750500593	0.09667412009466808	0.1256601391234276	-6.58914507233228e-10	5.8042374679989354e-09	-0.11352300984687225
CCK_RELN.lvl2.100UP_100DOWN	0.09227819623667143	0.10597462865509595	0.008219150694640548	1.1484254458474292	0.08906926045195335	0.09773281836870742	3.036832722065659e-09	5.584195822514117e-09	0.5438263303414055
CCK_SORCS1.lvl2.100UP_100DOWN	0.09959053264641993	0.10358707585893949	0.008216919047827042	1.04012975035196	0.08250702982983216	0.6271596679222299	-2.1076914908876384e-09	5.11604596530692e-09	-0.4119766525125805
CCK_SYT6.lvl2.100UP_100DOWN	0.08782302233508618	0.08849887886331786	0.007170540934704705	1.0076956646476247	0.08164762204773271	0.9249851553175461	-5.9252459309459996e-09	5.096817078618555e-09	-1.1625384704902895
CGE_dev.lvl2.100UP_100DOWN	0.06544901754843312	0.06844502493303498	0.007474302649690577	1.0457762010313565	0.11420037961852517	0.6888209000776406	-3.0460412168824096e-09	7.090811040483395e-09	-0.42957585521482955
ID2_CSMD1.lvl2.100UP_100DOWN	0.1001375739180921	0.10079958044004966	0.0076859336988261435	1.0066109702487804	0.07675374385555697	0.9314040446568774	-3.412868277480253e-09	4.8535955132511895e-09	-0.7031628960762198
ID2_dev.lvl2.100UP_100DOWN	0.08418799095947617	0.09224607237308259	0.007898631340787159	1.0957153309132317	0.09382135445647063	0.3106723640041037	-4.025645405947459e-09	5.958701552352403e-09	-0.675591044555369
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.13011110758830624	0.16195366868413108	0.00955435399308134	1.244733610266236	0.07343227008191297	0.0010911499359439582	1.023636883827881e-08	4.699339184509392e-09	2.1782570775102457
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.10233244910930911	0.12027091307051996	0.00932736563175254	1.1752959507697252	0.091147682997299	0.05642567529534855	4.601413328396413e-09	6.033290352516291e-09	0.7626706257353106
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.11101834391600694	0.12137559518189933	0.009675492955686418	1.0932931522895746	0.08715220038777194	0.28456194584850764	1.2539145883298674e-09	5.539360293842691e-09	0.226364511751233
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.07848389885255536	0.08805052586523841	0.00798404372920233	1.1218928614983248	0.10172842896352081	0.23365597993877768	-8.74755897964146e-10	6.367665437044375e-09	-0.13737466369938148
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.09603333848333856	0.11770749964594798	0.008908559724784784	1.2256941339842082	0.09276528198934152	0.016228543249883952	5.28472578839187e-09	5.571935755132209e-09	0.9484541855178795
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.11061355686033537	0.1329408932415381	0.008964360340274652	1.2018499089527879	0.08104214885335775	0.01436112927354863	4.2530700128325244e-09	5.254059566852272e-09	0.8094826407498376
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.07725813050784251	0.08341821785379414	0.00867444713898521	1.079733839085406	0.11227876059083079	0.4785537404370066	-3.787097213588102e-10	7.0355270002219366e-09	-0.053828195293240115
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.11452756083171074	0.13666090606387746	0.008268961571198382	1.1932578068670294	0.07220062586811721	0.007554466058782876	6.979751559075206e-09	4.542423949181799e-09	1.5365698220071309
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.11755331471614831	0.14171117471905756	0.009104501691403477	1.2055055619762178	0.07744997844924904	0.00930437546803649	5.617894506427863e-09	4.97854395682336e-09	1.1284211920491813
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.12255720741553781	0.14401853152532612	0.010208727431406215	1.1751127050163794	0.08329765051510102	0.038068916463708385	4.402692969753276e-09	5.2715561767553835e-09	0.8351789911993523
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.0751177749159182	0.06644097794580746	0.006182228913390052	0.8844907616097126	0.08230047975076503	0.16064105206539092	-1.2106108215923926e-08	4.9109747640002175e-09	-2.4651130982524
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.13355741727405693	0.17394846412791704	0.009845896367454716	1.3024245877035683	0.07372032619686819	9.568202781467966e-05	1.1603746509499171e-08	4.9283995505781375e-09	2.354465458900946
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.07505537094380473	0.08748677796606717	0.008576473675563167	1.1656298125762388	0.11426862018954678	0.14998205026817413	4.628526404116494e-09	7.126401387592754e-09	0.6494899953537386
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.13525759000892276	0.18573159531468475	0.011420162870383405	1.3731694857377859	0.08443269519758582	3.189433942214642e-05	1.708256153853564e-08	5.640078748716083e-09	3.028780678359206
L4_RORB_MET.lvl2.100UP_100DOWN	0.11179336098902914	0.14460256532310883	0.009656903429772122	1.293480793884526	0.08638172557241394	0.0011174235188348008	1.1498590221172554e-08	5.603316199265747e-09	2.052104470327646
L4_RORB_MME.lvl2.100UP_100DOWN	0.10002954123518598	0.11823830339286144	0.00777341949496389	1.182033846530033	0.07771123809002879	0.020775631338140647	4.7218065161823415e-09	4.868838668605778e-09	0.9698013915779345
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.12985444609009758	0.16040771456272385	0.009306024041345904	1.2352885818898132	0.07166503975450372	0.001198223722323979	7.220052386816557e-09	4.779913746808668e-09	1.510498466972769
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.07363400305209104	0.08422277446011124	0.00719764153744762	1.1438027401624404	0.09774888284093122	0.14393420932601408	2.2334071285130145e-09	6.0801619976380396e-09	0.36732691158239306
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.11939976772973175	0.15277928172882563	0.009547020997224747	1.2795609625862114	0.07995845535340554	0.0006703959785024132	8.436349511582945e-09	5.2827755496292226e-09	1.5969539936587045
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.1084274048050052	0.1367458580705718	0.009296525840999104	1.261174315815215	0.08573963250082288	0.003210835016727411	7.380667778551515e-09	5.486148534103487e-09	1.3453277345064847
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.0773589498283807	0.09144138182131088	0.007163497184867333	1.182040113318133	0.09260075531996505	0.05210852141269824	3.6587709769692652e-09	5.756826086813497e-09	0.6355535014945116
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.11249725095405105	0.1198132304845281	0.007699916833214319	1.0650325182920712	0.0684453777129124	0.34225291863033447	-2.926952847199257e-09	4.630839841221459e-09	-0.6320565917967972
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.12009560556931966	0.14899313968410086	0.00991799654496185	1.2406210783299763	0.08258417531553346	0.004541327497553224	8.88004429036064e-09	5.407587271544614e-09	1.6421453495699494
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.12200228177104486	0.14890265826894666	0.009202015441961952	1.2204907654791597	0.0754249454057825	0.004268135251054741	7.72752984536347e-09	5.012793572986105e-09	1.5415615530244557
LAMP5_CCK.lvl2.100UP_100DOWN	0.1104657668080989	0.12941540333326457	0.009391926330900241	1.171543067800226	0.08502114820074434	0.04531913812828536	3.5608215167952958e-09	5.487855480807539e-09	0.648854826671077
LAMP5_NDNF.lvl2.100UP_100DOWN	0.10216570301178009	0.09878804196442484	0.007667645224411542	0.9669393842768762	0.07505106898278216	0.660246651922944	-6.921514446966567e-09	4.813655519342336e-09	-1.4378915190657882
LAMP5_NOS1.lvl2.100UP_100DOWN	0.10682469633841339	0.12019154142838963	0.009003430178133183	1.1251287908896177	0.08428229133093837	0.13731709079838267	9.75594011990687e-10	5.366070504775422e-09	0.1818079004221949
MGE_dev-1.lvl2.100UP_100DOWN	0.07771961794677847	0.10164456011050034	0.007974535578854929	1.307836589985625	0.10260646911975047	0.0032804088024621183	1.205768516448694e-08	6.513460718753395e-09	1.851194884736274
MGE_dev-2.lvl2.100UP_100DOWN	0.06754290566649875	0.08102928377251607	0.007972826340989702	1.199671275212943	0.11804091432424443	0.09265869328162661	5.734805479551811e-09	7.444710251069902e-09	0.7703195001749927
Micro.lvl2.100UP_100DOWN	0.1275040642264365	0.12506946623460974	0.00862235341353906	0.980905722444242	0.06762414567606632	0.7777285219508507	-1.2889880777363317e-08	4.682094756064982e-09	-2.7530157865058853
Micro_out.lvl2.100UP_100DOWN	0.10631003132109042	0.09881114459449167	0.007781572860016628	0.9294620965358414	0.0731969764594818	0.33642799044994376	-1.5491622505280103e-08	4.920773292586296e-09	-3.1482089468783276
Oligo-1.lvl2.100UP_100DOWN	0.13897901398033502	0.16598781770825974	0.010946223951734465	1.1943372812513	0.0787617039309497	0.015665623329289304	-9.470390842596808e-10	5.451701828816914e-09	-0.17371439488010293
Oligo-2.lvl2.100UP_100DOWN	0.13323482899885744	0.15603312428192126	0.01040288957930863	1.1711136303800813	0.07807935550694362	0.030949688765682232	-3.3143354662668973e-09	5.4092470829547325e-09	-0.6127165972341725
Oligo-3.lvl2.100UP_100DOWN	0.14055588854449277	0.1788298404048142	0.011445259325734026	1.2723041507308024	0.08142852956396092	0.001197361121219414	3.7033803979562557e-09	5.830030334205481e-09	0.6352248934672059
Oligo-4.lvl2.100UP_100DOWN	0.13431163302304133	0.15586509244814825	0.010509635891872473	1.160473511787392	0.07824814318257549	0.04392612920175183	-1.6587115942407195e-09	5.270902403558481e-09	-0.3146921470450474
Oligo-5.lvl2.100UP_100DOWN	0.11295924165082663	0.12772444190621174	0.010024525267105067	1.1307126361650557	0.08874462257893272	0.1430880287801328	-4.02137894542544e-09	5.885635282843643e-09	-0.6832531667647799
Oligo_mat.lvl2.100UP_100DOWN	0.12740492243203042	0.1476408530902915	0.010248775726720288	1.1588316233939613	0.08044254123845124	0.050975734829960824	-3.37319185821978e-09	5.507772872189513e-09	-0.612442077132863
OPC_dev.lvl2.100UP_100DOWN	0.10816420095488143	0.12092599004081249	0.007594435223254355	1.1179853313135868	0.07021209564911615	0.09451624272704137	-2.3610807692567065e-09	4.49462322096624e-09	-0.5253122794015043
OPC.lvl2.100UP_100DOWN	0.15723905368066848	0.17807474045994934	0.009590244318697686	1.1325096169911792	0.060991490944572783	0.030649532093024387	-1.7559397617955132e-09	4.2437083690139e-09	-0.41377484245071644
OPC_MBP.lvl2.100UP_100DOWN	0.11409241055304849	0.12987342360047588	0.00796286127883828	1.1383178159785645	0.06979308474805046	0.05042569764100954	-2.1303187133930146e-09	4.4944857820948565e-09	-0.47398497106827736
PN_dev.lvl2.100UP_100DOWN	0.06430242843715459	0.06970828951382779	0.006432695035997697	1.0840693144576425	0.10003813529818138	0.40242599251639344	-2.0779782057599292e-09	6.013350941626759e-09	-0.34556077400627894
PV_dev.lvl2.100UP_100DOWN	0.10698255154744236	0.1281829623097695	0.008229589431255143	1.1981669950442866	0.07692459482615405	0.009855788566578491	4.797604300640504e-09	5.0147520918183335e-09	0.956698200189774
PV_SCUBE3_dev.lvl2.100UP_100DOWN	0.0874074991121693	0.10129862468324463	0.007958467601240514	1.1589237275081965	0.09105016940282756	0.08179104085109729	4.058696116654469e-09	5.750984131175933e-09	0.705739404609445
PV_SCUBE3.lvl2.100UP_100DOWN	0.09929327501581488	0.11224365378404907	0.008489005572644091	1.1304255375419083	0.08549426505764876	0.12955952698600215	3.7773452534280034e-10	5.50984032029753e-09	0.06855634707802254
PV_SST.lvl2.100UP_100DOWN	0.08899930365890257	0.09644478954001584	0.007735879388871785	1.0836577992750227	0.08692067320571634	0.33576189753505503	-3.5496027263939514e-10	5.4520848080574674e-09	-0.0651054202448961
PV_SULF1_dev.lvl2.100UP_100DOWN	0.08502625076767789	0.09002434631895817	0.00809169985489391	1.0587829700375342	0.0951670781886329	0.5366256813573806	-3.016522647249837e-09	5.90765886657599e-09	-0.5106121926431033
PV_SULF1.lvl2.100UP_100DOWN	0.10407707628667512	0.11316288633858933	0.008284778521621348	1.0872988594230664	0.07960233720249153	0.2716521287621673	-1.5272980368626134e-09	5.142644138654324e-09	-0.296986918729761
PV_WFDC2.lvl2.100UP_100DOWN	0.107417198568265	0.12240347557078304	0.008858061133493678	1.1395146885439773	0.08246408630610738	0.0904084404459131	8.29838054256639e-10	5.272254569181167e-09	0.1573971900195102
SST_ADGRG6_dev.lvl2.100UP_100DOWN	0.10218549782013867	0.11958811893154929	0.00791869136621945	1.1703042161818478	0.07749329929534128	0.029189026925625368	2.9410403977272643e-09	4.948195528587578e-09	0.5943662453789008
SST_ADGRG6.lvl2.100UP_100DOWN	0.11557567915903602	0.13274403280587357	0.008818641832779667	1.148546422324833	0.07630188199582127	0.05418033527271678	1.7681888634805981e-09	4.961777549515451e-09	0.3563619783102273
SST_B3GAT2.lvl2.100UP_100DOWN	0.10980012443888848	0.13421371321561015	0.008717970561205945	1.2223457295834812	0.07939854900672823	0.006347128350767418	6.828403111837294e-09	5.124029666657566e-09	1.3326236489749874
SST_BRINP3.lvl2.100UP_100DOWN	0.09426052886695356	0.10110493277102334	0.007269210558013326	1.0726115584788463	0.07711828742520255	0.3472222256937858	-2.5995062424371715e-09	4.749368352659323e-09	-0.5473372561177794
SST_CALB1_dev.lvl2.100UP_100DOWN	0.12266020752004769	0.14502625301356475	0.008651778387275407	1.1823414939996864	0.07053451614176792	0.011639703752163838	4.769355913020379e-09	4.621434533098467e-09	1.0320076761582377
SST_CALB1.lvl2.100UP_100DOWN	0.10684231036280026	0.1219078211092216	0.007078455722022253	1.141006972755119	0.0662514288392512	0.0350091387922302	5.222949283646112e-10	4.155162087105011e-09	0.12569784701912917
SST_NPY.lvl2.100UP_100DOWN	0.06876833850598515	0.06014761866322114	0.005969888348852385	0.8746411498365091	0.08681158333253615	0.14755238245709773	-1.3932254992290156e-08	5.1513161360769e-09	-2.7046010425794944
SST_STK32A.lvl2.100UP_100DOWN	0.1096951113030201	0.12851295221919834	0.00789901264355582	1.1715467598569285	0.07200879373498886	0.019250393719174638	2.7535724158592725e-09	4.7296296396859844e-09	0.5821962025851333
SST_TH.lvl2.100UP_100DOWN	0.09321626884973207	0.0949138057907821	0.008497814137716482	1.0182107368380784	0.0911623501195404	0.8416786825006564	-4.567043144299654e-09	5.725814723929306e-09	-0.7976232841089115
Vas_CLDN5.lvl2.100UP_100DOWN	0.09952829642691967	0.08465897655479801	0.00836422911507791	0.8506020859802448	0.08403870472373137	0.07513637209361575	-2.0232973699774805e-08	5.433640765139611e-09	-3.7236494965921696
Vas_PDGFRB.lvl2.100UP_100DOWN	0.09417698806557584	0.09360056609632818	0.008749126867529936	0.9938793756193786	0.09290089911813576	0.9474002162416579	-1.2827246789398018e-08	5.8267968664669115e-09	-2.2014233691959544
Vas_TBX18.lvl2.100UP_100DOWN	0.11446213731255953	0.09369275091327883	0.008883926818342837	0.8185479767640007	0.07761454597063543	0.01803177509288327	-2.446609161288859e-08	4.895485347125043e-09	-4.997684576312075
VIP_ABI3BP.lvl2.100UP_100DOWN	0.09741813630537283	0.10890967000914827	0.007901703799218939	1.1179609273960383	0.08111121911067747	0.14893175074197051	2.334176728594231e-09	5.177878119310331e-09	0.4507979281878369
VIP_ADAMTSL1.lvl2.100UP_100DOWN	0.09261135292650305	0.09702090348009451	0.008574069307770268	1.0476134989312909	0.09258119050020469	0.6078238363964006	-2.7521714048976453e-10	5.737787889807488e-09	-0.04796572229145238
VIP_CHRM2.lvl2.100UP_100DOWN	0.09994197437109126	0.11033144913073593	0.007559398425928732	1.10395506817854	0.07563787361114338	0.1704860680867344	2.240418584327964e-09	4.727275577918161e-09	0.4739344147384399
VIP_CRH.lvl2.100UP_100DOWN	0.10022597954525286	0.11207694216185753	0.008153749693252738	1.118242422477436	0.08135365431446098	0.14893257031004425	2.9455455507885797e-09	5.134885784715386e-09	0.5736340931976239
VIP_dev.lvl2.100UP_100DOWN	0.05389186901406253	0.07268304951223956	0.006998848411403351	1.34868303590053	0.12986835564335453	0.008561599641736467	1.559754869201742e-08	8.15337249561985e-09	1.9130180425825911
VIP_DPP6.lvl2.100UP_100DOWN	0.08707987825857354	0.09720545439063366	0.007343602515135488	1.1162791718885205	0.08433179584070521	0.17028747971317745	3.174533816828387e-09	5.341366697367594e-09	0.5943298778555879
VIP_HS3ST3A1.lvl2.100UP_100DOWN	0.1015654841617209	0.11732214966377957	0.008317929329150603	1.1551379942911473	0.08189720551034949	0.059364072978126285	4.736984668460973e-09	5.230935831391104e-09	0.9055711675976016
VIP_KIRREL3.lvl2.100UP_100DOWN	0.0964683210093876	0.11136168419880818	0.008327870308293746	1.1543860516445732	0.08632751374913364	0.07578499522088818	5.869637291133396e-09	5.536242010457591e-09	1.060220503375041
VIP_PCDH20.lvl2.100UP_100DOWN	0.07568863705866594	0.07906484742001836	0.0068403329496331084	1.0446065683378014	0.0903746350238966	0.6223676038615846	-1.1130520854279047e-09	5.662040494763767e-09	-0.196581442053841
