Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.13018995131651412	0.15037312497333208	0.010612845636718488	1.1550286596831825	0.08151816272606814	0.054720821939602544	-4.5103845691356444e-09	4.731183514608103e-09	-0.953331139071077
Astro_dev-2.lvl2.100UP_100DOWN	0.11639699595330372	0.1296786390822356	0.01112659379131387	1.1141064081607417	0.09559176076827317	0.2303374272432394	-5.919553779320674e-09	5.312672862975665e-09	-1.1142326907749955
Astro_dev-3.lvl2.100UP_100DOWN	0.10179010491080677	0.115971764688593	0.009829015041198406	1.1393225774765912	0.09656159653053749	0.14809260235917354	-3.767913641181333e-09	5.333008243168379e-09	-0.706526873647356
Astro_dev-4.lvl2.100UP_100DOWN	0.07912337181410528	0.07636174188126332	0.008828413520774864	0.9650971657359319	0.1115778223091477	0.7548626980930083	-1.2141078166580669e-08	6.027182438422457e-09	-2.014387035836674
Astro_dev-5.lvl2.100UP_100DOWN	0.06573436474350039	0.06963273639358182	0.006656169335744918	1.0593049262024987	0.10125859376169083	0.5584767740216319	-9.46951365708769e-09	5.582851097228363e-09	-1.6961787968496744
Astro_GFAP.lvl2.100UP_100DOWN	0.1293134439125009	0.14710785526223907	0.01059261316135637	1.1376068165176905	0.08191424526999522	0.09316702784270686	-5.7520558032108335e-09	4.727675227540513e-09	-1.2166774421607713
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.1230294310217191	0.14440320825912134	0.010309996114040466	1.1737289773666353	0.08380105498675665	0.036082977191073104	-3.5286469700449876e-09	4.863375429496132e-09	-0.7255551254883424
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1279890370312216	0.15141427438367405	0.010196433783963751	1.1830253426060084	0.07966646222579545	0.02125145325072269	-2.9742924090301885e-09	4.51325517925411e-09	-0.6590126839497118
BKGR_NRGN.lvl2.100UP_100DOWN	0.08965790041835824	0.10490216284662493	0.008827158160309876	1.1700269843163236	0.09845376836978037	0.08603490743307457	-5.271086103314744e-10	5.12646349560797e-09	-0.10282109894726994
CCK_RELN.lvl2.100UP_100DOWN	0.09227819623667143	0.10588025872944141	0.007832138450670519	1.1474027782021656	0.08487528766365311	0.08333223038430909	1.8427267473332192e-09	4.679859845818931e-09	0.3937568235039226
CCK_SORCS1.lvl2.100UP_100DOWN	0.09959053264641993	0.10379114421633406	0.007901950962352201	1.0421788242144234	0.07934439903446244	0.5957226090965155	-2.236916358862973e-09	4.352755965147972e-09	-0.5139080565907465
CCK_SYT6.lvl2.100UP_100DOWN	0.08782302233508618	0.08863547614851311	0.0070146068919139095	1.0092510345445302	0.07987207346554166	0.9078312147610564	-5.554409178510485e-09	4.390132453957897e-09	-1.265203097346856
CGE_dev.lvl2.100UP_100DOWN	0.06544901754843312	0.07071600879340231	0.007162725067003407	1.0804747182197434	0.10943976449612705	0.46302040950237056	-1.5350390438906551e-09	5.844903142460324e-09	-0.26262865379912925
ID2_CSMD1.lvl2.100UP_100DOWN	0.1001375739180921	0.1007327407477665	0.007767362419593391	1.005943491602475	0.07756691235546344	0.9389504855482679	-3.6212635796996753e-09	4.339524126193437e-09	-0.8344840296754362
ID2_dev.lvl2.100UP_100DOWN	0.08418799095947617	0.0918014152474331	0.007221051687028558	1.0904336141198767	0.08577294225377591	0.2932369912020514	-4.641331830858587e-09	4.647651444006471e-09	-0.9986402566491871
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.13011110758830624	0.16890230411303053	0.010490176803361912	1.2981390078352593	0.08062475985182313	0.00029574054602451386	1.142671626303825e-08	4.4691711364244484e-09	2.5567864631337818
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.10233244910930911	0.11620307098469353	0.00869152186537883	1.1355447074326164	0.08493417230828465	0.11238983060575783	9.708068577108781e-10	4.832999665033917e-09	0.2008704583065733
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.11101834391600694	0.12399546660515995	0.008663208364764936	1.1168916976366634	0.07803402626253597	0.13493757908220919	1.8672192518346856e-09	4.3292639845398596e-09	0.4313017775082951
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.07848389885255536	0.09343118796474413	0.008433229359313251	1.1904503895795195	0.10745171280489557	0.07948040734019668	2.1581346969816086e-09	5.698749111237106e-09	0.37870323028014696
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.09603333848333856	0.12202716160871274	0.008030072781879526	1.2706749919964933	0.0836175531195629	0.001456878414966111	6.034523175509016e-09	4.314398558169726e-09	1.398693953316406
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.11061355686033537	0.13728858749811668	0.008797055843501586	1.2411551657403275	0.0795296353647597	0.0028863595024653656	5.2435156554432405e-09	4.42298181363432e-09	1.1855159881687816
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.07725813050784251	0.08376303499710212	0.008287235321051903	1.0841970216791526	0.1072668373746199	0.43367899813888355	-7.052791882538812e-10	5.784094023434549e-09	-0.12193425373038663
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.11452756083171074	0.14184600292697602	0.008394656660578812	1.238531597956649	0.07329813539741846	0.0011534318300699638	8.030562985138854e-09	4.0803956811455995e-09	1.9680843753084791
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.11755331471614831	0.14952572212951412	0.009550226762690777	1.2719821851945936	0.08124166286379385	0.001149846452675013	8.030403667267596e-09	4.538087965224079e-09	1.7695566346015235
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.12255720741553781	0.1509303548438058	0.010901649595898767	1.23150941528936	0.08895151762830274	0.010483546466691149	6.417283414236982e-09	4.894376855879598e-09	1.311154331429939
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.0751177749159182	0.06588490097425057	0.006000211693703863	0.8770880267419756	0.07987738854645385	0.12404635967343049	-1.1519047511559774e-08	4.164124982248278e-09	-2.7662588324475443
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.13355741727405693	0.17818571333583472	0.008980661321219566	1.3341506370267815	0.06724195109876559	2.7296261307813115e-06	1.1001955715945735e-08	3.892162190039557e-09	2.82669508071911
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.07505537094380473	0.08589593665566153	0.008209778011020494	1.1444342433531283	0.10938295165001982	0.18880950204419578	2.1069969459186256e-09	5.9656366910636025e-09	0.35318894780750937
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.13525759000892276	0.1926607932817326	0.011484764184501494	1.424399128130429	0.08491031212181038	2.25519301046498e-06	1.707035222210875e-08	4.856634390193873e-09	3.514852231120349
L4_RORB_MET.lvl2.100UP_100DOWN	0.11179336098902914	0.15052933403067154	0.010601224310415118	1.3464961845582561	0.09482874668608873	0.0005085431981884261	1.2292390106925706e-08	5.382180198850611e-09	2.283905341844705
L4_RORB_MME.lvl2.100UP_100DOWN	0.10002954123518598	0.12195800270972892	0.00776984062709492	1.2192198544926394	0.07767545998063453	0.005454680049874134	5.472835590704146e-09	4.153088618139279e-09	1.3177748162658174
