Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.13018995131651412	0.13322059673161263	0.011978936552428944	1.023278643124541	0.09201122230475448	0.8003349765088793	-1.2508480935776377e-09	1.555755446092675e-09	-0.8040133150227299
Astro_dev-2.lvl2.100UP_100DOWN	0.11639699595330372	0.136507615312412	0.011209641017647685	1.1727761029775743	0.0963052433255647	0.07362159052630587	1.6904752100141538e-09	1.6101968536231298e-09	1.0498562372733422
Astro_dev-3.lvl2.100UP_100DOWN	0.10179010491080677	0.07812524278753336	0.011446375535695821	0.7675131375096855	0.11245076862555224	0.03833464970273546	-4.461453882063485e-09	1.7815508204621763e-09	-2.5042529412133634
Astro_dev-4.lvl2.100UP_100DOWN	0.07912337181410528	0.05245692753296176	0.00898979061347289	0.6629763915547681	0.11361738519680079	0.002987663812454356	-5.155708547099944e-09	1.7930299816150334e-09	-2.8754168083994056
Astro_dev-5.lvl2.100UP_100DOWN	0.06573436474350039	0.05567410177478725	0.008930909318751606	0.8469558045024256	0.1358636286149653	0.2585464641379797	-2.6525723024468623e-09	2.1036174680314854e-09	-1.2609575375550934
Astro_GFAP.lvl2.100UP_100DOWN	0.1293134439125009	0.14151536015115948	0.011913427501752508	1.0943592241415743	0.09212829804311493	0.30553207031299057	2.0714535735415725e-10	1.6035210013759144e-09	0.12918156804707545
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.1230294310217191	0.13405935715978068	0.011957702500747723	1.0896527444405917	0.09719383729114997	0.35603929234056975	1.2545332135399333e-10	1.6661608549711702e-09	0.07529484381996483
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1279890370312216	0.1383920672594529	0.01229282455147527	1.081280635197635	0.09604591796777534	0.3981457753078682	-1.5662286047496796e-12	1.6453987949449747e-09	-0.0009518838895236077
BKGR_NRGN.lvl2.100UP_100DOWN	0.08965790041835824	0.0748176831880145	0.009752532652699016	0.8344795365372502	0.10877493904265129	0.12341293919539852	-2.2734758487235774e-09	1.719233119310446e-09	-1.322377880688704
CCK_RELN.lvl2.100UP_100DOWN	0.09227819623667143	0.09544294999267289	0.01010926716216096	1.0342957912602087	0.10955206727527612	0.7549982632622868	7.063449515171604e-10	1.7557545504987745e-09	0.40230278846009654
CCK_SORCS1.lvl2.100UP_100DOWN	0.09959053264641993	0.1094024034043035	0.012196833938172856	1.0985221235106657	0.1224698132851216	0.4238070247272283	2.1425110392380173e-09	1.9570089027942336e-09	1.0947886012061172
CCK_SYT6.lvl2.100UP_100DOWN	0.08782302233508618	0.07324937401063447	0.010069554806596924	0.8340566296062281	0.1146573476847202	0.1504403233418862	-2.1986633261853525e-09	1.8303461962002863e-09	-1.2012281232641537
CGE_dev.lvl2.100UP_100DOWN	0.06544901754843312	0.0679804131990094	0.009169228510551568	1.0386773666801494	0.14009726736946387	0.7824745597740265	1.998888881189016e-09	2.13380775063444e-09	0.9367708410444622
ID2_CSMD1.lvl2.100UP_100DOWN	0.1001375739180921	0.07588490079178054	0.009523271704156684	0.7578064638738988	0.09510188165679229	0.011292912906132931	-3.057566828957713e-09	1.5328727899185348e-09	-1.9946644294731128
ID2_dev.lvl2.100UP_100DOWN	0.08418799095947617	0.09262205733406452	0.011521948769822156	1.100181347463774	0.13685976632187646	0.46540192648251577	8.136746399503791e-10	2.162058283679687e-09	0.37634260190504953
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.13011110758830624	0.12096676288332985	0.012472542881443375	0.9297189542501578	0.09586070791825575	0.4636098784371041	-1.1461754460329035e-09	1.5883726490689325e-09	-0.7216036153132989
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.10233244910930911	0.09430322768538621	0.013350351282708891	0.9215378748988381	0.13046058604977157	0.5461841142415033	-7.329932124139167e-10	2.11165622969635e-09	-0.3471176804755379
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.11101834391600694	0.09576598471398136	0.013120294017393255	0.8626140630095775	0.11818131629958077	0.24302868666585642	-1.6281981689014532e-09	1.9401412080321713e-09	-0.8392163220701276
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.07848389885255536	0.0742539435850602	0.00891386456714572	0.9461041649390812	0.11357571040006371	0.6363784336905169	-2.7869438130470274e-10	1.773134764106261e-09	-0.15717608551044182
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.09603333848333856	0.11148141470652981	0.010806821710694215	1.1608615973073917	0.11253197984540712	0.15400786026439872	3.4581533515735055e-09	1.8043689984527594e-09	1.916544428849565
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.11061355686033537	0.12277384318401216	0.012462257939510111	1.1099348639428601	0.11266483325588565	0.3303196256001669	9.962796464690417e-10	1.8434189456692327e-09	0.5404521033103267
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.07725813050784251	0.06971221292222819	0.009191929943284865	0.9023284988128424	0.1189768621485319	0.4119127036662069	-2.3438459800007884e-10	1.8826952596974526e-09	-0.12449417758546023
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.11452756083171074	0.10296738292368257	0.010902086970959273	0.8990620438951377	0.09519182013296375	0.2892212530694246	-1.437743483775235e-09	1.5145913678828274e-09	-0.9492616386590039
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.11755331471614831	0.11439249735121233	0.011062791921289313	0.9731116270726327	0.09410871950316528	0.775631572754669	-2.0649963220816399e-10	1.5186250311445104e-09	-0.13597802484036214
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.12255720741553781	0.12922337700214767	0.013775763738462355	1.054392309739955	0.11240272219776332	0.6279184728456562	1.2611806623195437e-09	1.8187690703351642e-09	0.6934253957194975
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.0751177749159182	0.05380874600191124	0.008921373619934019	0.7163250783471841	0.11876514752893048	0.01706921910315837	-3.0878481216901655e-09	1.8545966360664198e-09	-1.664970194402735
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.13355741727405693	0.15344352272038256	0.0144241728817777	1.1488955525811029	0.10799978897599981	0.1752430219094196	1.982184724996447e-09	1.8088611875552532e-09	1.0958191477785242
