Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.14524440633105073	0.225189989621222	0.016173032503103243	1.550421082020563	0.11135046719968403	2.1687113731333926e-06	1.1338501057831492e-08	1.070818863980791e-08	1.058862655414977
Astro_dev-2.lvl2.100UP_100DOWN	0.1389115774298253	0.2223564307264959	0.014535047134799433	1.600704814102517	0.10463524641883921	4.7805722139865557e-08	1.6587582064085608e-08	1.0113911216570382e-08	1.6400759022789249
Astro_dev-3.lvl2.100UP_100DOWN	0.13927945891059104	0.2489124227524457	0.015981580764519714	1.7871438092836962	0.11474470743585326	1.403068095390661e-10	2.4344567412135952e-08	1.1155066300207246e-08	2.18237765307443
Astro_dev-4.lvl2.100UP_100DOWN	0.12523135182269085	0.20590737225031502	0.015515617964737773	1.6442158393518704	0.12389563586844932	5.831995230153541e-07	1.0656786813396814e-08	1.1280226031086988e-08	0.9447316732863289
Astro_dev-5.lvl2.100UP_100DOWN	0.1445281026726514	0.26271990004049195	0.01720805238979496	1.8177772708712492	0.11906371198112453	2.078192547298434e-10	2.026896120789139e-08	1.1550685240478418e-08	1.7547843081084487
Astro_GFAP.lvl2.100UP_100DOWN	0.15214675535411823	0.21962844436932205	0.01365934346887212	1.4435302537878094	0.08977742204939106	1.8775802388576837e-06	2.2574156254241713e-09	8.20909752897124e-09	0.2749895000586099
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.1447225279513598	0.23891847400036711	0.01571685519981015	1.650872724394822	0.10859992167281982	2.4635405228920003e-08	1.9014589725855457e-08	1.0383623467082301e-08	1.8312094796324867
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1464505476200182	0.2269528188464721	0.015653248649853665	1.5496891103154202	0.10688419336244283	9.998001910676816e-07	1.0179719941214793e-08	1.0159713311382385e-08	1.0019692120455794
BKGR_NRGN.lvl2.100UP_100DOWN	0.11242444631991866	0.16206961438571488	0.009603478711383668	1.4415869474199972	0.08542162337233751	6.409658360584288e-07	-2.997599716836357e-08	1.0510806644397914e-08	-2.851921663342583
CCK_RELN.lvl2.100UP_100DOWN	0.1511279937341044	0.18231912718343662	0.008351246623431457	1.2063888541007837	0.055259428892602755	0.00024264409013613828	-4.670862741723292e-09	5.944774790660395e-09	-0.785708947134802
CCK_SORCS1.lvl2.100UP_100DOWN	0.15548972943013262	0.17898516732998465	0.010395839078869524	1.1511060440195147	0.06685868653170926	0.026064362225377946	-4.461488257823274e-09	7.356719631476186e-09	-0.6064507662810089
CCK_SYT6.lvl2.100UP_100DOWN	0.15501364751384755	0.18935262251679827	0.009367897867823861	1.221522269514258	0.06043272975037257	0.00036036270824843145	-5.973839032283657e-09	6.674041262358908e-09	-0.8950857205477079
CGE_dev.lvl2.100UP_100DOWN	0.13167758149044506	0.17913644280418564	0.01002521811696022	1.3604171703076453	0.07613458573195074	6.706777311380803e-06	-3.357879752071943e-09	7.73702510066614e-09	-0.4340014034312539
ID2_CSMD1.lvl2.100UP_100DOWN	0.15777821057951985	0.1760838112157187	0.009902355413737437	1.1160210942243693	0.06276123539090762	0.06741692573014442	-5.035064003181937e-09	7.31365985483187e-09	-0.688446564800994
ID2_dev.lvl2.100UP_100DOWN	0.14631601002422515	0.19026053851756053	0.008698019507235978	1.3003398499320724	0.0594468063050371	1.5050066049840041e-06	-6.580896207211155e-09	6.1862178533564515e-09	-1.0637996209009295
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1631499847596751	0.1684595103502297	0.009555727851675695	1.0325438313609143	0.05857020376527509	0.5786106327023417	-9.869511576378857e-09	6.34851968416322e-09	-1.5546162046246736
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.14502800546001204	0.1832777430989049	0.010636148728642813	1.2637403549581276	0.07333858515744032	0.0005202131532739315	1.6532642271344333e-09	7.772718923861185e-09	0.21270088926786454
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.15120063061562358	0.1541830837194091	0.008671635096652381	1.0197251366719984	0.057351844773035884	0.7309469752512636	-1.497812828110422e-08	5.883575879191025e-09	-2.545752547201562
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.13044023821542086	0.20058460934919434	0.011252522821783057	1.5377510198803124	0.08626573345565054	7.849429601089815e-09	8.686536713218073e-09	9.444250081625063e-09	0.9197698745947851
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.1385913376912107	0.18572847700900186	0.009303992189816366	1.3401160570570099	0.06713256647068509	1.5754913768679515e-06	-1.9105195815481146e-08	7.4276723951391875e-09	-2.5721645758076184
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.15649557409892942	0.18990179481367503	0.012601472832007892	1.2134643162088898	0.080522870404257	0.009912093303387009	-1.8322237925229073e-09	8.141831763380564e-09	-0.22503827710659438
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.12529677534184208	0.1654291601225632	0.010290373573528452	1.3202986243758434	0.08212800006587277	0.00015467384810496584	-1.1635273293854626e-08	9.134702289259184e-09	-1.2737441161641008
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.15706140366328092	0.15936394484661548	0.009238764550048122	1.01466013374152	0.05882262818594709	0.8032379320850256	-1.743408655427379e-08	6.372574920194387e-09	-2.7357993860575887
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.1526372639951392	0.1836628970394314	0.009046781128482569	1.2032638179709525	0.05926980667558787	0.0008778170843285594	-1.016175476239248e-08	6.119014763739956e-09	-1.6606847923637942
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.16763417986334536	0.187618592724405	0.00934422074843207	1.1192144279725702	0.055741739280434556	0.03389235450077804	-9.899445601650253e-09	6.0345918077588405e-09	-1.6404499122744747
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.14569599636580738	0.17084448622137322	0.00938100332762962	1.1726093405643356	0.06438751620927312	0.008070959848456365	-1.582487590978368e-08	6.630063898516032e-09	-2.3868361077674782
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.16439437364445403	0.17603413599515833	0.010044293013188174	1.0708038973151133	0.061098763847670316	0.2502762550611333	-6.334731637879193e-09	6.632486248970379e-09	-0.9551066372527484
L4_RORB_dev-fetal.lvl2.100UP_100DOWN	0.1249708320143784	0.15923977675196818	0.008944868844630883	1.2742155444211734	0.07157565249787037	0.00015490742630203867	-1.5632294307192223e-08	7.460412115667394e-09	-2.0953660554975637
L4_RORB_LRRK1.lvl2.100UP_100DOWN	0.16922179059474843	0.17416822482428262	0.00882134579416137	1.029230480378144	0.05212889996706564	0.5753828298476831	-1.9367859124053937e-08	5.809107743501986e-09	-3.3340505942102117
L4_RORB_MET.lvl2.100UP_100DOWN	0.15774415679903858	0.17793069680091197	0.010295103198956304	1.1279701284123662	0.06526456134962871	0.05077044735998273	-5.998005462230159e-09	7.084304318554122e-09	-0.8466611811862887
L4_RORB_MME.lvl2.100UP_100DOWN	0.15677387568424195	0.17085143762214666	0.009767481080966974	1.0897953302261807	0.062302989183221094	0.15021984946981873	-1.0576139567526714e-08	6.665410406291613e-09	-1.5867199351361299
L5-6_THEMIS_CNR1.lvl2.100UP_100DOWN	0.17064349399168852	0.18929824414048393	0.009824022364617607	1.1093200198403346	0.05757044780796684	0.059637173292690554	-1.269597940371197e-08	6.618762845425605e-09	-1.918180134296016
L5-6_THEMIS_dev-1.lvl2.100UP_100DOWN	0.12961808265808714	0.16768004306228046	0.009188984558645297	1.2936469944906916	0.07089276719888263	6.008792342801358e-05	-9.312341943083405e-09	7.237713658073436e-09	-1.2866413874629854
L5-6_THEMIS_dev-2.lvl2.100UP_100DOWN	0.15354094732249216	0.1714615479305686	0.009522030778094707	1.1167154490094204	0.062016230485376383	0.0631177458209983	-1.1548326477459876e-08	6.492286278175515e-09	-1.7787765330498067
L5-6_THEMIS_NTNG2.lvl2.100UP_100DOWN	0.1597181017986603	0.21732312642588697	0.009383616698122712	1.3606668497716259	0.058751115825003	1.1619673069022009e-08	2.8855673847103485e-09	6.56421286491512e-09	0.43959076953968657
L5-6_TLE4_dev.lvl2.100UP_100DOWN	0.13200537009665403	0.17549236406780264	0.009045390682414474	1.329433521827995	0.06852289930168341	2.0408099152655563e-06	-4.744545750268704e-09	7.178869810157372e-09	-0.660904275427262
L5-6_TLE4_HTR2C.lvl2.100UP_100DOWN	0.16144528270425265	0.18319084758827345	0.00868022373423266	1.1346930955168006	0.05376573157689427	0.013229798692668453	-7.1269878527950765e-09	5.877039568377253e-09	-1.2126833195310533
L5-6_TLE4_SCUBE1.lvl2.100UP_100DOWN	0.15818333314041783	0.20255333941602155	0.012528328426980612	1.2804973532591888	0.07920131772580197	0.0005018357293594191	1.0249698745612695e-08	7.732986212839623e-09	1.3254515737522456
L5-6_TLE4_SORCS1.lvl2.100UP_100DOWN	0.1623103829305677	0.18674156162121397	0.009153568634709577	1.1505213545155475	0.056395459547558605	0.008105151373894644	-2.9857710230814104e-09	6.341299506320007e-09	-0.4708452928466263
LAMP5_CCK.lvl2.100UP_100DOWN	0.1541524055976363	0.18658915693591835	0.009037682570436969	1.210420013962983	0.05862822922158503	0.0004171132327091515	-2.5062873813673303e-09	6.4581705931091955e-09	-0.3880800832423836
LAMP5_NDNF.lvl2.100UP_100DOWN	0.1523126626885812	0.1737846535462726	0.009204447281950637	1.1409731172620432	0.06043126762723642	0.020723889487937224	-5.1443713965441524e-09	6.704563770495809e-09	-0.7672939765570641
