Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.1487449001108677	0.17489410581780254	0.012460004476164374	1.17579900680591	0.08376760794405222	0.03602606359537507	-1.3126459199335435e-09	5.736736700720217e-09	-0.22881404331642896
Astro_dev-2.lvl2.100UP_100DOWN	0.14336205425824072	0.16340877666620443	0.011530998113226783	1.1398328345090059	0.08043270705688817	0.08266998965154396	-3.098936656847396e-09	5.399176574992957e-09	-0.5739646803182091
Astro_dev-3.lvl2.100UP_100DOWN	0.14419393946714054	0.16615106624064344	0.010843589797028963	1.1522749628357756	0.0752014255044335	0.04228597057725857	-1.652540103386124e-09	5.184836306400695e-09	-0.31872560785497867
Astro_dev-4.lvl2.100UP_100DOWN	0.12986216271030515	0.14052250548276188	0.010929506290554163	1.0820896753139533	0.08416236155665731	0.32959657259639796	-5.2935908990882985e-09	5.503460425738333e-09	-0.961865897014808
Astro_dev-5.lvl2.100UP_100DOWN	0.1468565089439822	0.1710493583623847	0.011642374736601709	1.1647380125836353	0.07927721297693822	0.03932400330313164	-2.145365072248625e-09	5.692941296751666e-09	-0.3768465122717405
Astro_GFAP.lvl2.100UP_100DOWN	0.1563754632278723	0.17461979615593218	0.011486391896811617	1.116670048813694	0.07345392723200762	0.11423856901275341	-3.756163076034088e-09	5.009277173335844e-09	-0.7498413336015772
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.14858436086002738	0.1719231758980441	0.011661190712828612	1.1570745057079248	0.07848195224135289	0.044965046184730004	-2.187673311033586e-09	5.400290771057901e-09	-0.4051028738597028
Astro_SLC1A2.lvl2.100UP_100DOWN	0.14990792897824065	0.16686227912556886	0.010996002846371186	1.1130984215637396	0.07335170942136937	0.12434805559322208	-5.024452595064114e-09	5.016001961305413e-09	-1.0016847349390792
BKGR_NRGN.lvl2.100UP_100DOWN	0.11578755070951806	0.1352725641871307	0.01034880697062175	1.1682824566044727	0.0893775445391734	0.061075491106012125	2.851327476268171e-09	5.583353299628517e-09	0.5106836919057014
CCK_RELN.lvl2.100UP_100DOWN	0.15607183099796532	0.17214753291636017	0.010350083425144053	1.1030019435000056	0.06631615301084656	0.1215323055071377	2.472348297797902e-09	4.436187684913051e-09	0.5573137282279707
CCK_SORCS1.lvl2.100UP_100DOWN	0.15933059326214918	0.16691474671152903	0.010618256368681644	1.0476001080150472	0.06664292243744586	0.475444169964239	2.0459520344780402e-11	4.484911541399594e-09	0.0045618559376080035
CCK_SYT6.lvl2.100UP_100DOWN	0.15904189101481775	0.17561634044157232	0.011109037340649552	1.104214363404484	0.06984975637402686	0.13980493929038693	2.3022390448658663e-09	4.810180355966548e-09	0.47861802978139245
