Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.14524440633105073	0.17050799617213092	0.012077896838727861	1.173938470191394	0.08315567631017137	0.03467182004007096	-1.7983300230943433e-09	4.820109698366444e-09	-0.37308902403275285
Astro_dev-2.lvl2.100UP_100DOWN	0.1389115774298253	0.16197290860799743	0.011763799242948294	1.1660144647757826	0.08468552053475223	0.05013609225666296	-1.7618413108713682e-09	4.820248694938584e-09	-0.36550838398055235
Astro_dev-3.lvl2.100UP_100DOWN	0.13927945891059104	0.15984595206087435	0.011378756385305675	1.1476635055244273	0.08169730464425587	0.07030775274634515	-2.4692173202953915e-09	4.810774753345133e-09	-0.5132681214347942
Astro_dev-4.lvl2.100UP_100DOWN	0.12523135182269085	0.13383458439321316	0.01066016461310669	1.068698711986302	0.08512376859270762	0.41830489200783916	-6.320850879163111e-09	4.893358167736512e-09	-1.291720463226771
Astro_dev-5.lvl2.100UP_100DOWN	0.1445281026726514	0.17389947906786218	0.010613418041687722	1.2032225972116677	0.07343497801065416	0.006611854786923488	-3.4142657296053566e-10	4.560394003232254e-09	-0.07486777956434114
Astro_GFAP.lvl2.100UP_100DOWN	0.15214675535411823	0.16983845370632583	0.011375496886172962	1.116280484003951	0.07476660846100032	0.12005182445357682	-3.774395554318532e-09	4.37170881815452e-09	-0.8633684701607965
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.1447225279513598	0.16414517784461694	0.011184992947878261	1.1342061264973546	0.07728577648697138	0.08072248674651197	-3.911253364298757e-09	4.560903963719009e-09	-0.8575610000587428
Astro_SLC1A2.lvl2.100UP_100DOWN	0.1464505476200182	0.1645748575004385	0.011063573234047277	1.1237572011505603	0.07554477203289751	0.1017339882834885	-4.1078741136811156e-09	4.416884901820053e-09	-0.9300387501581479
BKGR_NRGN.lvl2.100UP_100DOWN	0.11242444631991866	0.13789979033968694	0.010311839875401867	1.2265996840871674	0.09172239857920368	0.014647873488253194	5.072730790766688e-09	5.059947301816309e-09	1.0025264075271674
CCK_RELN.lvl2.100UP_100DOWN	0.1511279937341044	0.16741129163402077	0.009683224708696097	1.1077450808257623	0.06407300506968171	0.09333475612361473	1.8825397468610426e-09	3.671976304303384e-09	0.5126775313486621
CCK_SORCS1.lvl2.100UP_100DOWN	0.15548972943013262	0.16076392713145193	0.010637147843579508	1.0339199104702874	0.06841061388790427	0.6202018103271207	-9.107611744476361e-10	3.9923501181598746e-09	-0.22812657895530908
CCK_SYT6.lvl2.100UP_100DOWN	0.15501364751384755	0.1691295628186278	0.009804177594315858	1.0910624034152816	0.06324718985430001	0.15303821001483028	8.126749107277829e-10	3.779525071501758e-09	0.21502037831564755
CGE_dev.lvl2.100UP_100DOWN	0.13167758149044506	0.1599449364850792	0.010621162957199205	1.2146709764462473	0.08066037389948501	0.008226771030770276	4.4294422215680056e-09	4.664746162997978e-09	0.9495569676874454
ID2_CSMD1.lvl2.100UP_100DOWN	0.15777821057951985	0.14845088166618578	0.01009231462949515	0.9408832887692492	0.0639651989487398	0.35619405685114436	-5.4736748590686884e-09	3.672027478349146e-09	-1.4906410399547225
ID2_dev.lvl2.100UP_100DOWN	0.14631601002422515	0.17167472607990458	0.010093615259033111	1.1733147046005483	0.06898503627430749	0.014068060181173233	1.717438428955044e-09	4.080547273414246e-09	0.4208843358204845
L2-3_CUX2_dev-1.lvl2.100UP_100DOWN	0.1631499847596751	0.19279310149263068	0.010342203469513348	1.1816924272265228	0.06339077190076192	0.004688384909741118	7.63289547890681e-09	3.6855406426459134e-09	2.071038205517392
L2-3_CUX2_dev-2.lvl2.100UP_100DOWN	0.14502800546001204	0.16367481755029273	0.010844519970821623	1.1285738711715378	0.07477535070846532	0.08885798301430665	3.708766516514317e-09	4.446494727828895e-09	0.8340876900859858
L2-3_CUX2_dev-3.lvl2.100UP_100DOWN	0.15120063061562358	0.17458984636953212	0.00953291916527237	1.1546899352117632	0.06304814422042054	0.015062405553284926	6.300361061211117e-09	3.6523376006024827e-09	1.7250215478908142
L2-3_CUX2_dev-4.lvl2.100UP_100DOWN	0.13044023821542086	0.16441917128463296	0.009747727086068272	1.2604942580148941	0.0747294486688225	0.0007258390028267868	6.40049120121103e-09	4.3048038526275e-09	1.4868252817847663
L2-3_CUX2_dev-5.lvl2.100UP_100DOWN	0.1385913376912107	0.16702479534913137	0.009478567109971107	1.2051604243929877	0.0683922045048002	0.003310109461388006	5.3489074042247504e-09	4.022568580125749e-09	1.329724353402457
L2-3_CUX2_dev-6.lvl2.100UP_100DOWN	0.15649557409892942	0.19262905178387288	0.011057210194865302	1.2308913711649219	0.07065509844946435	0.0014390247677811333	6.219723090405184e-09	4.145740833511432e-09	1.5002681885295501
L2-3_CUX2_dev-fetal.lvl2.100UP_100DOWN	0.12529677534184208	0.15434650931051214	0.010783223042858663	1.2318474189731927	0.08606145699631323	0.00852059911823099	6.219645696348237e-09	4.926173243378998e-09	1.2625714503053105
L2_CUX2_LAMP5_dev.lvl2.100UP_100DOWN	0.15706140366328092	0.19908516264948686	0.01026348826331144	1.2675626093110652	0.0653469791045228	6.32669164221368e-05	1.2199037562610357e-08	3.78852930386292e-09	3.2199929271160137
L2_CUX2_LAMP5.lvl2.100UP_100DOWN	0.1526372639951392	0.17834688495242984	0.010720078220620323	1.16843607048741	0.07023237930261715	0.018541846266237217	6.03771406928013e-09	4.007495069707991e-09	1.5066054890293534
L3_CUX2_PRSS12.lvl2.100UP_100DOWN	0.16763417986334536	0.1909551086147876	0.010183851005648736	1.1391179816100354	0.06075044489107511	0.023324573725575618	4.407669703113959e-09	3.5206635841614898e-09	1.2519428788773994
L4_RORB_dev-1.lvl2.100UP_100DOWN	0.14569599636580738	0.14582082656744014	0.00877286273317886	1.0008567853938781	0.06021347842086426	0.9886563619884869	-4.015787796822582e-09	3.4112403362282154e-09	-1.1772221834310304
L4_RORB_dev-2.lvl2.100UP_100DOWN	0.16439437364445403	0.21242970306319794	0.010592066629926386	1.2921957020416825	0.06443083418921933	2.191745528235022e-05	1.2435582797515228e-08	3.921949430683847e-09	3.170765716718308
