# MEAN_SAMPLE_SIZE = 2306
# TOTAL_GENES = 49792
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2289        0.151     0.031623     0.038568   4.5282e-05
Astro_dev-2               SET    2217      0.14668     0.030254     0.039468   0.00010123
Astro_dev-3               SET    1857      0.22793      0.04319     0.041803   2.5036e-08
Astro_dev-4               SET    1956     0.063377     0.012312      0.04191     0.065245
Astro_dev-5               SET    1219     0.074658     0.011538     0.051552     0.073785
Astro_GFAP                SET    2247      0.14474     0.030046       0.0393   0.00011549
Astro_SLC1A2              SET    2327      0.16018      0.03381     0.038428   1.5379e-05
Astro_SLC1A2_dev          SET    2238       0.1231     0.025505     0.039531   0.00092391
BKGR_NRGN                 SET    2056      0.01417    0.0028194     0.041378      0.36601
CCK_RELN                  SET    1959    0.0053057    0.0010315     0.040972      0.44848
CCK_SORCS1                SET    2094    -0.052136    -0.010464     0.039751      0.90516
CCK_SYT6                  SET    1794    -0.066794    -0.012448     0.042562      0.94171
CGE_dev                   SET    1991     0.024849    0.0048687     0.041036      0.27241
ID2_CSMD1                 SET    2030    -0.077938    -0.015413     0.039755      0.97503
ID2_dev                   SET    1859    -0.035046   -0.0066442     0.041803      0.79908
L2_CUX2_LAMP5             SET    2321    -0.045725   -0.0096394     0.037008      0.89168
L2_CUX2_LAMP5_dev         SET    2201    -0.088281    -0.018146     0.037965      0.98997
L2-3_CUX2_dev-1           SET    2301    -0.039831   -0.0083624     0.037358      0.85683
L2-3_CUX2_dev-2           SET    2295     0.017687    0.0037087     0.037278      0.31759
L2-3_CUX2_dev-3           SET    2278    0.0071409    0.0014921     0.037149      0.42379
L2-3_CUX2_dev-4           SET    2151     0.052455     0.010665     0.040449     0.097355
L2-3_CUX2_dev-5           SET    2197    0.0092409    0.0018978     0.039015      0.40639
L2-3_CUX2_dev-6           SET    2100   -0.0016387  -0.00032936     0.040028      0.51633
L2-3_CUX2_dev-fetal       SET    2131     0.037064    0.0075018     0.039556      0.17439
L3_CUX2_PRSS12            SET    2208   -0.0031091  -0.00064004     0.037451      0.53308
L4_RORB_dev-1             SET    1961   -0.0022973  -0.00044684     0.040126      0.52283
L4_RORB_dev-2             SET    2286     0.033913    0.0070977     0.037433      0.18249
L4_RORB_dev-fetal         SET    2302     0.024456    0.0051355     0.037724       0.2584
L4_RORB_LRRK1             SET    2282      0.01958    0.0040946     0.037076      0.29872
L4_RORB_MET               SET    2269   -0.0097955   -0.0020429      0.03715      0.60398
L4_RORB_MME               SET    2157    -0.068986    -0.014044     0.038848      0.96211
L5-6_THEMIS_CNR1          SET    2107     0.024453    0.0049227     0.038592      0.26316
L5-6_THEMIS_dev-1         SET    2311   -0.0037137  -0.00078129     0.037859      0.53907
L5-6_THEMIS_dev-2         SET    2266   -0.0088882   -0.0018525     0.038419      0.59148
L5-6_THEMIS_NTNG2         SET    1905    -0.018248   -0.0035004     0.041267      0.67083
L5-6_TLE4_dev             SET    2297    -0.036554    -0.007668     0.038249      0.83038
L5-6_TLE4_HTR2C           SET    2133    0.0076878    0.0015567     0.038891      0.42165
L5-6_TLE4_SCUBE1          SET    2288    0.0089458    0.0018731     0.037836      0.40655
L5-6_TLE4_SORCS1          SET    2241    -0.014753   -0.0030586     0.037512      0.65294
LAMP5_CCK                 SET    2114    -0.052001    -0.010485     0.040126       0.9025
LAMP5_NDNF                SET    2091    -0.056075    -0.011247     0.040125      0.91886
LAMP5_NOS1                SET    2058   -0.0057154   -0.0011377     0.040088      0.55668
MGE_dev-1                 SET    1960     0.065348     0.012708     0.042222     0.060852
MGE_dev-2                 SET    1903     0.055804     0.010699     0.040664     0.084989
Micro                     SET    2210      0.13793     0.028406      0.03988   0.00027197
Micro_out                 SET    1780     0.068877     0.012788     0.044509      0.06088
Oligo_mat                 SET    2267      0.18712     0.039007     0.039647   1.1871e-06
Oligo-1                   SET    2215      0.17768     0.036633     0.038921   2.5061e-06
Oligo-2                   SET    2239      0.14449     0.029944     0.038867   0.00010074
Oligo-3                   SET    2167      0.20031     0.040868       0.0394   1.8602e-07
Oligo-4                   SET    1994      0.15035      0.02948     0.040553   0.00010482
Oligo-5                   SET    1898       0.1301     0.024911     0.041312   0.00081974
OPC                       SET    2318      0.11823     0.024909     0.037885   0.00090297
OPC_dev                   SET    2092      0.10594     0.021254     0.040061    0.0040924
OPC_MBP                   SET    2039       0.1063     0.021066     0.040282    0.0041608
PN_dev                    SET    2296    0.0018529    0.0003886      0.03879      0.48095
PV_dev                    SET    2039    -0.086712    -0.017184     0.040424      0.98402
PV_SCUBE3                 SET    2034     0.091723     0.018156     0.040447     0.011675
PV_SCUBE3_dev             SET    1773     0.031072    0.0057581      0.04268       0.2333
PV_SST                    SET    1907    -0.012351   -0.0023705      0.04078      0.61901
PV_SULF1                  SET    2051    -0.043783   -0.0087012     0.039967      0.86334
PV_SULF1_dev              SET    1877   -0.0070485   -0.0013425     0.041746      0.56704
PV_WFDC2                  SET    2212    0.0048906    0.0010076     0.038301       0.4492
SST_ADGRG6                SET    2101    0.0070151    0.0014103     0.039555      0.42962
SST_ADGRG6_dev            SET    2032   -0.0048725  -0.00096404     0.039748      0.54878
SST_B3GAT2                SET    2056    0.0011589   0.00023058     0.040095      0.48847
SST_BRINP3                SET    1895    -0.050903   -0.0097397     0.040941      0.89312
SST_CALB1                 SET    2050   -0.0095051   -0.0018885     0.039798      0.59438
SST_CALB1_dev             SET    2145    -0.032298   -0.0065578     0.040005      0.79026
SST_NPY                   SET    1597    -0.015139   -0.0026674     0.043701      0.63548
SST_STK32A                SET    2036    -0.052443    -0.010386     0.040592      0.90181
SST_TH                    SET    1821     -0.04326   -0.0081204     0.041845      0.84938
Vas_CLDN5                 SET    1560      0.18057     0.031457     0.044545   2.5281e-05
Vas_PDGFRB                SET    1571      0.20768     0.036304     0.045249   2.2276e-06
Vas_TBX18                 SET    1917      0.18896     0.036355     0.041117   2.1666e-06
VIP_ABI3BP                SET    2055    -0.038108   -0.0075803     0.039978      0.82975
VIP_ADAMTSL1              SET    2029    0.0025347   0.00050114     0.039759      0.47458
VIP_CHRM2                 SET    2165     0.011302     0.002305     0.039478      0.38733
VIP_CRH                   SET    2118    -0.048542   -0.0097964     0.039299      0.89162
VIP_dev                   SET    1654    -0.025544   -0.0045777     0.044933      0.71515
VIP_DPP6                  SET    2017     -0.07406    -0.014601     0.040021      0.96788
VIP_HS3ST3A1              SET    2152    -0.021706   -0.0044139     0.039735      0.70755
VIP_KIRREL3               SET    2047    -0.051564    -0.010238     0.040344      0.89939
VIP_PCDH20                SET    1661    0.0091326      0.00164     0.044758      0.41916
