# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2308     0.046245    0.0095766     0.024138     0.027697
Astro_dev-2               SET    2241    0.0093014    0.0018993     0.024212      0.35043
Astro_dev-3               SET    1874     0.016078    0.0030134     0.025571      0.26476
Astro_dev-4               SET    1976    -0.013895   -0.0026715     0.025502      0.70707
Astro_dev-5               SET    1242     0.022214     0.003411     0.031488      0.24026
Astro_GFAP                SET    2264    -0.017454   -0.0035815     0.024011      0.76636
Astro_SLC1A2              SET    2350     0.016402     0.003426     0.023794       0.2453
Astro_SLC1A2_dev          SET    2262     0.033662    0.0069044     0.024779      0.08716
BKGR_NRGN                 SET    2082     0.014222    0.0028037     0.024468      0.28054
CCK_RELN                  SET    2003   0.00095943   0.00018567     0.025255      0.48485
CCK_SORCS1                SET    2123     0.024402    0.0048556     0.024338      0.15803
CCK_SYT6                  SET    1823    -0.011645   -0.0021538     0.026011      0.67281
CGE_dev                   SET    2020     0.034329    0.0066703     0.024698     0.082271
ID2_CSMD1                 SET    2063     -0.03343   -0.0065615     0.024369      0.91494
ID2_dev                   SET    1888     0.031306    0.0058886     0.025713      0.11171
L2_CUX2_LAMP5             SET    2353     0.033458    0.0069927     0.023163     0.074309
L2_CUX2_LAMP5_dev         SET    2228     0.073654     0.014998      0.02386    0.0010118
L2-3_CUX2_dev-1           SET    2335     0.059043     0.012295     0.023408    0.0058315
L2-3_CUX2_dev-2           SET    2323     0.035282     0.007329     0.023513     0.066741
L2-3_CUX2_dev-3           SET    2298     0.016061    0.0033192     0.023576      0.24785
L2-3_CUX2_dev-4           SET    2180     0.023111    0.0046575     0.023804       0.1658
L2-3_CUX2_dev-5           SET    2222     0.022211     0.004517     0.023743      0.17478
L2-3_CUX2_dev-6           SET    2133     0.033554    0.0066919      0.02427     0.083405
L2-3_CUX2_dev-fetal       SET    2151     0.015332    0.0030701     0.023722      0.25904
L3_CUX2_PRSS12            SET    2234     0.018167     0.003704     0.024039      0.22491
L4_RORB_dev-1             SET    1991    -0.016551   -0.0031937     0.024467      0.75063
L4_RORB_dev-2             SET    2311       0.1157     0.023975     0.023648   4.9996e-07
L4_RORB_dev-fetal         SET    2326     0.076162     0.015831     0.023535   0.00060634
L4_RORB_LRRK1             SET    2310      0.10434     0.021617     0.023545   4.6902e-06
L4_RORB_MET               SET    2295     0.075283     0.015548     0.023723   0.00075411
L4_RORB_MME               SET    2188     0.027455    0.0055425     0.023982      0.12614
L5-6_THEMIS_CNR1          SET    2132     0.073436     0.014642     0.024186    0.0011983
L5-6_THEMIS_dev-1         SET    2341     0.055079     0.011483     0.023459    0.0094446
L5-6_THEMIS_dev-2         SET    2293     0.069034     0.014252     0.023572    0.0017033
L5-6_THEMIS_NTNG2         SET    1926     0.042439    0.0080595     0.025282     0.046619
L5-6_TLE4_dev             SET    2335     0.043774    0.0091153     0.023036     0.028708
L5-6_TLE4_HTR2C           SET    2173     -0.03189   -0.0064168     0.023942      0.90857
L5-6_TLE4_SCUBE1          SET    2319     0.044269    0.0091882      0.02357     0.030182
L5-6_TLE4_SORCS1          SET    2277     0.073329     0.015088     0.023503    0.0009051
LAMP5_CCK                 SET    2150     0.026005     0.005206     0.024618      0.14541
LAMP5_NDNF                SET    2125     0.020859    0.0041526     0.024431      0.19661
LAMP5_NOS1                SET    2089     0.026621    0.0052565     0.024749      0.14105
MGE_dev-1                 SET    1988     0.058477     0.011276     0.024895    0.0094166
MGE_dev-2                 SET    1944     0.057901     0.011045     0.025008       0.0103
Micro                     SET    2248    -0.031517   -0.0064452     0.024011      0.90533
Micro_out                 SET    1810    -0.079443    -0.014643     0.026198      0.99879
Oligo_mat                 SET    2294     0.077937     0.016093     0.024374   0.00069364
Oligo-1                   SET    2241     0.080252     0.016387     0.024414   0.00050663
Oligo-2                   SET    2266     0.065465     0.013439     0.024257    0.0034808
Oligo-3                   SET    2186     0.091664     0.018497     0.024377   8.5034e-05
Oligo-4                   SET    2016     0.071546     0.013888     0.025492    0.0025051
Oligo-5                   SET    1920     0.048323    0.0091632     0.025967     0.031381
OPC                       SET    2349     0.034832    0.0072739     0.024093     0.074135
OPC_dev                   SET    2117     0.012564    0.0024967     0.024763      0.30595
OPC_MBP                   SET    2057     0.034283    0.0067195     0.025373     0.088326
PN_dev                    SET    2332     0.057311     0.011927     0.023324    0.0070038
PV_dev                    SET    2079      0.06053     0.011925     0.024863    0.0074576
PV_SCUBE3                 SET    2062     0.022187    0.0043537     0.024777      0.18528
PV_SCUBE3_dev             SET    1804     0.026762    0.0049249     0.026369      0.15508
PV_SST                    SET    1945    -0.012691   -0.0024215     0.025068      0.69366
PV_SULF1                  SET    2084    0.0072694    0.0014337      0.02469      0.38422
PV_SULF1_dev              SET    1912    -0.012812   -0.0024246     0.025469      0.69253
PV_WFDC2                  SET    2245   -0.0056616   -0.0011571     0.023709      0.59436
SST_ADGRG6                SET    2140     0.023937    0.0047814     0.024568      0.16495
SST_ADGRG6_dev            SET    2068    0.0071707    0.0014091     0.024823      0.38634
SST_B3GAT2                SET    2112     0.014365    0.0028513     0.024134      0.27585
SST_BRINP3                SET    1937    0.0076674    0.0014601     0.025168      0.38032
SST_CALB1                 SET    2074  -0.00013938  -2.7426e-05     0.024747      0.50225
SST_CALB1_dev             SET    2179     0.026826    0.0054049     0.024202      0.13385
SST_NPY                   SET    1620     -0.01875   -0.0032759     0.026911      0.75702
SST_STK32A                SET    2085    -0.049805   -0.0098253     0.025042      0.97664
SST_TH                    SET    1854    -0.011162   -0.0020814     0.025548      0.66891
Vas_CLDN5                 SET    1582    -0.062092    -0.010724     0.027848      0.98711
Vas_PDGFRB                SET    1586    -0.068576    -0.011858     0.027298        0.994
Vas_TBX18                 SET    1934     -0.12282    -0.023372     0.025298            1
VIP_ABI3BP                SET    2096   -0.0052385    -0.001036     0.024543      0.58451
VIP_ADAMTSL1              SET    2061    0.0093938    0.0018429     0.024357      0.34987
VIP_CHRM2                 SET    2195    0.0080609    0.0016298     0.024073      0.36887
VIP_CRH                   SET    2151   -0.0052866   -0.0010586     0.024233      0.58635
VIP_dev                   SET    1671     0.029177    0.0051744     0.027072      0.14058
VIP_DPP6                  SET    2044    0.0049639   0.00096999     0.024215      0.41879
VIP_HS3ST3A1              SET    2184   -0.0063109   -0.0012729     0.024097       0.6033
VIP_KIRREL3               SET    2080     0.020501    0.0040396      0.02469      0.20318
VIP_PCDH20                SET    1690     0.040249    0.0071771     0.027304     0.070234
