# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    1783     0.013151    0.0024064     0.026972      0.31293
CGE_dev            SET    1719       0.1276     0.022941     0.026883   1.0391e-06
ID2                SET    1804     0.020987    0.0038622     0.026211      0.21165
L2-3_CUX2          SET    1865      0.03431    0.0064157     0.025583     0.089945
L4_RORB            SET    1856     0.083844     0.015642      0.02588   0.00059876
L5-6_THEMIS        SET    1848      0.08162     0.015195      0.02618   0.00091216
L5-6_TLE4          SET    1845      0.03482    0.0064774     0.026056     0.090719
LAMP5_NOS1         SET    1784     0.045036    0.0082432     0.026836     0.046663
MGE_dev            SET    1737      0.12507       0.0226     0.026503   1.1882e-06
Micro              SET    1709    -0.034017   -0.0060987     0.027202      0.89444
Oligo              SET    1736     0.083536      0.01509     0.027076    0.0010176
OPC                SET    1759     0.050761    0.0092282     0.027607      0.03298
PN_dev             SET    1814     0.069891     0.012896     0.026131    0.0037425
Poor-Quality       SET    1774     0.020086    0.0036665     0.026589        0.225
PV                 SET    1808     0.021189    0.0039034     0.026403      0.21113
PV_SCUBE3          SET    1809     0.072528     0.013365     0.026535    0.0031367
SST                SET    1796     0.043472    0.0079827     0.026221     0.048669
Vas                SET    1767     -0.10411    -0.018968     0.026275      0.99996
VIP                SET    1819     0.039297    0.0072604     0.026295     0.067535
