# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1676     0.011137    0.0019822     0.028135      0.34611
Astro_dev-2               SET    1676    0.0098207    0.0017479     0.027346      0.35975
Astro_dev-3               SET    1611     0.042245    0.0073765     0.027626     0.063117
Astro_dev-4               SET    1788    0.0039406    0.0007236     0.026423      0.44072
Astro_dev-5               SET    1223     0.013846    0.0021147     0.031723      0.33125
Astro_GFAP                SET    1677    -0.017758   -0.0031615     0.027446      0.74118
Astro_SLC1A2              SET    1686     0.014679    0.0026201     0.027921      0.29954
Astro_SLC1A2_dev          SET    1680     0.020236    0.0036059     0.027906      0.23418
BKGR_NRGN                 SET    1662       0.0169    0.0029957     0.027173      0.26699
CCK_RELN                  SET    1775     0.040155    0.0073476     0.026722     0.066461
CCK_SORCS1                SET    1806     0.027128    0.0050054     0.026333      0.15146
CCK_SYT6                  SET    1745     0.019374    0.0035161      0.02669      0.23396
CGE_dev                   SET    1639     0.088598       0.0156     0.027222   0.00056826
ID2_CSMD1                 SET    1766     0.014603    0.0026655     0.026815      0.29302
ID2_dev                   SET    1651     0.089553     0.015824     0.027899   0.00066451
L2_CUX2_LAMP5             SET    1797     0.030014    0.0055248     0.026498      0.12867
L2_CUX2_LAMP5_dev         SET    1777     0.077534     0.014195     0.025964    0.0014134
L2-3_CUX2_dev-1           SET    1770     0.071206     0.013012     0.026518    0.0036262
L2-3_CUX2_dev-2           SET    1811       0.0282    0.0052103     0.026218      0.14105
L2-3_CUX2_dev-3           SET    1804     0.039223    0.0072332     0.026226     0.067391
L2-3_CUX2_dev-4           SET    1702     0.066816     0.011981     0.026931    0.0065529
L2-3_CUX2_dev-5           SET    1785     0.042093    0.0077232     0.026322     0.054897
L2-3_CUX2_dev-6           SET    1736     0.072126     0.013057     0.026465    0.0032134
L2-3_CUX2_dev-fetal       SET    1747     0.057664     0.010471     0.026594     0.015071
L3_CUX2_PRSS12            SET    1782     0.036615    0.0067125     0.026429     0.082971
L4_RORB_dev-1             SET    1842      0.03464    0.0064525     0.025723     0.089053
L4_RORB_dev-2             SET    1724      0.10061     0.018152     0.026975   9.6052e-05
L4_RORB_dev-fetal         SET    1785     0.055734     0.010226     0.026301     0.017045
L4_RORB_LRRK1             SET    1769      0.10805      0.01974     0.026555   2.3658e-05
L4_RORB_MET               SET    1814      0.08773     0.016222     0.026034   0.00037656
L4_RORB_MME               SET    1804      0.10588     0.019527     0.026125   2.5345e-05
L5-6_THEMIS_CNR1          SET    1711     0.089927     0.016166     0.026538   0.00035166
L5-6_THEMIS_dev-1         SET    1815     0.081182     0.015015     0.026085   0.00092941
