# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 31977
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     858    -0.035043   -0.0056627     0.032229      0.86155
Astro_dev-2               SET     944    -0.013677    -0.002315     0.030459      0.67329
Astro_dev-3               SET     631   0.00039483   5.4915e-05     0.036064      0.49563
Astro_dev-4               SET     894      0.02091    0.0034471     0.030409      0.24585
Astro_dev-5               SET     380     0.038082    0.0041267     0.045987      0.20381
Astro_GFAP                SET     837    -0.015911   -0.0025403     0.033127      0.68449
Astro_SLC1A2              SET     922   -0.0086648     -0.00145     0.030736      0.61099
Astro_SLC1A2_dev          SET     843    -0.038123   -0.0061079     0.032405      0.88029
BKGR_NRGN                 SET     559     0.046556    0.0061015     0.037824       0.1092
CCK_RELN                  SET    1046    0.0040665   0.00072335     0.028666       0.4436
CCK_SORCS1                SET    1137     0.022202    0.0041115     0.027195      0.20714
CCK_SYT6                  SET     910   -0.0066922   -0.0011128     0.030675      0.58635
CGE_dev                   SET    1198    0.0096472     0.001832     0.026677      0.35882
ID2_CSMD1                 SET    1106     0.019793    0.0036168     0.028616      0.24457
ID2_dev                   SET     983    -0.011498   -0.0019848     0.028909      0.65458
L2_CUX2_LAMP5             SET    1033     0.016446    0.0029078     0.029143      0.28627
L2_CUX2_LAMP5_dev         SET    1049     0.052381    0.0093305     0.028508     0.033079
L2-3_CUX2_dev-1           SET    1030     0.019026    0.0033592     0.029043      0.25621
L2-3_CUX2_dev-2           SET    1081     0.021432    0.0038735     0.028099      0.22281
L2-3_CUX2_dev-3           SET    1057     0.051067    0.0091299     0.028222     0.035195
L2-3_CUX2_dev-4           SET    1159    -0.011822   -0.0022095      0.02675      0.67073
L2-3_CUX2_dev-5           SET     916       0.0171    0.0028524     0.030178      0.28549
