# TOTAL_GENES = 30985
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     848      0.16672     0.027202     0.048654   0.00030603
Astro_dev-2               SET     929       0.1058     0.018044     0.046701     0.011744
Astro_dev-3               SET     626      0.01221    0.0017179     0.055663      0.41319
Astro_dev-4               SET     887     0.091827     0.015313     0.046019     0.023005
Astro_dev-5               SET     378     0.016352    0.0017951     0.070709      0.40856
Astro_GFAP                SET     829       0.1138     0.018365     0.049154     0.010304
Astro_SLC1A2              SET     911      0.14076     0.023778     0.046135     0.001142
Astro_SLC1A2_dev          SET     830     0.099853     0.016123     0.049192     0.021191
BKGR_NRGN                 SET     548     0.053077     0.006996     0.058108      0.18052
CCK_RELN                  SET    1025    -0.028065   -0.0050195     0.042941      0.74331
CCK_SORCS1                SET    1120     0.023225    0.0043352     0.042298      0.29148
CCK_SYT6                  SET     901     0.037811    0.0063534     0.046426       0.2077
CGE_dev                   SET    1182     0.086305     0.016532     0.040579     0.016722
ID2_CSMD1                 SET    1095     0.013713    0.0025319     0.042526      0.37356
ID2_dev                   SET     971     0.078687      0.01371     0.043344     0.034738
L2_CUX2_LAMP5             SET    1019     0.051761    0.0092313     0.043522      0.11717
L2_CUX2_LAMP5_dev         SET    1037     0.034996    0.0062944     0.043905       0.2127
L2-3_CUX2_dev-1           SET    1014     0.048998    0.0087177     0.044238      0.13402
L2-3_CUX2_dev-2           SET    1070     0.044349    0.0080979     0.042622      0.14906
L2-3_CUX2_dev-3           SET    1044     0.058032     0.010471     0.043169     0.089432
L2-3_CUX2_dev-4           SET    1147     0.018917    0.0035716     0.041915      0.32589
L2-3_CUX2_dev-5           SET     905     0.078357     0.013195     0.045796      0.04355
L2-3_CUX2_dev-6           SET    1011     0.011026     0.001959     0.044625      0.40242
L2-3_CUX2_dev-fetal       SET    1139     0.038443     0.007234      0.04107      0.17463
L3_CUX2_PRSS12            SET     981     0.068661     0.012022      0.04426      0.06042
L4_RORB_dev-1             SET    1080     0.055173      0.01012     0.041421     0.091436
L4_RORB_dev-2             SET     938     0.090597     0.015523     0.044686     0.021317
L4_RORB_dev-fetal         SET    1279     0.065775     0.013085     0.038597     0.044186
L4_RORB_LRRK1             SET     943      0.10604     0.018216     0.046313     0.011026
L4_RORB_MET               SET    1067      0.10755     0.019613     0.043158     0.006353
L4_RORB_MME               SET    1101     0.064324     0.011908     0.042498     0.065074
L5-6_THEMIS_CNR1          SET     839      0.10575     0.017165     0.048592     0.014772
L5-6_THEMIS_dev-1         SET    1304     0.065521     0.013156     0.038319     0.043649
L5-6_THEMIS_dev-2         SET     993     0.092304     0.016258     0.044802     0.019693
L5-6_THEMIS_NTNG2         SET     765      0.10578     0.016414     0.050071     0.017327
L5-6_TLE4_dev             SET    1315     0.068925     0.013895      0.03874     0.037611
L5-6_TLE4_HTR2C           SET     989     0.042891    0.0075396     0.044056      0.16515
L5-6_TLE4_SCUBE1          SET    1046     0.078713     0.014216     0.042684     0.032593
L5-6_TLE4_SORCS1          SET    1037     0.059417     0.010687     0.043249     0.084751
LAMP5_CCK                 SET    1004    -0.013383   -0.0023697      0.04436      0.61856
LAMP5_NDNF                SET    1087     0.084424     0.015533     0.042134     0.022556
LAMP5_NOS1                SET    1009      0.10531     0.018692     0.044701    0.0092427
MGE_dev-1                 SET    1081      0.11165     0.020488     0.043324    0.0049839
MGE_dev-2                 SET    1138      0.11826     0.022244     0.040824    0.0018863
Micro                     SET     613    -0.042481   -0.0059158     0.055987        0.776
Micro_out                 SET     457    -0.020941   -0.0025244     0.065197      0.62597
Oligo_mat                 SET     715      0.16043     0.024089     0.052455    0.0011135
Oligo-1                   SET     700      0.16629      0.02471     0.052082   0.00070547
Oligo-2                   SET     731      0.14905     0.022622     0.051916    0.0020482
Oligo-3                   SET     575      0.12831     0.017317     0.057144     0.012375
Oligo-4                   SET     614     0.084713     0.011806     0.055049     0.061926
Oligo-5                   SET     682     0.091648     0.013447     0.052833     0.041405
OPC                       SET     912      0.10332     0.017464     0.046781     0.013604
OPC_dev                   SET     999      0.12521     0.022118     0.043731    0.0020982
OPC_MBP                   SET     835      0.10488     0.016984     0.047727     0.013995
PN_dev                    SET    1406     0.081361     0.016934     0.037447     0.014906
PV_dev                    SET     955     0.045057    0.0077875     0.045497      0.16101
PV_SCUBE3                 SET    1017     0.027509    0.0049014      0.04404      0.26611
PV_SCUBE3_dev             SET     906   -0.0027055  -0.00045583     0.045677      0.52362
PV_SST                    SET    1018     0.012015    0.0021417     0.043387      0.39092
PV_SULF1                  SET     997     0.060435     0.010665       0.0438     0.083833
PV_SULF1_dev              SET     937     0.074822     0.012813     0.045832     0.051291
PV_WFDC2                  SET    1064     0.044211    0.0080509     0.043448      0.15445
SST_ADGRG6                SET     939     0.038733      0.00664     0.045448      0.19704
SST_ADGRG6_dev            SET    1045     0.054703    0.0098753     0.043077      0.10207
SST_B3GAT2                SET     962    0.0021009    0.0003644     0.045109      0.48143
SST_BRINP3                SET     926      0.07856     0.013377     0.045425     0.041872
SST_CALB1                 SET     960     0.088675     0.015365      0.04501     0.024418
SST_CALB1_dev             SET     987     0.069237     0.012159     0.045914     0.065787
SST_NPY                   SET     828     0.049966    0.0080582     0.047576      0.14681
SST_STK32A                SET     950     0.067379     0.011616     0.045776     0.070526
SST_TH                    SET     856     0.092197     0.015111     0.047271      0.02557
Vas_CLDN5                 SET     385    -0.044639    -0.004945     0.071435      0.73397
Vas_PDGFRB                SET     460  -0.00041762  -5.0507e-05      0.06487      0.50257
Vas_TBX18                 SET     663     0.041812    0.0060505     0.054602      0.22191
VIP_ABI3BP                SET    1039    0.0087343    0.0015724     0.042732      0.41902
VIP_ADAMTSL1              SET    1092     0.063006     0.011618     0.041819      0.06596
VIP_CHRM2                 SET    1169     0.075794     0.014442     0.041986     0.035529
VIP_CRH                   SET    1144     0.024276    0.0045777     0.041314       0.2784
VIP_dev                   SET     976     0.051366    0.0089719      0.04414      0.12228
VIP_DPP6                  SET    1134      0.01757    0.0032993     0.041583      0.33632
VIP_HS3ST3A1              SET    1081   -0.0014783  -0.00027126     0.043887      0.51344
VIP_KIRREL3               SET    1099    -0.030361   -0.0056158     0.042809       0.7609
VIP_PCDH20                SET     875     0.031821    0.0052715     0.046423      0.24653
