# MEAN_SAMPLE_SIZE = 13971
# TOTAL_GENES = 32253
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     857     0.089548     0.014402     0.034613     0.004842
Astro_dev-2               SET     945     0.097718      0.01648     0.032612    0.0013676
Astro_dev-3               SET     633     0.073196     0.010153     0.039327     0.031361
Astro_dev-4               SET     897      0.11244     0.018489     0.033064   0.00033667
Astro_dev-5               SET     385     0.089924    0.0097661     0.048411     0.031626
Astro_GFAP                SET     835       0.0857      0.01361     0.035189    0.0074406
Astro_SLC1A2              SET     922     0.079868      0.01331     0.033052      0.00784
Astro_SLC1A2_dev          SET     842      0.12049     0.019212     0.035422   0.00033567
BKGR_NRGN                 SET     557     0.078614     0.010242     0.041694     0.029686
CCK_RELN                  SET    1048      0.02326    0.0041242     0.031349      0.22906
CCK_SORCS1                SET    1136    -0.018585    -0.003426     0.029852      0.73322
CCK_SYT6                  SET     916     0.024789    0.0041178     0.032975       0.2261
CGE_dev                   SET    1203     0.031528    0.0059744     0.028946      0.13804
ID2_CSMD1                 SET    1107     0.032838    0.0059784     0.030837      0.14347
ID2_dev                   SET     986     0.021424    0.0036882     0.030869      0.24384
L2_CUX2_LAMP5             SET    1038     0.016216     0.002862     0.031759      0.30482
L2_CUX2_LAMP5_dev         SET    1054     0.019261    0.0034246     0.031516      0.27055
L2-3_CUX2_dev-1           SET    1033       0.0787     0.013857     0.031904    0.0068203
L2-3_CUX2_dev-2           SET    1082    0.0060482    0.0010891     0.030491      0.42138
L2-3_CUX2_dev-3           SET    1055     0.032418    0.0057665     0.031152      0.14903
L2-3_CUX2_dev-4           SET    1166     0.047586    0.0088828     0.028793     0.049203
L2-3_CUX2_dev-5           SET     918      0.07677     0.012766     0.032614     0.009293
L2-3_CUX2_dev-6           SET    1031    0.0078321    0.0013778     0.031317      0.40126
L2-3_CUX2_dev-fetal       SET    1149     0.044654    0.0082769     0.029011     0.061879
L3_CUX2_PRSS12            SET     996     0.063233     0.010939      0.03226     0.024998
L4_RORB_dev-1             SET    1093      0.05734     0.010375     0.030224      0.02891
L4_RORB_dev-2             SET     948      0.05059    0.0085449     0.032843     0.061744
L4_RORB_dev-fetal         SET    1294     0.050724    0.0099543     0.027722     0.033651
L4_RORB_LRRK1             SET     960     0.071403     0.012134     0.032956     0.015136
L4_RORB_MET               SET    1084     0.046389    0.0083604     0.031096      0.06788
L4_RORB_MME               SET    1117     0.069814     0.012765     0.030488     0.011018
L5-6_THEMIS_CNR1          SET     858     0.070007     0.011266     0.034712     0.021863
L5-6_THEMIS_dev-1         SET    1323       0.1023      0.02029     0.027945   0.00012608
L5-6_THEMIS_dev-2         SET    1008     0.030314    0.0052747     0.031945      0.17133
L5-6_THEMIS_NTNG2         SET     784     0.043118    0.0066404     0.035963      0.11528
L5-6_TLE4_dev             SET    1341     0.065304     0.013036     0.027016     0.007823
L5-6_TLE4_HTR2C           SET    1001    0.0039673     0.000688     0.031516      0.44991
L5-6_TLE4_SCUBE1          SET    1059     0.024951    0.0044463     0.030765      0.20869
L5-6_TLE4_SORCS1          SET    1060     0.030264    0.0053956     0.031012      0.16457
LAMP5_CCK                 SET    1024     0.042382     0.007431     0.031155     0.086867
LAMP5_NDNF                SET    1103       0.0606     0.011014     0.029836     0.021127
