# TOTAL_GENES = 30982
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     848      0.14097     0.023001     0.061776     0.011252
Astro_dev-2               SET     929     0.036661    0.0062525      0.05889       0.2668
Astro_dev-3               SET     626      0.13621     0.019165     0.070516     0.026714
Astro_dev-4               SET     887      0.13115     0.021871     0.058352     0.012308
Astro_dev-5               SET     378      0.13418     0.014731     0.090418     0.068906
Astro_GFAP                SET     829      0.12364     0.019952     0.062404      0.02379
Astro_SLC1A2              SET     911      0.17521       0.0296     0.058528    0.0013799
Astro_SLC1A2_dev          SET     830      0.14301     0.023091     0.061995     0.010539
BKGR_NRGN                 SET     548    -0.037302    -0.004917     0.073568      0.69394
CCK_RELN                  SET    1025     0.038017    0.0067997     0.055136      0.24525
CCK_SORCS1                SET    1120    -0.048227   -0.0090023     0.054213      0.81315
CCK_SYT6                  SET     901     0.036022     0.006053      0.05905      0.27093
CGE_dev                   SET    1182     0.065722      0.01259     0.051496      0.10094
ID2_CSMD1                 SET    1095     0.020484    0.0037823     0.054292      0.35298
ID2_dev                   SET     971    -0.021196   -0.0036931     0.054771      0.65061
L2_CUX2_LAMP5             SET    1019    -0.053382   -0.0095208     0.055113      0.83362
L2_CUX2_LAMP5_dev         SET    1037     -0.15002    -0.026983     0.055237      0.99669
L2-3_CUX2_dev-1           SET    1014    -0.088295     -0.01571     0.056272      0.94168
L2-3_CUX2_dev-2           SET    1070   -0.0028363  -0.00051793     0.054085      0.52091
L2-3_CUX2_dev-3           SET    1044    -0.030579    -0.005518     0.054566      0.71239
L2-3_CUX2_dev-4           SET    1147      0.13902      0.02625      0.05294    0.0043221
L2-3_CUX2_dev-5           SET     905     0.033392    0.0056231     0.058047      0.28256
L2-3_CUX2_dev-6           SET    1011    -0.007763   -0.0013793     0.056576      0.55457
L2-3_CUX2_dev-fetal       SET    1139     0.012709    0.0023916     0.052088      0.40362
L3_CUX2_PRSS12            SET     981    -0.058023     -0.01016     0.056422      0.84811
L4_RORB_dev-1             SET    1080     0.034414    0.0063125     0.052366      0.25553
L4_RORB_dev-2             SET     938     0.071292     0.012216     0.056619      0.10399
L4_RORB_dev-fetal         SET    1279     0.044627    0.0088783     0.048812      0.18029
L4_RORB_LRRK1             SET     943     0.051806    0.0088997     0.058719      0.18882
L4_RORB_MET               SET    1067    -0.067767    -0.012358      0.05438      0.89364
L4_RORB_MME               SET    1101    -0.088212    -0.016331     0.053738      0.94965
L5-6_THEMIS_CNR1          SET     839   -0.0009039  -0.00014672     0.061578      0.50586
L5-6_THEMIS_dev-1         SET    1304       0.0815     0.016365     0.048703     0.047132
L5-6_THEMIS_dev-2         SET     993    -0.019943   -0.0035126     0.057019      0.63674
L5-6_THEMIS_NTNG2         SET     765    -0.015588    -0.002419     0.063519      0.59693
L5-6_TLE4_dev             SET    1315     0.015789    0.0031831     0.049108      0.37391
L5-6_TLE4_HTR2C           SET     989     0.049917    0.0087752     0.055727       0.1852
L5-6_TLE4_SCUBE1          SET    1046    -0.052359   -0.0094571     0.054412      0.83204
L5-6_TLE4_SORCS1          SET    1037    -0.024179    -0.004349     0.054943      0.67006
LAMP5_CCK                 SET    1004    -0.013092   -0.0023183     0.056474      0.59166
LAMP5_NDNF                SET    1087   -0.0072777   -0.0013391     0.053473      0.55413
LAMP5_NOS1                SET    1009     0.035957    0.0063825     0.056595      0.26261
