# MEAN_SAMPLE_SIZE = 64390
# TOTAL_GENES = 31656
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     856     0.053088    0.0086111     0.032401      0.05067
Astro_dev-2               SET     941     0.031832    0.0054061     0.030815      0.15081
Astro_dev-3               SET     629     0.018693    0.0026087     0.036675      0.30513
Astro_dev-4               SET     894     0.032104    0.0053185     0.030886      0.14931
Astro_dev-5               SET     382     0.088577    0.0096716      0.04553     0.025864
Astro_GFAP                SET     834    -0.026787   -0.0042903     0.032718      0.79352
Astro_SLC1A2              SET     918    0.0056577   0.00094941     0.031127      0.42788
Astro_SLC1A2_dev          SET     838    0.0044181   0.00070927       0.0325      0.44593
BKGR_NRGN                 SET     554     0.022352     0.002931     0.038619      0.28137
CCK_RELN                  SET    1038     0.010652     0.001897     0.028475      0.35417
CCK_SORCS1                SET    1131     0.020109    0.0037325     0.027894      0.23549
CCK_SYT6                  SET     907     0.019506    0.0032541     0.030946      0.26424
CGE_dev                   SET    1197     0.050002    0.0095376      0.02669     0.030511
ID2_CSMD1                 SET    1101    -0.048507   -0.0088876     0.028692      0.95453
ID2_dev                   SET     980     0.064102     0.011103     0.029201      0.01408
L2_CUX2_LAMP5             SET    1031    -0.045497   -0.0080762     0.029906       0.9359
L2_CUX2_LAMP5_dev         SET    1044    -0.010184   -0.0018188     0.029405      0.63546
L2-3_CUX2_dev-1           SET    1025   -0.0016886   -0.0002989     0.030123      0.52235
L2-3_CUX2_dev-2           SET    1075   -0.0078389   -0.0014198     0.029127      0.60608
L2-3_CUX2_dev-3           SET    1053     0.065676     0.011777      0.02988     0.013981
L2-3_CUX2_dev-4           SET    1157     0.065298     0.012253      0.02737    0.0085271
L2-3_CUX2_dev-5           SET     914     0.033312    0.0055782     0.030825      0.13992
L2-3_CUX2_dev-6           SET    1022     0.001757   0.00031057      0.02995      0.47661
L2-3_CUX2_dev-fetal       SET    1144     0.068161     0.012721     0.027283    0.0062427
L3_CUX2_PRSS12            SET     992    -0.047184   -0.0082209     0.030666      0.93805
L4_RORB_dev-1             SET    1088     0.037334    0.0068015     0.028506     0.095153
L4_RORB_dev-2             SET     943     0.084598     0.014382     0.031351    0.0034857
L4_RORB_dev-fetal         SET    1286     0.060503     0.011945     0.026118      0.01027
L4_RORB_LRRK1             SET     952     0.040962     0.006996     0.031821     0.099009
L4_RORB_MET               SET    1078     0.056849     0.010311     0.029725      0.02791
L4_RORB_MME               SET    1112     0.044947    0.0082749      0.02859      0.05797
L5-6_THEMIS_CNR1          SET     851    -0.054154   -0.0087591     0.032814      0.95055
L5-6_THEMIS_dev-1         SET    1315     0.045135    0.0090062     0.026305     0.043101
L5-6_THEMIS_dev-2         SET    1003     0.031197    0.0054645     0.030338       0.1519
L5-6_THEMIS_NTNG2         SET     776    -0.019659     -0.00304     0.033299      0.72253
L5-6_TLE4_dev             SET    1331     0.047205    0.0094738     0.025832     0.033827
L5-6_TLE4_HTR2C           SET     996    0.0066286    0.0011571     0.030072      0.41277
L5-6_TLE4_SCUBE1          SET    1054      0.02215    0.0039738     0.029519      0.22652
L5-6_TLE4_SORCS1          SET    1051    -0.011263    -0.002018     0.029622      0.64812
LAMP5_CCK                 SET    1015     0.020182    0.0035556     0.029127      0.24419
LAMP5_NDNF                SET    1096     0.024973    0.0045657     0.027886      0.18525
LAMP5_NOS1                SET    1016   0.00011465   2.0208e-05     0.029909      0.49847
MGE_dev-1                 SET    1092     0.022552    0.0041157     0.028001       0.2103
MGE_dev-2                 SET    1153     0.014863    0.0027844     0.027116      0.29181
Micro                     SET     625    -0.035044   -0.0048754     0.037054      0.82786
Micro_out                 SET     464   -0.0012645  -0.00015196      0.04274       0.5118
Oligo_mat                 SET     721    0.0001225   1.8276e-05     0.034733      0.49859
Oligo-1                   SET     709   -0.0075679   -0.0011198     0.035053      0.58547
Oligo-2                   SET     737     0.004058   0.00061194     0.034584       0.4533
Oligo-3                   SET     577    -0.021153   -0.0028298     0.037335       0.7145
Oligo-4                   SET     619    -0.023177   -0.0032092     0.037217      0.73327
Oligo-5                   SET     686   -0.0021181  -0.00030841     0.034772      0.52429
OPC                       SET     923      0.09039     0.015208      0.03224    0.0025282
OPC_dev                   SET    1009     0.077819      0.01367     0.029975    0.0047169
OPC_MBP                   SET     839      0.03253    0.0052253     0.032676      0.15975
PN_dev                    SET    1421     0.063988      0.01325     0.025238    0.0056187
PV_dev                    SET     973    -0.055852   -0.0096404     0.029474      0.97094
PV_SCUBE3                 SET    1023   -0.0071458   -0.0012637     0.029353      0.59617
PV_SCUBE3_dev             SET     914    0.0051675   0.00086531     0.030376      0.43246
PV_SST                    SET    1029   -0.0057385   -0.0010177     0.028161      0.58073
PV_SULF1                  SET    1005     0.050282    0.0088159     0.029327     0.043224
PV_SULF1_dev              SET     947     0.033355    0.0056822      0.03025      0.13509
PV_WFDC2                  SET    1074    -0.019592    -0.003547      0.02813      0.75693
SST_ADGRG6                SET     949    -0.045557   -0.0077689     0.030054      0.93521
SST_ADGRG6_dev            SET    1053     0.012567    0.0022536     0.028903      0.33185
SST_B3GAT2                SET     975   0.00098631   0.00017041     0.030105      0.48693
SST_BRINP3                SET     942    -0.055667   -0.0094589     0.030385      0.96652
SST_CALB1                 SET     966    -0.028276   -0.0048637      0.02941      0.83183
SST_CALB1_dev             SET     995    -0.035891   -0.0062623     0.030261      0.88219
SST_NPY                   SET     835    -0.027222   -0.0043626     0.032791      0.79678
SST_STK32A                SET     961    0.0085647    0.0014695     0.030474      0.38934
SST_TH                    SET     862    0.0027485   0.00044733     0.031406      0.46513
Vas_CLDN5                 SET     391    -0.024382    -0.002693     0.045419      0.70431
Vas_PDGFRB                SET     464     0.026914    0.0032346      0.04179      0.25978
Vas_TBX18                 SET     670    -0.017912   -0.0025782     0.036701      0.68724
VIP_ABI3BP                SET    1047   -0.0062582   -0.0011192     0.028799      0.58601
VIP_ADAMTSL1              SET    1099     0.010533    0.0019282     0.027934      0.35307
VIP_CHRM2                 SET    1174   -0.0087632    -0.001656     0.028047      0.62265
VIP_CRH                   SET    1152     0.026245    0.0049147     0.028222       0.1762
VIP_dev                   SET     986     0.072032     0.012513     0.029184    0.0067935
VIP_DPP6                  SET    1140   -0.0037235  -0.00069377     0.027734       0.5534
VIP_HS3ST3A1              SET    1088    -0.023425   -0.0042675      0.02936      0.78752
VIP_KIRREL3               SET    1108    0.0015675   0.00028808     0.027895      0.47759
VIP_PCDH20                SET     882     0.045465    0.0074826     0.030729     0.069506
