# TOTAL_GENES = 18660
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1445   -0.0026445  -0.00070686     0.027878      0.53779
Astro_dev-2               SET    1271     0.047971     0.012086     0.029856     0.054067
Astro_dev-3               SET    1223    -0.044758    -0.011077     0.029112       0.9379
Astro_dev-4               SET    1073       -0.137    -0.031894     0.032342      0.99999
Astro_dev-5               SET     821    -0.039732    -0.008149      0.03665      0.86083
Astro_GFAP                SET    1406    -0.022429   -0.0059202     0.028378      0.78533
Astro_SLC1A2              SET    1402    -0.025482   -0.0067176     0.028286      0.81617
Astro_SLC1A2_dev          SET    1395    0.0048128    0.0012658      0.02842      0.43276
BKGR_NRGN                 SET    1518    -0.065218    -0.017829     0.027386      0.99137
CCK_RELN                  SET     942     0.035357    0.0077412     0.033688      0.14698
CCK_SORCS1                SET     965     0.069821     0.015462     0.033507     0.018598
CCK_SYT6                  SET     889     -0.03142   -0.0066929     0.035328      0.81309
CGE_dev                   SET     807     0.075708       0.0154      0.03643     0.018856
ID2_CSMD1                 SET     948    -0.011173   -0.0024536     0.033661      0.63003
ID2_dev                   SET     897     0.071047     0.015198     0.035246     0.021923
L2_CUX2_LAMP5             SET    1264     -0.00798   -0.0020054     0.029339      0.60718
L2_CUX2_LAMP5_dev         SET    1131      0.01293    0.0030853     0.030626      0.33645
L2-3_CUX2_dev-1           SET    1260     0.034067    0.0085485     0.029771      0.12626
L2-3_CUX2_dev-2           SET    1221   -0.0063125    -0.001561     0.029629      0.58435
L2-3_CUX2_dev-3           SET    1237    -0.016321   -0.0040606     0.030115      0.70607
L2-3_CUX2_dev-4           SET     994     0.068106     0.015295     0.032154      0.01709
L2-3_CUX2_dev-5           SET    1257     0.021268     0.005331     0.028983      0.23154
L2-3_CUX2_dev-6           SET    1081     0.047605     0.011122      0.03175     0.066897
L2-3_CUX2_dev-fetal       SET     997     0.032046     0.007207     0.032682      0.16341
L3_CUX2_PRSS12            SET    1197     0.035387    0.0086705     0.030242      0.12098
L4_RORB_dev-1             SET     867    -0.043039   -0.0090593     0.034534      0.89366
L4_RORB_dev-2             SET    1338     0.063978     0.016507     0.029249     0.014366
L4_RORB_dev-fetal         SET    1015     0.043589     0.009886     0.033134     0.094177
L4_RORB_LRRK1             SET    1310     0.051321     0.013112     0.029102     0.038918
L4_RORB_MET               SET    1177      0.02856    0.0069431     0.030194      0.17211
L4_RORB_MME               SET    1036     0.016664    0.0038161     0.032442      0.30375
L5-6_THEMIS_CNR1          SET    1243     0.027041    0.0067428     0.029187      0.17711
L5-6_THEMIS_dev-1         SET     995     0.062515     0.014046     0.033088     0.029434
L5-6_THEMIS_dev-2         SET    1250     0.057423     0.014356     0.029627     0.026312
L5-6_THEMIS_NTNG2         SET    1118     0.018809    0.0044639     0.030658      0.26978
L5-6_TLE4_dev             SET     969     0.026281    0.0058316     0.033583      0.21695
L5-6_TLE4_HTR2C           SET    1124     0.027659    0.0065809     0.030895      0.18533
L5-6_TLE4_SCUBE1          SET    1221     0.019574    0.0048405     0.030022      0.25722
L5-6_TLE4_SORCS1          SET    1178     0.029205    0.0071028     0.030084      0.16584
LAMP5_CCK                 SET    1121    -0.056351    -0.013391     0.032053      0.96062
LAMP5_NDNF                SET    1012    -0.026663   -0.0060387     0.033055      0.79005
LAMP5_NOS1                SET    1052     0.023659    0.0054571     0.032556       0.2337
MGE_dev-1                 SET     890     0.087211     0.018587     0.034125    0.0053046
MGE_dev-2                 SET     777     0.026918    0.0053773     0.036616      0.23114
Micro                     SET    1578    -0.049531    -0.013782     0.026946      0.96697
Micro_out                 SET    1308    -0.092859    -0.023709     0.029102      0.99929
Oligo_mat                 SET    1529    0.0055397    0.0015194     0.027012      0.41876
Oligo-1                   SET    1508    -0.015061   -0.0041049     0.027249      0.70976
Oligo-2                   SET    1495     0.012791    0.0034727     0.027128      0.31864
Oligo-3                   SET    1573     0.013328     0.003703     0.026799      0.30948
Oligo-4                   SET    1366    -0.038212   -0.0099534     0.028321      0.91136
Oligo-5                   SET    1197    -0.047973    -0.011754     0.030069      0.94468
OPC                       SET    1412    0.0048997    0.0012958     0.028192      0.43101
OPC_dev                   SET    1082     0.040194    0.0093941     0.031654      0.10209
OPC_MBP                   SET    1195     0.056083     0.013731     0.030718     0.033955
PN_dev                    SET     881     0.071502     0.015166     0.034443     0.018957
PV_dev                    SET    1093    -0.013589   -0.0031912     0.032467      0.66223
PV_SCUBE3                 SET    1000     0.018072    0.0040701     0.032162      0.28709
PV_SCUBE3_dev             SET     873    -0.034121   -0.0072058     0.034903      0.83586
PV_SST                    SET     883    -0.040753   -0.0086531     0.034404      0.88189
PV_SULF1                  SET    1035    -0.014682   -0.0033605     0.032439      0.67457
PV_SULF1_dev              SET     925    -0.036246   -0.0078677     0.034166      0.85562
PV_WFDC2                  SET    1126    -0.011067   -0.0026354     0.031057      0.63921
SST_ADGRG6                SET    1162     0.020035    0.0048416     0.030474      0.25545
SST_ADGRG6_dev            SET     989    -0.037447   -0.0083896     0.033037      0.87148
SST_B3GAT2                SET    1104     0.026516    0.0062561     0.031557      0.20039
SST_BRINP3                SET     959    -0.058056    -0.012819     0.033463      0.95861
SST_CALB1                 SET    1081     0.024054    0.0056194     0.031736      0.22425
SST_CALB1_dev             SET    1166     0.024369    0.0058984     0.030508      0.21222
SST_NPY                   SET     771    -0.026284   -0.0052313     0.036153      0.76638
SST_STK32A                SET    1089    -0.010446   -0.0024488     0.032379       0.6265
SST_TH                    SET     967     0.020679     0.004584     0.033425      0.26807
Vas_CLDN5                 SET    1152    -0.027907   -0.0067167     0.031129        0.815
Vas_PDGFRB                SET    1091    -0.042204   -0.0099023     0.031973      0.90657
Vas_TBX18                 SET    1241    -0.066656    -0.016609     0.029984      0.98689
VIP_ABI3BP                SET    1023    -0.036996   -0.0084217     0.032644      0.87145
VIP_ADAMTSL1              SET     945    -0.027519   -0.0060341     0.033795      0.79225
VIP_CHRM2                 SET     995     0.032784     0.007366     0.033035      0.16051
VIP_CRH                   SET     955    0.0040426   0.00089085     0.033417      0.45186
VIP_dev                   SET     676     0.037962    0.0070936     0.040666      0.17529
VIP_DPP6                  SET     861    0.0064272    0.0013484     0.035255      0.42767
VIP_HS3ST3A1              SET    1076    -0.059332    -0.013831     0.032301      0.96687
VIP_KIRREL3               SET     948    -0.012055   -0.0026472     0.034213      0.63771
VIP_PCDH20                SET     786  -0.00038966  -7.8273e-05     0.035645      0.50436
