# TOTAL_GENES = 18583
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1447     0.098974     0.026522     0.050774      0.02564
Astro_dev-2               SET    1272      0.14687     0.037087     0.054549    0.0035518
Astro_dev-3               SET    1219      0.21038     0.052086     0.053579   4.3302e-05
Astro_dev-4               SET    1072     0.030818    0.0071853     0.058559      0.29936
Astro_dev-5               SET     818     0.073909     0.015162      0.06542       0.1293
Astro_GFAP                SET    1408       0.1224     0.032392     0.051579    0.0088265
Astro_SLC1A2              SET    1404      0.10948     0.028933     0.051589     0.016924
Astro_SLC1A2_dev          SET    1396      0.11071     0.029182     0.051913     0.016488
BKGR_NRGN                 SET    1514    -0.080236     -0.02195     0.049779      0.94649
CCK_RELN                  SET     937     -0.19754    -0.043226     0.061677      0.99932
CCK_SORCS1                SET     958     -0.20451    -0.045222     0.061046      0.99959
CCK_SYT6                  SET     889     -0.20471    -0.043691     0.062642      0.99946
CGE_dev                   SET     804    -0.027703   -0.0056363      0.06606      0.66252
ID2_CSMD1                 SET     936     -0.29488    -0.064493     0.060758            1
ID2_dev                   SET     892    -0.041315   -0.0088321     0.063335       0.7429
L2_CUX2_LAMP5             SET    1265     -0.10059    -0.025337     0.053422      0.97014
L2_CUX2_LAMP5_dev         SET    1130     -0.15329    -0.036634     0.055777        0.997
L2-3_CUX2_dev-1           SET    1260    -0.089067    -0.022393     0.053623      0.95163
L2-3_CUX2_dev-2           SET    1219    -0.035847   -0.0088752     0.053838      0.74724
L2-3_CUX2_dev-3           SET    1232    -0.082028    -0.020409     0.053802      0.93631
L2-3_CUX2_dev-4           SET     991    -0.033638   -0.0075582     0.058775      0.71644
L2-3_CUX2_dev-5           SET    1255   -0.0004971  -0.00012475     0.053181      0.50373
L2-3_CUX2_dev-6           SET    1071   -0.0065879   -0.0015353     0.058789      0.54461
L2-3_CUX2_dev-fetal       SET     990    -0.071593    -0.016079      0.05903      0.88739
L3_CUX2_PRSS12            SET    1196    -0.067841    -0.016648     0.054922      0.89161
L4_RORB_dev-1             SET     862     -0.12525    -0.026343      0.06265      0.97719
L4_RORB_dev-2             SET    1333    -0.063422    -0.016366     0.052473      0.88659
L4_RORB_dev-fetal         SET    1011    -0.066082    -0.014989     0.059833      0.86529
L4_RORB_LRRK1             SET    1314    -0.065809     -0.01687     0.053156      0.89214
L4_RORB_MET               SET    1174    -0.052902     -0.01287     0.055534      0.82959
L4_RORB_MME               SET    1032    -0.073859    -0.016916     0.058489      0.89666
L5-6_THEMIS_CNR1          SET    1245     -0.02696   -0.0067405     0.053521      0.69277
L5-6_THEMIS_dev-1         SET     989     -0.12833    -0.028807     0.059879      0.98394
L5-6_THEMIS_dev-2         SET    1250     -0.13807    -0.034586     0.053703      0.99493
L5-6_THEMIS_NTNG2         SET    1119    -0.074454    -0.017712     0.055619      0.90964
L5-6_TLE4_dev             SET     963    -0.097371    -0.021584     0.059844      0.94813
L5-6_TLE4_HTR2C           SET    1118    -0.094329    -0.022431     0.056007      0.95392
L5-6_TLE4_SCUBE1          SET    1217    -0.073247    -0.018121     0.054483      0.91058
L5-6_TLE4_SORCS1          SET    1180    -0.046594    -0.011363      0.05469      0.80288
LAMP5_CCK                 SET    1116     -0.19533    -0.046411     0.056909       0.9997
LAMP5_NDNF                SET    1006     -0.16302    -0.036891     0.059991      0.99671
LAMP5_NOS1                SET    1052     -0.13944    -0.032226     0.059132      0.99081
MGE_dev-1                 SET     887    0.0070668    0.0015067     0.062769      0.45518
MGE_dev-2                 SET     771    -0.025402   -0.0050657     0.065218      0.65154
Micro                     SET    1575     0.062149      0.01731     0.049348      0.10395
Micro_out                 SET    1307    -0.027055   -0.0069184     0.053235      0.69435
Oligo_mat                 SET    1519      0.16333     0.044749     0.049562    0.0004925
Oligo-1                   SET    1497      0.18312     0.049838      0.04912   9.6895e-05
Oligo-2                   SET    1485      0.13365     0.036242     0.049255    0.0033332
Oligo-3                   SET    1562      0.20274     0.056257     0.047775   1.1068e-05
Oligo-4                   SET    1356       0.1498     0.038961     0.050506    0.0015115
Oligo-5                   SET    1187      0.11777       0.0288     0.053749     0.014229
OPC                       SET    1408     0.093697     0.024796     0.050688     0.032274
OPC_dev                   SET    1079      0.13278     0.031053     0.057761     0.010767
OPC_MBP                   SET    1194      0.11122     0.027273     0.055458     0.022463
PN_dev                    SET     874     -0.13874    -0.029373     0.064794      0.98386
PV_dev                    SET    1086     -0.17427    -0.040881     0.058659      0.99851
PV_SCUBE3                 SET     997    -0.092503    -0.020844     0.057988      0.94465
PV_SCUBE3_dev             SET     871    -0.051206    -0.010823     0.063193      0.79111
PV_SST                    SET     879     -0.13739    -0.029166     0.061942      0.98671
PV_SULF1                  SET    1030     -0.19086    -0.043672     0.059544      0.99932
