# MEAN_SAMPLE_SIZE = 13485
# TOTAL_GENES = 18758
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1453     0.035716    0.0095479     0.026168     0.086158
Astro_dev-2               SET    1276   -0.0026811  -0.00067509     0.027684      0.53858
Astro_dev-3               SET    1225   -0.0056037   -0.0013845     0.027397      0.58103
Astro_dev-4               SET    1081    0.0039859   0.00092889     0.029362      0.44601
Astro_dev-5               SET     827    0.0019322   0.00039666     0.033295      0.47686
Astro_GFAP                SET    1415    -0.024143   -0.0063762     0.026228      0.82134
Astro_SLC1A2              SET    1411    0.0025207   0.00066484     0.026131      0.46158
Astro_SLC1A2_dev          SET    1405     0.042758     0.011256     0.026254     0.051709
BKGR_NRGN                 SET    1530    -0.027068   -0.0074089     0.025382      0.85688
CCK_RELN                  SET     949    -0.022452   -0.0049208     0.031885      0.75932
CCK_SORCS1                SET     969    0.0026645   0.00058977      0.03152      0.46632
CCK_SYT6                  SET     898    -0.038321   -0.0081817      0.03291      0.87787
CGE_dev                   SET     812    -0.023915    -0.004867     0.032925      0.76619
ID2_CSMD1                 SET     951    -0.011236    -0.002465     0.031554      0.63911
ID2_dev                   SET     902     0.010511    0.0022489     0.032118      0.37174
L2_CUX2_LAMP5             SET    1270    -0.013344   -0.0033526     0.027905      0.68374
L2_CUX2_LAMP5_dev         SET    1136      0.01052    0.0025094     0.029509      0.36073
L2-3_CUX2_dev-1           SET    1267     0.027434     0.006885     0.028092       0.1644
L2-3_CUX2_dev-2           SET    1229     -0.03622   -0.0089624     0.028172      0.90071
L2-3_CUX2_dev-3           SET    1241     0.010867    0.0027012       0.0282      0.34999
L2-3_CUX2_dev-4           SET     999    -0.026813   -0.0060208     0.029536        0.818
L2-3_CUX2_dev-5           SET    1260    -0.020451   -0.0051193     0.027749      0.76943
L2-3_CUX2_dev-6           SET    1082     0.021466    0.0050047     0.029507      0.23347
L2-3_CUX2_dev-fetal       SET     996    0.0019899   0.00044621     0.029857      0.47343
L3_CUX2_PRSS12            SET    1199      0.01731    0.0042343     0.028658      0.27292
L4_RORB_dev-1             SET     873     0.011637    0.0024515      0.03219      0.35886
L4_RORB_dev-2             SET    1344     0.032872    0.0084781     0.026923      0.11106
L4_RORB_dev-fetal         SET    1019     0.025671    0.0058186     0.030707      0.20159
L4_RORB_LRRK1             SET    1319     0.019393    0.0049586     0.027593      0.24109
L4_RORB_MET               SET    1179   -0.0023833  -0.00057843     0.028976      0.53277
L4_RORB_MME               SET    1042    0.0061786    0.0014152     0.030375      0.41941
L5-6_THEMIS_CNR1          SET    1249     0.012406     0.003093     0.027963      0.32864
L5-6_THEMIS_dev-1         SET     998     0.016738    0.0037569     0.030687      0.29272
L5-6_THEMIS_dev-2         SET    1258     0.043135      0.01079     0.028102     0.062406
L5-6_THEMIS_NTNG2         SET    1121     0.038936    0.0092299     0.029139     0.090746
L5-6_TLE4_dev             SET     971     0.027616    0.0061184     0.031192      0.18799
L5-6_TLE4_HTR2C           SET    1129    -0.017538   -0.0041712      0.02876        0.729
L5-6_TLE4_SCUBE1          SET    1225     0.018451    0.0045587     0.028736      0.26041
L5-6_TLE4_SORCS1          SET    1186     0.033458    0.0081428     0.028512      0.12032
LAMP5_CCK                 SET    1132     0.012537    0.0029854     0.029962      0.33782
LAMP5_NDNF                SET    1019    -0.017768   -0.0040272     0.030823      0.71784
LAMP5_NOS1                SET    1064      0.03864    0.0089381     0.030754      0.10449
MGE_dev-1                 SET     893     0.049297     0.010497     0.031106     0.056515
MGE_dev-2                 SET     782     0.025863    0.0051695     0.033621      0.22088
Micro                     SET    1583    0.0027642   0.00076839     0.025242       0.4564
Micro_out                 SET    1313    -0.018251   -0.0046568     0.027333      0.74784
Oligo_mat                 SET    1531   -0.0050268   -0.0013763     0.025343      0.57861
Oligo-1                   SET    1507   -0.0003803  -0.00010337      0.02572       0.5059
Oligo-2                   SET    1495    0.0031478   0.00085252     0.025438      0.45076
Oligo-3                   SET    1573   -0.0079005   -0.0021899      0.02537      0.62225
Oligo-4                   SET    1367    0.0059856    0.0015559     0.026951      0.41212
Oligo-5                   SET    1198     -0.01952    -0.004773      0.02851      0.75322
OPC                       SET    1417     0.021768    0.0057527     0.026387       0.2047
OPC_dev                   SET    1089     0.040044    0.0093644     0.029698     0.088776
OPC_MBP                   SET    1202   -0.0057267   -0.0014025     0.028177      0.58052
PN_dev                    SET     881    -0.012866   -0.0027221     0.031855      0.65685
PV_dev                    SET    1096     0.011373    0.0026677     0.029702      0.35089
PV_SCUBE3                 SET    1004    -0.044322   -0.0099761     0.030618      0.92612
PV_SCUBE3_dev             SET     880    -0.074185    -0.015687     0.032359      0.98906
PV_SST                    SET     888    -0.054323    -0.011537     0.032774      0.95128
PV_SULF1                  SET    1040     0.011673    0.0026715     0.030439      0.35067
PV_SULF1_dev              SET     934      0.04491    0.0097689      0.03187     0.079402
PV_WFDC2                  SET    1129    -0.010859   -0.0025827     0.029444      0.64386
SST_ADGRG6                SET    1168     0.015811    0.0038207     0.029029      0.29299
SST_ADGRG6_dev            SET     994    -0.018736   -0.0041974     0.030818      0.72839
SST_B3GAT2                SET    1115     0.021346    0.0050475     0.029417      0.23403
SST_BRINP3                SET     967    0.0075107    0.0016608     0.030768      0.40358
SST_CALB1                 SET    1082    -0.018073   -0.0042137     0.029665      0.72881
SST_CALB1_dev             SET    1171    0.0083885    0.0020295      0.02864       0.3848
SST_NPY                   SET     773     -0.03866   -0.0076848     0.033694      0.87438
SST_STK32A                SET    1098    -0.042678    -0.010019     0.029774      0.92412
SST_TH                    SET     974    -0.036894   -0.0081861     0.030665      0.88552
Vas_CLDN5                 SET    1154    -0.079836    -0.019184     0.028718      0.99728
Vas_PDGFRB                SET    1098    -0.022813   -0.0053555     0.029138      0.78315
Vas_TBX18                 SET    1240    -0.041845    -0.010397     0.028059      0.93205
VIP_ABI3BP                SET    1030     0.019181    0.0043697     0.031002      0.26806
VIP_ADAMTSL1              SET     948     0.015909    0.0034851     0.031381      0.30609
VIP_CHRM2                 SET    1000   -0.0099783   -0.0022417     0.031156      0.62562
VIP_CRH                   SET     966    -0.044091   -0.0097449     0.031696      0.91789
VIP_dev                   SET     679   -0.0073024    -0.001364      0.03649      0.57931
VIP_DPP6                  SET     874    -0.010047   -0.0021177     0.033283      0.61862
VIP_HS3ST3A1              SET    1085    -0.049091     -0.01146     0.030235      0.94776
VIP_KIRREL3               SET     952     0.017251    0.0037865     0.031918      0.29444
VIP_PCDH20                SET     790     0.015563    0.0031259     0.034806       0.3274
