# TOTAL_GENES = 49915
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2300     0.015492    0.0032479     0.021468      0.23527
Astro_dev-2               SET    2205     0.041177    0.0084612     0.021787     0.029385
Astro_dev-3               SET    1852    -0.021761   -0.0041133     0.022538      0.83286
Astro_dev-4               SET    1962    -0.043577   -0.0084681     0.022928      0.97132
Astro_dev-5               SET    1198    -0.013924   -0.0021311     0.028634      0.68661
Astro_GFAP                SET    2237    0.0020813   0.00043063     0.021682      0.46176
Astro_SLC1A2              SET    2317    0.0072046    0.0015158     0.021407      0.36823
Astro_SLC1A2_dev          SET    2233    0.0033379   0.00069003     0.022001      0.43971
BKGR_NRGN                 SET    2071    -0.015291   -0.0030494     0.023217      0.74492
CCK_RELN                  SET    1971     0.050908    0.0099145     0.022761     0.012659
CCK_SORCS1                SET    2087     0.047018     0.009411     0.021807     0.015544
CCK_SYT6                  SET    1794     0.019586    0.0036459     0.023568      0.20297
CGE_dev                   SET    1998     0.025922    0.0050815     0.022011      0.11946
ID2_CSMD1                 SET    2046    0.0039639   0.00078591     0.021981      0.42845
ID2_dev                   SET    1874     0.021096    0.0040101     0.023038      0.17992
L2_CUX2_LAMP5             SET    2286     0.034095    0.0071274     0.021182      0.05375
L2_CUX2_LAMP5_dev         SET    2174      0.03094    0.0063149     0.021474     0.074827
L2-3_CUX2_dev-1           SET    2279     0.045275    0.0094509     0.021379     0.017104
L2-3_CUX2_dev-2           SET    2288     0.015805    0.0033055     0.021078      0.22667
L2-3_CUX2_dev-3           SET    2285    0.0070638    0.0014764     0.021146      0.36918
L2-3_CUX2_dev-4           SET    2145     0.037689    0.0076433      0.02149     0.039738
L2-3_CUX2_dev-5           SET    2165     0.044657    0.0090966     0.021512     0.018953
L2-3_CUX2_dev-6           SET    2094     0.050895     0.010203     0.022122     0.010708
L2-3_CUX2_dev-fetal       SET    2136     0.018367    0.0037172     0.021663      0.19827
L3_CUX2_PRSS12            SET    2179      0.02694    0.0055045     0.021551      0.10565
L4_RORB_dev-1             SET    1950    -0.021796    -0.004223     0.022228      0.83659
L4_RORB_dev-2             SET    2276     0.063299     0.013205     0.021147    0.0013811
L4_RORB_dev-fetal         SET    2299     0.015946    0.0033424     0.020792      0.22156
L4_RORB_LRRK1             SET    2254     0.079234     0.016453       0.0211    8.675e-05
L4_RORB_MET               SET    2246     0.051313     0.010637     0.021225    0.0078151
L4_RORB_MME               SET    2144     0.039331    0.0079745     0.021918     0.036371
L5-6_THEMIS_CNR1          SET    2087     0.044955    0.0089981     0.021606     0.018735
L5-6_THEMIS_dev-1         SET    2305    0.0085694    0.0017985     0.020977      0.34145
L5-6_THEMIS_dev-2         SET    2246     0.056115     0.011633     0.021542    0.0045964
L5-6_THEMIS_NTNG2         SET    1887     0.014892    0.0028403     0.023037        0.259
L5-6_TLE4_dev             SET    2294    0.0053656    0.0011235     0.021027      0.39929
L5-6_TLE4_HTR2C           SET    2112   -0.0042994  -0.00086548     0.021428      0.57951
L5-6_TLE4_SCUBE1          SET    2266     0.024696     0.005141     0.021071       0.1206
L5-6_TLE4_SORCS1          SET    2219     0.019563    0.0040322     0.020954      0.17525
LAMP5_CCK                 SET    2131   -0.0064382   -0.0013016     0.021891      0.61566
LAMP5_NDNF                SET    2103     0.010648     0.002139     0.021871      0.31319
LAMP5_NOS1                SET    2067     0.021555    0.0042946     0.022372      0.16766
MGE_dev-1                 SET    1980   -0.0021592  -0.00042142     0.022294      0.53858
MGE_dev-2                 SET    1926     0.014737    0.0028385     0.022475      0.25601
Micro                     SET    2195    -0.022458   -0.0046048     0.021869      0.84777
Micro_out                 SET    1769    -0.045099   -0.0083384     0.023913      0.97034
Oligo_mat                 SET    2247    0.0050305     0.001043     0.021681      0.40826
Oligo-1                   SET    2214   -0.0078976    -0.001626     0.021563      0.64291
Oligo-2                   SET    2229     0.016505    0.0034092     0.021375      0.22001
Oligo-3                   SET    2149    0.0057902    0.0011753     0.021601      0.39433
Oligo-4                   SET    1981     -0.01277    -0.002493     0.022583      0.71412
Oligo-5                   SET    1881    -0.016887   -0.0032158      0.02299      0.76869
OPC                       SET    2326     0.019528    0.0041161     0.021199      0.17849
OPC_dev                   SET    2083     0.047353    0.0094695     0.022283     0.016793
OPC_MBP                   SET    2029     0.041937    0.0082817     0.022744     0.032607
PN_dev                    SET    2296     0.012877    0.0026975     0.020988      0.26976
PV_dev                    SET    2057     0.018042    0.0035863     0.022815      0.21454
PV_SCUBE3                 SET    2017     0.059673     0.011751     0.022275    0.0036953
PV_SCUBE3_dev             SET    1782   -0.0057063   -0.0010588     0.023821      0.59466
PV_SST                    SET    1908   -0.0037512  -0.00071926     0.022509      0.56618
PV_SULF1                  SET    2035    -0.003229  -0.00063857     0.022222      0.55777
PV_SULF1_dev              SET    1865     0.018667    0.0035402     0.023372      0.21224
PV_WFDC2                  SET    2189     0.021266    0.0043547     0.021502      0.16133
SST_ADGRG6                SET    2101     0.032236     0.006473      0.02198     0.071252
SST_ADGRG6_dev            SET    2037    -0.031046   -0.0061425     0.021982      0.92107
SST_B3GAT2                SET    2070     0.041695    0.0083131     0.021895     0.028436
SST_BRINP3                SET    1891    -0.010556   -0.0020154     0.022912       0.6775
SST_CALB1                 SET    2039     0.038899    0.0076997     0.022416     0.041349
SST_CALB1_dev             SET    2158       0.0197    0.0040066     0.021644      0.18137
SST_NPY                   SET    1602    0.0026659   0.00046988     0.024945      0.45744
SST_STK32A                SET    2045     0.025566    0.0050678     0.022662      0.12963
SST_TH                    SET    1816     0.016349    0.0030612     0.023573      0.24398
Vas_CLDN5                 SET    1542    -0.038814   -0.0067159     0.025571      0.93547
Vas_PDGFRB                SET    1553   -0.0075595   -0.0013125     0.025115      0.61829
Vas_TBX18                 SET    1906     -0.03458   -0.0066271      0.02297      0.93389
VIP_ABI3BP                SET    2066     -0.01724   -0.0034342     0.021694       0.7866
VIP_ADAMTSL1              SET    2037    -0.021674   -0.0042882     0.022144      0.83614
VIP_CHRM2                 SET    2165     0.037695    0.0076783     0.021765     0.041652
VIP_CRH                   SET    2098     0.011376    0.0022827     0.021673      0.29984
VIP_dev                   SET    1656    0.0073918    0.0013239     0.024773      0.38271
VIP_DPP6                  SET    1997     0.032059     0.006283     0.021952     0.072095
VIP_HS3ST3A1              SET    2155    -0.035753   -0.0072668     0.021983      0.94806
VIP_KIRREL3               SET    2048     0.014911    0.0029578     0.022124      0.25016
VIP_PCDH20                SET    1663     0.038043    0.0068274     0.023876     0.055541
