# TOTAL_GENES = 31264
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     855     0.083816      0.01367     0.034815    0.0080351
Astro_dev-2               SET     934      0.04627    0.0078772     0.032806     0.079217
Astro_dev-3               SET     629     0.015854    0.0022261     0.037721      0.33713
Astro_dev-4               SET     889     0.038943    0.0064729     0.032322      0.11414
Astro_dev-5               SET     377     0.060443    0.0065973     0.048908      0.10826
Astro_GFAP                SET     831      0.06439     0.010358     0.035551     0.035061
Astro_SLC1A2              SET     915     0.074849     0.012616     0.033694     0.013166
Astro_SLC1A2_dev          SET     838     0.054074    0.0087336     0.035811     0.065532
BKGR_NRGN                 SET     553     0.033277    0.0043865     0.041879      0.21343
CCK_RELN                  SET    1029    0.0019568   0.00034912     0.031001      0.47483
CCK_SORCS1                SET    1122     0.038337    0.0071313     0.029625     0.097821
CCK_SYT6                  SET     905     0.016693    0.0027988     0.032869      0.30578
CGE_dev                   SET    1191     0.015655    0.0029968     0.028608      0.29211
ID2_CSMD1                 SET    1098     0.024968    0.0045963     0.029818       0.2012
ID2_dev                   SET     977     0.015784    0.0027464     0.030893       0.3047
L2_CUX2_LAMP5             SET    1022     0.069681     0.012391     0.031429     0.013313
L2_CUX2_LAMP5_dev         SET    1043     0.048378    0.0086878     0.030765     0.057926
L2-3_CUX2_dev-1           SET    1019     0.087937     0.015615     0.031233    0.0024369
L2-3_CUX2_dev-2           SET    1067     0.018367    0.0033348     0.030123      0.27102
L2-3_CUX2_dev-3           SET    1048     0.021872    0.0039369     0.030507       0.2367
L2-3_CUX2_dev-4           SET    1151     0.068968     0.012987     0.028835    0.0083866
L2-3_CUX2_dev-5           SET     908      0.08004     0.013441     0.032559    0.0069833
L2-3_CUX2_dev-6           SET    1013     0.033303    0.0058969     0.030712       0.1391
L2-3_CUX2_dev-fetal       SET    1139     0.004068   0.00076219     0.028956      0.44414
L3_CUX2_PRSS12            SET     982     0.019514    0.0034037     0.031604      0.26848
L4_RORB_dev-1             SET    1083     -0.01803   -0.0032972     0.029696      0.72812
L4_RORB_dev-2             SET     938     0.070029     0.011947     0.031921     0.014129
