# TOTAL_GENES = 50860
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2314    -0.027181   -0.0056644     0.019682      0.91636
Astro_dev-2               SET    2224    -0.018528   -0.0037888     0.019847      0.82473
Astro_dev-3               SET    1857    -0.014254   -0.0026734     0.020983      0.75153
Astro_dev-4               SET    1975    -0.012277   -0.0023718     0.020975      0.72082
Astro_dev-5               SET    1213    0.0094143    0.0014365     0.026517      0.36128
Astro_GFAP                SET    2256    0.0015651   0.00032223     0.019768      0.46845
Astro_SLC1A2              SET    2336     0.018287    0.0038281     0.019451      0.17358
Astro_SLC1A2_dev          SET    2248    0.0041614   0.00085534     0.019939      0.41734
BKGR_NRGN                 SET    2090       0.0036   0.00071462     0.020464      0.43018
CCK_RELN                  SET    2002   -0.0058527   -0.0011381     0.021117      0.60917
CCK_SORCS1                SET    2110   -0.0021277  -0.00042429     0.019857      0.54266
CCK_SYT6                  SET    1812   -0.0089205   -0.0016535     0.021586      0.66029
CGE_dev                   SET    2012      0.02325     0.004532     0.020605      0.12958
ID2_CSMD1                 SET    2065    -0.010551   -0.0020824      0.02058      0.69591
ID2_dev                   SET    1891     0.019439    0.0036779     0.021178      0.17935
L2_CUX2_LAMP5             SET    2308     0.008486    0.0017663     0.019407      0.33096
L2_CUX2_LAMP5_dev         SET    2189     0.018298    0.0037135     0.019529       0.1744
L2-3_CUX2_dev-1           SET    2302    -0.012394   -0.0025764     0.019408      0.73845
L2-3_CUX2_dev-2           SET    2318    0.0057367    0.0011965     0.019226      0.38271
L2-3_CUX2_dev-3           SET    2299     0.015276    0.0031735      0.01932      0.21458
L2-3_CUX2_dev-4           SET    2159   -0.0058018   -0.0011697     0.019414      0.61747
L2-3_CUX2_dev-5           SET    2182    0.0077022    0.0015608     0.019773      0.34844
L2-3_CUX2_dev-6           SET    2119    -0.021624   -0.0043209      0.02002      0.85995
L2-3_CUX2_dev-fetal       SET    2145     -0.02574   -0.0051734     0.019561      0.90588
L3_CUX2_PRSS12            SET    2197    -0.018673   -0.0037963     0.019924      0.82567
L4_RORB_dev-1             SET    1970    -0.007525    -0.001452     0.020371      0.64408
L4_RORB_dev-2             SET    2296     0.056934     0.011821     0.019405     0.001674
L4_RORB_dev-fetal         SET    2314    0.0068515    0.0014278     0.019179      0.36046
L4_RORB_LRRK1             SET    2278    -0.029445   -0.0060905     0.019621      0.93328
L4_RORB_MET               SET    2262    0.0082625    0.0017033     0.019407      0.33515
L4_RORB_MME               SET    2163     0.006777    0.0013676     0.019937      0.36696
L5-6_THEMIS_CNR1          SET    2108     0.009844    0.0019621     0.019786      0.30942
L5-6_THEMIS_dev-1         SET    2320    0.0063817    0.0013315       0.0192       0.3698
L5-6_THEMIS_dev-2         SET    2269     0.053087      0.01096     0.019549    0.0033093
L5-6_THEMIS_NTNG2         SET    1901     0.032798    0.0062213     0.021061     0.059706
L5-6_TLE4_dev             SET    2311    -0.016961   -0.0035324     0.019194      0.81155
L5-6_TLE4_HTR2C           SET    2142     0.017867    0.0035886     0.019657       0.1817
L5-6_TLE4_SCUBE1          SET    2290    0.0044193   0.00091639     0.019188      0.40892
L5-6_TLE4_SORCS1          SET    2251      0.01588     0.003266     0.019229      0.20446
LAMP5_CCK                 SET    2154    -0.015294   -0.0030801     0.020153      0.77604
LAMP5_NDNF                SET    2126     0.022659    0.0045348     0.020286      0.13201
LAMP5_NOS1                SET    2092      0.02155    0.0042798     0.020451        0.146
MGE_dev-1                 SET    1985    0.0044181   0.00085563     0.020563      0.41494
MGE_dev-2                 SET    1937   -0.0046456  -0.00088918      0.02067      0.58891
Micro                     SET    2223   -0.0025012  -0.00051137     0.019837      0.55017
Micro_out                 SET    1786    0.0025396   0.00046748     0.021408      0.45278
Oligo_mat                 SET    2251     0.005811    0.0011952     0.020072       0.3861
Oligo-1                   SET    2217     0.011543    0.0023569     0.020167      0.28353
Oligo-2                   SET    2236     0.013522    0.0027723     0.019956      0.24902
Oligo-3                   SET    2150     0.021755    0.0043774     0.020153      0.14019
Oligo-4                   SET    1988      0.02803    0.0054323     0.020891     0.089852
Oligo-5                   SET    1884     0.014648    0.0027665     0.021398      0.24682
OPC                       SET    2345     -0.02692   -0.0056456     0.019514      0.91613
OPC_dev                   SET    2101    0.0068058    0.0013544     0.020348      0.36901
OPC_MBP                   SET    2040    0.0030291   0.00059437     0.020654       0.4417
PN_dev                    SET    2310    0.0090743    0.0018895     0.019232      0.31852
PV_dev                    SET    2077    0.0014742   0.00029177     0.020515      0.47136
PV_SCUBE3                 SET    2041     0.019808    0.0038876     0.020446      0.16633
PV_SCUBE3_dev             SET    1805     0.018568    0.0034354     0.021651      0.19555
PV_SST                    SET    1929    -0.028641   -0.0054711     0.020496      0.91885
PV_SULF1                  SET    2061   -0.0037177  -0.00073307     0.020008       0.5737
PV_SULF1_dev              SET    1888    -0.017589   -0.0033253     0.020777      0.80137
