# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18883
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1456   -0.0055748   -0.0014872     0.025842       0.5854
Astro_dev-2               SET    1280    -0.020929   -0.0052612     0.027165      0.77947
Astro_dev-3               SET    1226    -0.018795   -0.0046312     0.026544      0.76055
Astro_dev-4               SET    1081    -0.035351   -0.0082127     0.029076      0.88796
Astro_dev-5               SET     833   -4.676e-05  -9.6024e-06     0.033131      0.50056
Astro_GFAP                SET    1419    0.0049513    0.0013053     0.025551      0.42318
Astro_SLC1A2              SET    1414     0.023262    0.0061228     0.025805      0.18368
Astro_SLC1A2_dev          SET    1405     0.020666    0.0054235     0.026086      0.21413
BKGR_NRGN                 SET    1531    -0.034837   -0.0095092     0.024693      0.92084
CCK_RELN                  SET     956    -0.037783   -0.0082836     0.031417      0.88543
CCK_SORCS1                SET     973    -0.048288    -0.010675     0.030802      0.94151
CCK_SYT6                  SET     902     -0.01071   -0.0022842     0.031255      0.63407
CGE_dev                   SET     814     0.021025    0.0042703     0.032141      0.25651
ID2_CSMD1                 SET     959    -0.074249    -0.016303     0.030707      0.99219
ID2_dev                   SET     908    0.0065058    0.0013919     0.031393      0.41791
L2_CUX2_LAMP5             SET    1275     0.013937    0.0034971     0.026833      0.30175
L2_CUX2_LAMP5_dev         SET    1140   -0.0043452   -0.0010349     0.028041      0.56157
L2-3_CUX2_dev-1           SET    1272    -0.016273   -0.0040789     0.026928      0.72718
L2-3_CUX2_dev-2           SET    1237     -0.02796    -0.006918      0.02747      0.84561
L2-3_CUX2_dev-3           SET    1242    -0.029218   -0.0072429     0.027527      0.85574
L2-3_CUX2_dev-4           SET    1000    0.0081139    0.0018172     0.029094      0.39017
L2-3_CUX2_dev-5           SET    1266   -0.0013998  -0.00035009     0.026783      0.52084
L2-3_CUX2_dev-6           SET    1088     0.007149    0.0016659     0.028879      0.40224
L2-3_CUX2_dev-fetal       SET    1000    -0.011086   -0.0024828     0.030135      0.64352
L3_CUX2_PRSS12            SET    1202    -0.014096   -0.0034415      0.02775      0.69426
L4_RORB_dev-1             SET     881  -0.00084728   -0.0001787     0.031715      0.51066
L4_RORB_dev-2             SET    1352     0.010027    0.0025852     0.026535      0.35276
L4_RORB_dev-fetal         SET    1020    -0.013912   -0.0031448     0.030407      0.67634
L4_RORB_LRRK1             SET    1323   -0.0093734   -0.0023926     0.026448      0.63848
L4_RORB_MET               SET    1181     0.021242    0.0051436     0.027652       0.2212
L4_RORB_MME               SET    1046    -0.019511   -0.0044632     0.029892      0.74302
L5-6_THEMIS_CNR1          SET    1255    -0.012158   -0.0030286       0.0272      0.67256
L5-6_THEMIS_dev-1         SET    1001    0.0012965   0.00029049     0.029974      0.48275
