# TOTAL_GENES = 49558
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2295     0.070728     0.014864     0.030732     0.010688
Astro_dev-2               SET    2201     0.049527     0.010203     0.031436     0.057578
Astro_dev-3               SET    1845    0.0065132    0.0012331     0.033511      0.42295
Astro_dev-4               SET    1959     0.010733    0.0020914     0.033239      0.37339
Astro_dev-5               SET    1196     0.015587    0.0023921     0.041416      0.35333
Astro_GFAP                SET    2237     0.058057     0.012053     0.031388     0.032187
Astro_SLC1A2              SET    2315     0.074388     0.015698     0.030486    0.0073445
Astro_SLC1A2_dev          SET    2226      0.03197    0.0066217     0.031585      0.15573
BKGR_NRGN                 SET    2062     0.044521    0.0088906     0.032936     0.088234
CCK_RELN                  SET    1962    0.0060338    0.0011766      0.03273      0.42687
CCK_SORCS1                SET    2078    0.0062351    0.0012497     0.031974      0.42269
CCK_SYT6                  SET    1790    0.0052263   0.00097517     0.034047        0.439
CGE_dev                   SET    1986     0.039431    0.0077339     0.032366      0.11156
ID2_CSMD1                 SET    2031    0.0063112    0.0012512     0.031734      0.42118
ID2_dev                   SET    1863     0.053796     0.010233     0.033312     0.053168
L2_CUX2_LAMP5             SET    2284     0.021725    0.0045551     0.029879      0.23359
L2_CUX2_LAMP5_dev         SET    2167     0.065846     0.013465     0.030499     0.015431
L2-3_CUX2_dev-1           SET    2274    0.0011947   0.00024997     0.029803      0.48401
L2-3_CUX2_dev-2           SET    2289    0.0037012   0.00077686     0.029949      0.45082
L2-3_CUX2_dev-3           SET    2276      0.02738    0.0057314     0.029732      0.17856
L2-3_CUX2_dev-4           SET    2138   -0.0052214   -0.0010609     0.032181      0.56445
L2-3_CUX2_dev-5           SET    2159     0.035538    0.0072543     0.031158      0.12703
L2-3_CUX2_dev-6           SET    2082     0.046152    0.0092589     0.031825      0.07351
L2-3_CUX2_dev-fetal       SET    2129     0.014431    0.0029261     0.031427      0.32305
L3_CUX2_PRSS12            SET    2177     0.039341    0.0080625     0.030031     0.095099
L4_RORB_dev-1             SET    1943     0.022238    0.0043162     0.032213      0.24499
L4_RORB_dev-2             SET    2271     0.096953     0.020274     0.029961   0.00060682
L4_RORB_dev-fetal         SET    2290     0.048465     0.010175     0.030228     0.054437
L4_RORB_LRRK1             SET    2256      0.10968     0.022862     0.029778   0.00011543
L4_RORB_MET               SET    2241     0.090978     0.018904     0.029733    0.0011083
L4_RORB_MME               SET    2134     0.058273     0.011829     0.031197     0.030893
L5-6_THEMIS_CNR1          SET    2083     0.086751     0.017408     0.030804    0.0024312
L5-6_THEMIS_dev-1         SET    2293    0.0087679    0.0018419     0.030191      0.38575
L5-6_THEMIS_dev-2         SET    2243      0.11968     0.024879     0.030728   4.9245e-05
L5-6_THEMIS_NTNG2         SET    1884     0.082245     0.015728     0.033053    0.0064212
