# TOTAL_GENES = 18582
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1447     0.016656    0.0044633     0.040028      0.33867
Astro_dev-2               SET    1272     -0.02974   -0.0075102     0.043113      0.75484
Astro_dev-3               SET    1219    -0.035815   -0.0088673     0.042299      0.80141
Astro_dev-4               SET    1072     -0.11698    -0.027276     0.046115       0.9944
Astro_dev-5               SET     818     0.025071    0.0051433     0.051521      0.31327
Astro_GFAP                SET    1408    -0.022221   -0.0058805     0.040681      0.70754
Astro_SLC1A2              SET    1404    0.0048341    0.0012776     0.040642      0.45266
Astro_SLC1A2_dev          SET    1396    -0.038304    -0.010097      0.04086      0.82573
BKGR_NRGN                 SET    1514    -0.040032    -0.010952     0.039325      0.84565
CCK_RELN                  SET     937     0.015816     0.003461     0.048869      0.37311
CCK_SORCS1                SET     958     -0.07031    -0.015548      0.04827      0.92737
CCK_SYT6                  SET     889    -0.077882    -0.016623     0.049875      0.94079
CGE_dev                   SET     804     0.035765    0.0072769     0.052019      0.24588
ID2_CSMD1                 SET     936   -0.0090119    -0.001971     0.048103       0.5743
ID2_dev                   SET     892     0.038249    0.0081768     0.050137      0.22277
L2_CUX2_LAMP5             SET    1265    -0.022519   -0.0056721     0.041835       0.7048
L2_CUX2_LAMP5_dev         SET    1130      0.04684     0.011194     0.043906      0.14304
L2-3_CUX2_dev-1           SET    1260   -0.0028108   -0.0007067     0.042112      0.52661
L2-3_CUX2_dev-2           SET    1219     -0.02705   -0.0066973     0.042386      0.73832
L2-3_CUX2_dev-3           SET    1232    -0.049256    -0.012255      0.04229      0.87792
L2-3_CUX2_dev-4           SET     991    -0.056208     -0.01263     0.046324      0.88749
L2-3_CUX2_dev-5           SET    1254    -0.001525  -0.00038256     0.041841      0.51454
L2-3_CUX2_dev-6           SET    1071     0.058055      0.01353      0.04618      0.10436
L2-3_CUX2_dev-fetal       SET     990    -0.020764   -0.0046634     0.046312      0.67305
L3_CUX2_PRSS12            SET    1196     0.017704    0.0043446     0.043073      0.34054
L4_RORB_dev-1             SET     863     -0.09582    -0.020165       0.0494      0.97378
L4_RORB_dev-2             SET    1333     0.039844     0.010282     0.041407      0.16797
L4_RORB_dev-fetal         SET    1011     0.013093    0.0029698     0.047149      0.39063
L4_RORB_LRRK1             SET    1313      0.08438     0.021624     0.041646     0.021385
L4_RORB_MET               SET    1174     0.039371    0.0095787     0.043534       0.1829
L4_RORB_MME               SET    1033     0.024829    0.0056892     0.045835      0.29402
L5-6_THEMIS_CNR1          SET    1244     0.046526     0.011628     0.042188      0.13506
L5-6_THEMIS_dev-1         SET     989   -0.0032284  -0.00072473     0.047309       0.5272
L5-6_THEMIS_dev-2         SET    1250     0.051811     0.012978     0.042513      0.11149
L5-6_THEMIS_NTNG2         SET    1119    0.0050901    0.0012109     0.043802      0.45374
L5-6_TLE4_dev             SET     963     0.028803    0.0063849      0.04712      0.27052
L5-6_TLE4_HTR2C           SET    1118    -0.017934   -0.0042647     0.043992      0.65824
L5-6_TLE4_SCUBE1          SET    1217     0.026566    0.0065724     0.042944      0.26809
L5-6_TLE4_SORCS1          SET    1180     0.082001     0.019998     0.042996     0.028258
LAMP5_CCK                 SET    1116    -0.029367   -0.0069776     0.044902      0.74345
LAMP5_NDNF                SET    1006     0.036885     0.008347     0.047302      0.21777
LAMP5_NOS1                SET    1052    -0.046009    -0.010633     0.046813      0.83715
MGE_dev-1                 SET     887     0.090115     0.019213     0.049599     0.034628
MGE_dev-2                 SET     771     0.066753     0.013313     0.051218     0.096246
