# TOTAL_GENES = 51135
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2314     0.059123     0.012289     0.021727    0.0032543
Astro_dev-2               SET    2224     0.066896     0.013645     0.021812     0.001082
Astro_dev-3               SET    1862     0.051041    0.0095609     0.023289     0.014205
Astro_dev-4               SET    1981     0.053546     0.010333     0.022914    0.0097263
Astro_dev-5               SET    1219      0.01122    0.0017116      0.02853      0.34706
Astro_GFAP                SET    2255     0.032882    0.0067513     0.021624     0.064178
Astro_SLC1A2              SET    2338     0.048764     0.010186     0.021342     0.011162
Astro_SLC1A2_dev          SET    2250     0.058966     0.012094     0.022017    0.0037022
BKGR_NRGN                 SET    2088     0.033272    0.0065848     0.022546     0.070007
CCK_RELN                  SET    2008    0.0088319    0.0017155     0.023013      0.35057
CCK_SORCS1                SET    2107   0.00040257   8.0017e-05     0.022228      0.49278
CCK_SYT6                  SET    1818      0.02115    0.0039164     0.023775      0.18684
CGE_dev                   SET    2016   -0.0016274  -0.00031669     0.022508      0.52882
ID2_CSMD1                 SET    2064   0.00071964   0.00014163     0.022442      0.48721
ID2_dev                   SET    1892    0.0092439    0.0017449     0.023548      0.34733
L2_CUX2_LAMP5             SET    2314     0.050282     0.010452     0.021327    0.0091973
L2_CUX2_LAMP5_dev         SET    2194     0.028558    0.0057872     0.021926     0.096388
L2-3_CUX2_dev-1           SET    2305     0.050441     0.010465     0.021504    0.0094999
L2-3_CUX2_dev-2           SET    2316     -0.01317   -0.0027387      0.02125       0.7323
L2-3_CUX2_dev-3           SET    2297   -0.0064743    -0.001341     0.021315      0.61934
L2-3_CUX2_dev-4           SET    2168  -0.00089743  -0.00018083     0.021217      0.51687
L2-3_CUX2_dev-5           SET    2183     0.034083    0.0068903     0.021511     0.056547
L2-3_CUX2_dev-6           SET    2117   -0.0044642  -0.00088934     0.022031      0.58029
L2-3_CUX2_dev-fetal       SET    2149   -0.0015096   -0.0003029     0.021467      0.52803
L3_CUX2_PRSS12            SET    2199     0.051516     0.010451     0.022156     0.010035
L4_RORB_dev-1             SET    1974    -0.014922   -0.0028746     0.022401      0.74733
L4_RORB_dev-2             SET    2297     0.042542    0.0088118     0.021293     0.022864
L4_RORB_dev-fetal         SET    2313   -0.0046777  -0.00097211     0.021166      0.58745
L4_RORB_LRRK1             SET    2284     0.078839     0.016286     0.021407   0.00011551
L4_RORB_MET               SET    2265     0.041838    0.0086083      0.02185     0.027762
L4_RORB_MME               SET    2162     0.034751    0.0069929     0.022137     0.058235
L5-6_THEMIS_CNR1          SET    2110     0.074915     0.014901     0.022147   0.00035939
L5-6_THEMIS_dev-1         SET    2323     0.015735    0.0032767     0.021115      0.22808
L5-6_THEMIS_dev-2         SET    2269     0.012303    0.0025334     0.021534      0.28389
L5-6_THEMIS_NTNG2         SET    1905      0.06155     0.011657      0.02311    0.0038697
L5-6_TLE4_dev             SET    2314     0.012234    0.0025429     0.020893      0.27909
L5-6_TLE4_HTR2C           SET    2146   -0.0055351   -0.0011099     0.021772      0.60034
L5-6_TLE4_SCUBE1          SET    2292      0.02429     0.005026     0.021489      0.12917
L5-6_TLE4_SORCS1          SET    2253     0.028825    0.0059158     0.021538     0.090392
LAMP5_CCK                 SET    2160     0.031937    0.0064237     0.021954     0.072878
LAMP5_NDNF                SET    2129      0.03613    0.0072171     0.022092     0.050985
LAMP5_NOS1                SET    2091     0.050552     0.010011     0.022379     0.011949
MGE_dev-1                 SET    1995  -0.00055393  -0.00010726     0.022666      0.50975
MGE_dev-2                 SET    1947    0.0080186    0.0015346     0.022348      0.35987
Micro                     SET    2224    -0.030528   -0.0062266     0.021847      0.91883
Micro_out                 SET    1792    -0.061001    -0.011218     0.023643      0.99506
Oligo_mat                 SET    2261     0.019791    0.0040686     0.022003       0.1842
Oligo-1                   SET    2223   -0.0061207   -0.0012481     0.022039      0.60938
Oligo-2                   SET    2241     0.013214    0.0027049     0.021803      0.27224
Oligo-3                   SET    2156     0.034939    0.0070215     0.022169     0.057512
Oligo-4                   SET    1994     0.015335    0.0029686     0.022886      0.25141
Oligo-5                   SET    1891    0.0017465    0.0003296     0.023656      0.47057
OPC                       SET    2350   -0.0042684  -0.00089378     0.021456      0.57884
OPC_dev                   SET    2102    -0.013966   -0.0027728     0.022404      0.73348
OPC_MBP                   SET    2044    0.0066596    0.0013046     0.022702      0.38463
PN_dev                    SET    2317    -0.028077   -0.0058396     0.020943      0.90997
PV_dev                    SET    2082     0.028799    0.0056917     0.022494      0.10022
PV_SCUBE3                 SET    2044    0.0019164   0.00037541     0.022379      0.46588
PV_SCUBE3_dev             SET    1806     0.002191   0.00040442     0.023712      0.46319
PV_SST                    SET    1935    0.0048547   0.00092634     0.022661      0.41518
PV_SULF1                  SET    2061     0.011198    0.0022023     0.022437      0.30887
PV_SULF1_dev              SET    1893     0.044563    0.0084141     0.022999     0.026336
PV_WFDC2                  SET    2218     0.034285    0.0069839     0.021427     0.054792
SST_ADGRG6                SET    2136    0.0091544    0.0018315     0.022222      0.34019
SST_ADGRG6_dev            SET    2067    0.0077174    0.0015199     0.022202      0.36407
SST_B3GAT2                SET    2113    -0.012368   -0.0024616     0.021916      0.71373
SST_BRINP3                SET    1923    -0.017139   -0.0032606     0.023171      0.77024
SST_CALB1                 SET    2060     0.015175    0.0029839     0.022572       0.2507
SST_CALB1_dev             SET    2181     0.051733     0.010454     0.021787     0.008791
SST_NPY                   SET    1624    -0.010317   -0.0018092     0.024671      0.66209
SST_STK32A                SET    2077     0.032353    0.0063866      0.02273     0.077323
SST_TH                    SET    1851    -0.016637   -0.0031075     0.023005      0.76521
Vas_CLDN5                 SET    1553    -0.034228   -0.0058737     0.025631      0.90912
