# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1457     0.018015    0.0048075      0.02998      0.27395
Astro_dev-2               SET    1279    0.0096827    0.0024333     0.031401      0.37891
Astro_dev-3               SET    1229  -0.00015726  -3.8795e-05      0.03102      0.50202
Astro_dev-4               SET    1084     -0.01314   -0.0030567     0.033156      0.65406
Astro_dev-5               SET     834    -0.048094   -0.0098822     0.037918      0.89766
Astro_GFAP                SET    1420    -0.013299   -0.0035072     0.029795      0.67232
Astro_SLC1A2              SET    1416     0.012954    0.0034118     0.030041      0.33317
Astro_SLC1A2_dev          SET    1408    0.0064712       0.0017     0.030134      0.41498
BKGR_NRGN                 SET    1531     0.017808    0.0048611      0.02863      0.26697
CCK_RELN                  SET     960    -0.012917   -0.0028376     0.036026      0.64003
CCK_SORCS1                SET     971    -0.033506   -0.0074005     0.035696      0.82604
CCK_SYT6                  SET     902    -0.015518   -0.0033097     0.037251       0.6615
CGE_dev                   SET     813  -0.00038099  -7.7338e-05      0.03802        0.504
ID2_CSMD1                 SET     957    -0.068755    -0.015082     0.035959      0.97206
ID2_dev                   SET     906    -0.011618   -0.0024831     0.036523      0.62479
L2_CUX2_LAMP5             SET    1276     0.084084     0.021107     0.031441    0.0037475
L2_CUX2_LAMP5_dev         SET    1140     0.069283     0.016502     0.033046     0.018026
L2-3_CUX2_dev-1           SET    1272     0.028878    0.0072385     0.031401      0.17889
L2-3_CUX2_dev-2           SET    1234    -0.032102   -0.0079343     0.031556      0.84549
L2-3_CUX2_dev-3           SET    1242    -0.033391   -0.0082776     0.031423      0.85602
L2-3_CUX2_dev-4           SET    1002    -0.073321    -0.016436     0.032951      0.98696
L2-3_CUX2_dev-5           SET    1265     0.031151    0.0077883     0.031071      0.15805
L2-3_CUX2_dev-6           SET    1086    -0.040073   -0.0093302     0.032981      0.88781
L2-3_CUX2_dev-fetal       SET    1000    -0.040664   -0.0091071      0.03402        0.884
L3_CUX2_PRSS12            SET    1203     0.056716     0.013853     0.032719     0.041523
L4_RORB_dev-1             SET     881    -0.052918    -0.011161     0.036341      0.92732
