# MEAN_SAMPLE_SIZE = 2306
# TOTAL_GENES = 49792
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    2401      0.14275     0.030581     0.037954   8.4763e-05
CGE_dev            SET    1985     0.012311    0.0024086     0.041131      0.38235
ID2                SET    2285    -0.073116      -0.0153      0.03782      0.97339
L2-3_CUX2          SET    2437    -0.020332   -0.0043867     0.035897      0.71444
L4_RORB            SET    2418    -0.036902   -0.0079322     0.036339      0.84507
L5-6_THEMIS        SET    2380    -0.010848   -0.0023144     0.037348      0.61427
L5-6_TLE4          SET    2397    -0.044899   -0.0096112     0.036375      0.89145
LAMP5_NOS1         SET    2057    -0.025406   -0.0050561     0.039882      0.73794
MGE_dev            SET    2105     0.073463     0.014782     0.040302     0.034171
Micro              SET    2234      0.13991     0.028963     0.039994    0.0002346
Oligo              SET    2379      0.18855     0.040217     0.038131   3.8339e-07
OPC                SET    2354       0.1047     0.022221     0.037483    0.0026104
PN_dev             SET    2300    -0.020851   -0.0043767     0.038501      0.70594
Poor-Quality       SET    2059      0.02483    0.0049437     0.041215      0.27344
PV                 SET    2276    -0.022979   -0.0047992      0.03773      0.72874
PV_SCUBE3          SET    2095     0.070243     0.014102     0.039922     0.039249
SST                SET    2308    -0.049494    -0.010406     0.037721      0.90525
Vas                SET    2035      0.21404     0.042378     0.039171   2.3435e-08
VIP                SET    2324    -0.039418    -0.008315     0.037613      0.85268
