# TOTAL_GENES = 49565
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2295      0.14747      0.03099     0.038431   6.2345e-05
Astro_dev-2               SET    2201      0.14907     0.030708     0.039463   7.9411e-05
Astro_dev-3               SET    1845      0.21687     0.041056      0.04184   1.0976e-07
Astro_dev-4               SET    1959     0.070139     0.013666     0.041789     0.046639
Astro_dev-5               SET    1196     0.070419     0.010806     0.051862     0.087265
Astro_GFAP                SET    2237      0.14331      0.02975       0.0393   0.00013316
Astro_SLC1A2              SET    2315      0.15472     0.032647     0.038372   2.7712e-05
Astro_SLC1A2_dev          SET    2226      0.12634     0.026166     0.039633   0.00071785
BKGR_NRGN                 SET    2062     0.020355    0.0040645     0.041382       0.3114
CCK_RELN                  SET    1962     0.011829    0.0023065     0.040894      0.38619
CCK_SORCS1                SET    2078    -0.045599    -0.009139     0.040003      0.87283
CCK_SYT6                  SET    1790    -0.065637    -0.012246     0.042522      0.93865
CGE_dev                   SET    1986     0.031531     0.006184     0.040883      0.22028
ID2_CSMD1                 SET    2031    -0.079713    -0.015802     0.039719      0.97762
ID2_dev                   SET    1863    -0.037324   -0.0070989     0.041872      0.81364
L2_CUX2_LAMP5             SET    2284    -0.057489    -0.012053     0.037303      0.93835
L2_CUX2_LAMP5_dev         SET    2167    -0.095777    -0.019584     0.038089      0.99404
L2-3_CUX2_dev-1           SET    2274    -0.046369   -0.0097016      0.03741      0.89241
L2-3_CUX2_dev-2           SET    2289      0.02841    0.0059627     0.037471      0.22417
L2-3_CUX2_dev-3           SET    2276   -0.0022681  -0.00047474     0.037428      0.52416
L2-3_CUX2_dev-4           SET    2138     0.042457    0.0086258     0.040385      0.14656
L2-3_CUX2_dev-5           SET    2160     0.012126    0.0024757     0.039134      0.37833
L2-3_CUX2_dev-6           SET    2082   -0.0087067   -0.0017466     0.040102      0.58594
L2-3_CUX2_dev-fetal       SET    2129     0.036039    0.0073072     0.039456      0.18052
L3_CUX2_PRSS12            SET    2177   -0.0070257   -0.0014397     0.037609      0.57409
L4_RORB_dev-1             SET    1942  -0.00013677  -2.6537e-05     0.040333      0.50135
L4_RORB_dev-2             SET    2271     0.032748    0.0068473     0.037449      0.19094
L4_RORB_dev-fetal         SET    2290     0.019918    0.0041812     0.037743      0.29885
L4_RORB_LRRK1             SET    2257     0.015027    0.0031328     0.037275      0.34343
L4_RORB_MET               SET    2241   -0.0056978   -0.0011839     0.037348      0.56063
L4_RORB_MME               SET    2133    -0.058457    -0.011863     0.039059      0.93275
L5-6_THEMIS_CNR1          SET    2084     0.018986    0.0038104     0.038553       0.3112
L5-6_THEMIS_dev-1         SET    2293    -0.010626   -0.0022321     0.037901       0.6104
L5-6_THEMIS_dev-2         SET    2243    -0.010003   -0.0020792     0.038497       0.6025
L5-6_THEMIS_NTNG2         SET    1884    -0.022741   -0.0043486     0.041159       0.7097
L5-6_TLE4_dev             SET    2278    -0.046762    -0.009792     0.038356      0.88861
L5-6_TLE4_HTR2C           SET    2107    0.0063423    0.0012796     0.038958      0.43534
L5-6_TLE4_SCUBE1          SET    2263    0.0097329    0.0020317     0.037888      0.39864
L5-6_TLE4_SORCS1          SET    2217    -0.014845   -0.0030686     0.037704       0.6531
LAMP5_CCK                 SET    2120    -0.056095    -0.011351      0.03984      0.92043
LAMP5_NDNF                SET    2093    -0.055913    -0.011245     0.039796      0.91998
LAMP5_NOS1                SET    2061    0.0083348    0.0016639     0.039967       0.4174
