# MEAN_SAMPLE_SIZE = 2306
# TOTAL_GENES = 49792
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET     960     0.090198     0.012403     0.058157     0.060464
CGE_dev            SET     934     -0.10192    -0.013827     0.058143      0.96019
ID2                SET     932     -0.19459    -0.026372     0.056451      0.99972
L2-3_CUX2          SET     964     -0.10809    -0.014894     0.054815      0.97569
L4_RORB            SET     964    -0.075936    -0.010463     0.054751      0.91726
L5-6_THEMIS        SET     964    -0.080085    -0.011035     0.057363      0.91865
L5-6_TLE4          SET     958     -0.16679    -0.022912     0.055675      0.99863
LAMP5_NOS1         SET     947    -0.047413   -0.0064763     0.057058        0.797
MGE_dev            SET     953     0.035334    0.0048413     0.058489      0.27289
Micro              SET     942     0.079324     0.010807     0.060347     0.094351
Oligo              SET     967      0.15493      0.02138     0.057079    0.0033233
OPC                SET     960      0.10713     0.014731     0.057266     0.030696
PN_dev             SET     955    -0.022148   -0.0030378       0.0565      0.65247
Poor-Quality       SET     948    -0.042416   -0.0057967     0.058627       0.7653
PV                 SET     951    -0.081096      -0.0111     0.056065      0.92597
PV_SCUBE3          SET     947        0.048    0.0065565     0.057053      0.20009
SST                SET     938    -0.084711    -0.011517     0.056697      0.93242
Vas                SET     959      0.22721     0.031227     0.056029   2.5119e-05
VIP                SET     941     -0.12605    -0.017164     0.057849      0.98533
