# TOTAL_GENES = 49565
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1662      0.10541     0.018975     0.044544     0.008986
Astro_dev-2               SET    1659      0.15073     0.027111     0.043603   0.00027362
Astro_dev-3               SET    1601      0.23593     0.041713     0.045325   9.7479e-08
Astro_dev-4               SET    1768     0.081752     0.015162     0.043965     0.031486
Astro_dev-5               SET    1201     0.097505     0.014993     0.051992     0.030375
Astro_GFAP                SET    1662      0.13591     0.024467     0.044698    0.0011815
Astro_SLC1A2              SET    1671      0.12877     0.023241     0.044787    0.0020208
Astro_SLC1A2_dev          SET    1663     0.094942     0.017097      0.04416     0.015782
BKGR_NRGN                 SET    1637     0.067759     0.012109     0.046394     0.072081
CCK_RELN                  SET    1745    -0.015543   -0.0028646     0.043331      0.64009
CCK_SORCS1                SET    1783    -0.029044   -0.0054087     0.042475      0.75295
CCK_SYT6                  SET    1717    -0.040542    -0.007414     0.043852      0.82239
CGE_dev                   SET    1620     0.080132     0.014248     0.045271     0.038363
ID2_CSMD1                 SET    1736     -0.06621    -0.012172     0.043305      0.93686
ID2_dev                   SET    1628     0.043917    0.0078275     0.045705      0.16831
L2_CUX2_LAMP5             SET    1776    0.0020703   0.00038482     0.041911       0.4803
L2_CUX2_LAMP5_dev         SET    1754    -0.092553      -0.0171     0.042151      0.98594
L2-3_CUX2_dev-1           SET    1746    -0.034105   -0.0062873      0.04167      0.79345
L2-3_CUX2_dev-2           SET    1791     0.017397    0.0032467     0.041544       0.3377
L2-3_CUX2_dev-3           SET    1787    0.0097606    0.0018196     0.041241      0.40646
L2-3_CUX2_dev-4           SET    1678     0.067423     0.012194     0.045015     0.067099
L2-3_CUX2_dev-5           SET    1760     0.047668    0.0088216     0.043075      0.13423
L2-3_CUX2_dev-6           SET    1714     0.084654     0.015468     0.043469     0.025745
L2-3_CUX2_dev-fetal       SET    1732     0.020447    0.0037549     0.043754      0.32014
L3_CUX2_PRSS12            SET    1760    -0.029581   -0.0054745     0.041087      0.76423
L4_RORB_dev-1             SET    1819     0.010734    0.0020183     0.041148       0.3971
L4_RORB_dev-2             SET    1695    -0.007749   -0.0014083     0.044216      0.56956
L4_RORB_dev-fetal         SET    1769     0.024594    0.0045626     0.042403      0.28096
L4_RORB_LRRK1             SET    1748    -0.020692   -0.0038167     0.041989      0.68892
L4_RORB_MET               SET    1795     0.049768     0.009298     0.041575      0.11564
L4_RORB_MME               SET    1781     0.013822    0.0025726     0.041739      0.37027
L5-6_THEMIS_CNR1          SET    1693     0.053563     0.009729     0.041883      0.10047
L5-6_THEMIS_dev-1         SET    1795    -0.019766   -0.0036929     0.042414       0.6794
