# TOTAL_GENES = 30982
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     848      0.14097     0.023001     0.061776      0.01125
Astro_dev-2               SET     929     0.036651    0.0062507      0.05889      0.26686
Astro_dev-3               SET     626      0.13621     0.019166     0.070516     0.026707
Astro_dev-4               SET     887      0.13117     0.021875     0.058352     0.012295
Astro_dev-5               SET     378      0.13421     0.014733     0.090418     0.068874
Astro_GFAP                SET     829      0.12364     0.019953     0.062404     0.023782
Astro_SLC1A2              SET     911       0.1752     0.029599     0.058528    0.0013805
Astro_SLC1A2_dev          SET     830      0.14301     0.023092     0.061994     0.010537
BKGR_NRGN                 SET     548    -0.037267   -0.0049123     0.073568      0.69377
CCK_RELN                  SET    1025     0.038007    0.0067979     0.055135      0.24531
CCK_SORCS1                SET    1120    -0.048197   -0.0089967     0.054212        0.813
CCK_SYT6                  SET     901     0.036007    0.0060505     0.059049      0.27101
CGE_dev                   SET    1182     0.065748     0.012595     0.051495      0.10085
ID2_CSMD1                 SET    1095     0.020492    0.0037838     0.054292      0.35292
ID2_dev                   SET     971    -0.021172    -0.003689     0.054771      0.65046
L2_CUX2_LAMP5             SET    1019     -0.05339   -0.0095221     0.055112      0.83366
L2_CUX2_LAMP5_dev         SET    1037     -0.15002    -0.026983     0.055236      0.99669
L2-3_CUX2_dev-1           SET    1014    -0.088293     -0.01571     0.056272      0.94167
L2-3_CUX2_dev-2           SET    1070   -0.0028271  -0.00051625     0.054085      0.52084
L2-3_CUX2_dev-3           SET    1044    -0.030592   -0.0055203     0.054566      0.71248
L2-3_CUX2_dev-4           SET    1147      0.13905     0.026254      0.05294    0.0043163
L2-3_CUX2_dev-5           SET     905     0.033371    0.0056196     0.058046      0.28268
L2-3_CUX2_dev-6           SET    1011   -0.0077478   -0.0013766     0.056576      0.55446
L2-3_CUX2_dev-fetal       SET    1139     0.012715    0.0023928     0.052087      0.40357
L3_CUX2_PRSS12            SET     981       -0.058    -0.010156     0.056422      0.84801
L4_RORB_dev-1             SET    1080     0.034433    0.0063159     0.052366      0.25542
L4_RORB_dev-2             SET     938     0.071324     0.012221     0.056618      0.10389
L4_RORB_dev-fetal         SET    1279     0.044618    0.0088766     0.048811      0.18034
L4_RORB_LRRK1             SET     943     0.051788    0.0088966     0.058718       0.1889
L4_RORB_MET               SET    1067    -0.067744    -0.012354      0.05438      0.89356
L4_RORB_MME               SET    1101    -0.088199    -0.016329     0.053738      0.94962
L5-6_THEMIS_CNR1          SET     839  -0.00091994  -0.00014933     0.061577      0.50596
L5-6_THEMIS_dev-1         SET    1304     0.081527      0.01637     0.048703     0.047077
L5-6_THEMIS_dev-2         SET     993    -0.019945   -0.0035131     0.057018      0.63675
L5-6_THEMIS_NTNG2         SET     765    -0.015587   -0.0024189     0.063518      0.59692
