# TOTAL_GENES = 18583
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1447     0.098932     0.026511     0.050769     0.025678
Astro_dev-2               SET    1272      0.14651     0.036997     0.054544    0.0036195
Astro_dev-3               SET    1219      0.21015     0.052029     0.053573   4.4018e-05
Astro_dev-4               SET    1072     0.030857    0.0071945     0.058553      0.29911
Astro_dev-5               SET     818       0.0741     0.015201     0.065413      0.12866
Astro_GFAP                SET    1408      0.12256     0.032433     0.051574    0.0087504
Astro_SLC1A2              SET    1404      0.10969      0.02899     0.051584     0.016743
Astro_SLC1A2_dev          SET    1396       0.1109     0.029232     0.051908     0.016332
BKGR_NRGN                 SET    1514    -0.080044    -0.021897     0.049774      0.94609
CCK_RELN                  SET     937     -0.19722    -0.043156     0.061672      0.99931
CCK_SORCS1                SET     958     -0.20435    -0.045188      0.06104      0.99959
CCK_SYT6                  SET     889     -0.20442    -0.043629     0.062636      0.99945
CGE_dev                   SET     804    -0.027742   -0.0056443     0.066054      0.66275
ID2_CSMD1                 SET     936     -0.29479    -0.064473     0.060752            1
ID2_dev                   SET     892    -0.041411   -0.0088527     0.063329      0.74341
L2_CUX2_LAMP5             SET    1265     -0.10045    -0.025302     0.053417      0.96997
L2_CUX2_LAMP5_dev         SET    1130     -0.15318    -0.036608     0.055772      0.99698
L2-3_CUX2_dev-1           SET    1260    -0.088952    -0.022364     0.053618      0.95143
L2-3_CUX2_dev-2           SET    1219    -0.035787   -0.0088602     0.053833       0.7469
L2-3_CUX2_dev-3           SET    1232    -0.081963    -0.020393     0.053797      0.93618
L2-3_CUX2_dev-4           SET     991     -0.03375   -0.0075834     0.058769      0.71711
L2-3_CUX2_dev-5           SET    1255  -0.00034309    -8.61e-05     0.053176      0.50257
L2-3_CUX2_dev-6           SET    1071   -0.0065929   -0.0015365     0.058783      0.54465
L2-3_CUX2_dev-fetal       SET     990    -0.071572    -0.016074     0.059024      0.88734
L3_CUX2_PRSS12            SET    1196    -0.067654    -0.016602     0.054917        0.891
L4_RORB_dev-1             SET     862     -0.12528    -0.026351     0.062644      0.97724
L4_RORB_dev-2             SET    1333    -0.063339    -0.016345     0.052468      0.88631
L4_RORB_dev-fetal         SET    1011    -0.066141    -0.015002     0.059827      0.86553
L4_RORB_LRRK1             SET    1314    -0.065622    -0.016822     0.053151       0.8915
L4_RORB_MET               SET    1174    -0.052691    -0.012819     0.055529      0.82865
L4_RORB_MME               SET    1032    -0.073647    -0.016867     0.058483      0.89602
L5-6_THEMIS_CNR1          SET    1245    -0.026623   -0.0066564     0.053516      0.69057
L5-6_THEMIS_dev-1         SET     989     -0.12838    -0.028818     0.059873      0.98398
L5-6_THEMIS_dev-2         SET    1250     -0.13791    -0.034544     0.053698      0.99488
L5-6_THEMIS_NTNG2         SET    1119     -0.07442    -0.017704     0.055614      0.90957
L5-6_TLE4_dev             SET     963    -0.097348    -0.021579     0.059839       0.9481
L5-6_TLE4_HTR2C           SET    1118    -0.094165    -0.022392     0.056002      0.95365
L5-6_TLE4_SCUBE1          SET    1217    -0.072994    -0.018058     0.054478      0.90985
L5-6_TLE4_SORCS1          SET    1180    -0.046412    -0.011318     0.054684      0.80197
LAMP5_CCK                 SET    1116     -0.19516    -0.046368     0.056904       0.9997
LAMP5_NDNF                SET    1006     -0.16306    -0.036899     0.059985      0.99672
LAMP5_NOS1                SET    1052     -0.13923    -0.032176     0.059126      0.99072
MGE_dev-1                 SET     887    0.0069889    0.0014901     0.062763      0.45567
MGE_dev-2                 SET     771    -0.025202   -0.0050258     0.065211      0.65042
Micro                     SET    1575     0.062362     0.017369     0.049344      0.10316
Micro_out                 SET    1307    -0.026951   -0.0068918      0.05323      0.69368
Oligo_mat                 SET    1519       0.1637      0.04485     0.049557   0.00047904
Oligo-1                   SET    1497      0.18307     0.049825     0.049115   9.7136e-05
Oligo-2                   SET    1485      0.13355     0.036214      0.04925    0.0033514
Oligo-3                   SET    1562      0.20307     0.056348      0.04777   1.0712e-05
Oligo-4                   SET    1356      0.15008     0.039035     0.050501    0.0014826
