# MEAN_SAMPLE_SIZE = 2306
# TOTAL_GENES = 49792
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     963      0.15993     0.022025     0.058807    0.0032709
Astro_dev-2               SET     966      0.15884     0.021909     0.058244    0.0031958
Astro_dev-3               SET     964      0.25298     0.034858     0.057466   5.3742e-06
Astro_dev-4               SET     953     0.085159     0.011668        0.059     0.074463
Astro_dev-5               SET     963     0.082368     0.011344     0.057678     0.076642
Astro_GFAP                SET     961     0.092444     0.012718     0.059347     0.059661
Astro_SLC1A2              SET     963        0.105      0.01446     0.059137     0.037912
Astro_SLC1A2_dev          SET     962      0.15575     0.021439      0.05923    0.0042769
BKGR_NRGN                 SET     948    -0.048823   -0.0066724      0.05863       0.7975
CCK_RELN                  SET     931    -0.065631   -0.0088901     0.057817      0.87184
CCK_SORCS1                SET     938    -0.087973     -0.01196     0.057542      0.93684
CCK_SYT6                  SET     948    -0.080818    -0.011045     0.057868      0.91873
CGE_dev                   SET     935    -0.098909    -0.013426      0.05818      0.95543
ID2_CSMD1                 SET     941     -0.18927    -0.025772     0.056845      0.99956
ID2_dev                   SET     933    -0.086509    -0.011731     0.057809      0.93273
L2_CUX2_LAMP5             SET     970     -0.12794    -0.017682     0.055535      0.98938
L2_CUX2_LAMP5_dev         SET     965     -0.19188    -0.026452      0.05508      0.99975
L2-3_CUX2_dev-1           SET     960     -0.13186    -0.018132     0.055454      0.99129
L2-3_CUX2_dev-2           SET     957    -0.014957   -0.0020536     0.056695      0.60404
L2-3_CUX2_dev-3           SET     968     -0.01861   -0.0025695     0.054946      0.63258
L2-3_CUX2_dev-4           SET     952    -0.044517   -0.0060965     0.059774      0.77179
L2-3_CUX2_dev-5           SET     961    -0.021097   -0.0029026     0.058746      0.64025
L2-3_CUX2_dev-6           SET     956    -0.046989   -0.0064482     0.057531      0.79296
L2-3_CUX2_dev-fetal       SET     957    0.0056898    0.0007812     0.056991      0.46024
L3_CUX2_PRSS12            SET     968     -0.10318    -0.014245     0.054568      0.97067
L4_RORB_dev-1             SET     947    -0.028431   -0.0038836     0.057309      0.69009
L4_RORB_dev-2             SET     953     0.045856    0.0062831     0.056246      0.20746
L4_RORB_dev-fetal         SET     962    -0.017924   -0.0024673      0.05655      0.62436
L4_RORB_LRRK1             SET     967    -0.021254   -0.0029331      0.05528      0.64969
L4_RORB_MET               SET     966    -0.040022   -0.0055202     0.055632      0.76405
L4_RORB_MME               SET     962    -0.061773   -0.0085031     0.055949      0.86522
L5-6_THEMIS_CNR1          SET     963    -0.013688   -0.0018851     0.055071      0.59815
L5-6_THEMIS_dev-1         SET     956    -0.065407   -0.0089757     0.057146       0.8738
L5-6_THEMIS_dev-2         SET     962     0.012687    0.0017463     0.057002      0.41194
L5-6_THEMIS_NTNG2         SET     971     0.018112    0.0025045     0.055822       0.3728
L5-6_TLE4_dev             SET     950    -0.098024     -0.01341      0.05588       0.9603
L5-6_TLE4_HTR2C           SET     953    -0.044156   -0.0060501     0.056334      0.78343
L5-6_TLE4_SCUBE1          SET     966     -0.12687    -0.017499     0.056033      0.98822
L5-6_TLE4_SORCS1          SET     945   0.00027812    3.795e-05     0.055466        0.498
LAMP5_CCK                 SET     937     -0.11083     -0.01506     0.059387      0.96899
LAMP5_NDNF                SET     934     -0.11225    -0.015229     0.058575      0.97234
LAMP5_NOS1                SET     944    -0.022222   -0.0030307     0.057405      0.65066
MGE_dev-1                 SET     950    0.0008374   0.00011456     0.059222      0.49436
MGE_dev-2                 SET     944     0.022004     0.003001     0.056676      0.34892
Micro                     SET     939     0.080158     0.010904     0.060847     0.093861
Micro_out                 SET     940     0.052178    0.0071013     0.060386      0.19378
Oligo_mat                 SET     968      0.13981     0.019303     0.057067    0.0071478
Oligo-1                   SET     961         0.19     0.026139     0.056993   0.00042908
Oligo-2                   SET     967     0.092306     0.012738     0.056617     0.051518
Oligo-3                   SET     965      0.13744     0.018947     0.057147    0.0080902
Oligo-4                   SET     967      0.14958     0.020642     0.056602    0.0041154
Oligo-5                   SET     964     0.058506    0.0080616     0.057709      0.15534
OPC                       SET     952      0.12174     0.016672     0.057226       0.0167
OPC_dev                   SET     953     0.024019    0.0032909     0.057698       0.3386
OPC_MBP                   SET     955     0.095566     0.013108     0.057849     0.049273
PN_dev                    SET     947    -0.034438   -0.0047041     0.056897       0.7275
PV_dev                    SET     939      -0.0761    -0.010352     0.058393      0.90375
PV_SCUBE3                 SET     948     0.091823     0.012549     0.057808     0.056102
PV_SCUBE3_dev             SET     937    0.0094085    0.0012785     0.056956       0.4344
PV_SST                    SET     941     -0.10258    -0.013968     0.057431      0.96295
PV_SULF1                  SET     945    -0.068264   -0.0093148     0.057089       0.8841
PV_SULF1_dev              SET     949    -0.062644   -0.0085656     0.057979      0.86003
PV_WFDC2                  SET     948   -0.0047721  -0.00065218     0.057593      0.53302
SST_ADGRG6                SET     946   -0.0062099  -0.00084779     0.057494      0.54301
SST_ADGRG6_dev            SET     941    -0.059601   -0.0081157     0.057072      0.85182
SST_B3GAT2                SET     944     0.014302    0.0019505     0.057706      0.40213
SST_BRINP3                SET     948    -0.046868   -0.0064051     0.056454      0.79678
SST_CALB1                 SET     957    -0.019515   -0.0026793     0.057637      0.63254
SST_CALB1_dev             SET     938    -0.087253    -0.011863     0.058847      0.93092
SST_NPY                   SET     949     0.014166     0.001937     0.055743       0.3997
SST_STK32A                SET     943    -0.046068   -0.0062796     0.058104      0.78607
SST_TH                    SET     953     -0.12248    -0.016781     0.056651      0.98468
Vas_CLDN5                 SET     957      0.20113     0.027615     0.056968   0.00020767
Vas_PDGFRB                SET     966         0.26     0.035862     0.056449   2.0621e-06
Vas_TBX18                 SET     954      0.20936       0.0287     0.056575   0.00010777
VIP_ABI3BP                SET     941     -0.10119    -0.013779     0.058701      0.95763
VIP_ADAMTSL1              SET     947   -0.0088655    -0.001211     0.056861      0.56195
VIP_CHRM2                 SET     946    -0.067033   -0.0091515     0.057938      0.87635
VIP_CRH                   SET     946    -0.097854    -0.013359     0.056907      0.95724
VIP_dev                   SET     950    -0.072839   -0.0099648     0.058313      0.89418
VIP_DPP6                  SET     959    -0.046819   -0.0064348     0.056835      0.79496
VIP_HS3ST3A1              SET     954     -0.11886    -0.016294     0.057443      0.98073
VIP_KIRREL3               SET     946    -0.047472   -0.0064811     0.057971      0.79358
VIP_PCDH20                SET     942    -0.038226   -0.0052079     0.059256      0.74057
