# MEAN_SAMPLE_SIZE = 2306
# TOTAL_GENES = 49792
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    1916      0.11618     0.022348     0.042032     0.002855
CGE_dev            SET    1885     0.017089    0.0032614        0.042      0.34205
ID2                SET    1859    -0.088156    -0.016713     0.041395      0.98339
L2-3_CUX2          SET    1934    -0.057981    -0.011203     0.039525       0.9288
L4_RORB            SET    1927    -0.069733     -0.01345     0.040109      0.95894
L5-6_THEMIS        SET    1914    -0.032737    -0.006294      0.04097      0.78787
L5-6_TLE4          SET    1916    -0.078348    -0.015071     0.040138      0.97452
LAMP5_NOS1         SET    1882    -0.036515   -0.0069636     0.041397      0.81113
MGE_dev            SET    1890     0.051081    0.0097613      0.04242      0.11427
Micro              SET    1896      0.11076     0.021198     0.043198    0.0051759
Oligo              SET    1925      0.19481     0.037558     0.041905   1.6752e-06
OPC                SET    1902     0.090647     0.017375     0.041396     0.014275
PN_dev             SET    1894    0.0036144    0.0006914     0.041919      0.46564
Poor-Quality       SET    1885    0.0085833    0.0016382     0.042971      0.42084
PV                 SET    1893    -0.042826   -0.0081901     0.041032      0.85169
PV_SCUBE3          SET    1885      0.07651     0.014602      0.04154     0.032755
SST                SET    1869    -0.040461   -0.0076906     0.041464      0.83542
Vas                SET    1917      0.20321     0.039098      0.04046   2.5657e-07
VIP                SET    1867     -0.05611     -0.01066     0.041356      0.91257
