# TOTAL_GENES = 49565
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1916      0.15499     0.029879     0.041695   0.00010086
Astro_dev-2               SET    1911      0.14365     0.027658     0.042218   0.00033416
Astro_dev-3               SET    1905      0.21048     0.040464     0.041323   1.7685e-07
Astro_dev-4               SET    1897     0.060073     0.011525     0.042364     0.078099
Astro_dev-5               SET    1914      0.16077     0.030976     0.042153   6.8546e-05
Astro_GFAP                SET    1913      0.11914      0.02295     0.042269    0.0024138
Astro_SLC1A2              SET    1915      0.15127     0.029153     0.041983   0.00015754
Astro_SLC1A2_dev          SET    1911      0.13694     0.026366     0.042145     0.000579
BKGR_NRGN                 SET    1883    0.0048625   0.00092959     0.043167      0.45516
CCK_RELN                  SET    1859   -0.0039745  -0.00075516      0.04181      0.53787
CCK_SORCS1                SET    1894    -0.069822    -0.013386     0.041313      0.95449
CCK_SYT6                  SET    1892    -0.056975    -0.010917     0.041526      0.91497
CGE_dev                   SET    1889     0.017214    0.0032959      0.04189      0.34056
ID2_CSMD1                 SET    1883    -0.087318    -0.016693     0.041173      0.98303
ID2_dev                   SET    1872    -0.028939   -0.0055169     0.041786       0.7557
L2_CUX2_LAMP5             SET    1924    -0.071765    -0.013862     0.040392      0.96219
L2_CUX2_LAMP5_dev         SET    1925     -0.11325    -0.021881      0.04065      0.99733
L2-3_CUX2_dev-1           SET    1918    -0.075363    -0.014536     0.040445      0.96879
L2-3_CUX2_dev-2           SET    1901    -0.016789   -0.0032244     0.040624       0.6603
L2-3_CUX2_dev-3           SET    1913      -0.0168   -0.0032362     0.040499      0.66086
L2-3_CUX2_dev-4           SET    1895     0.031917    0.0061203     0.042658      0.22717
L2-3_CUX2_dev-5           SET    1931    -0.012252   -0.0023708      0.04184      0.61517
L2-3_CUX2_dev-6           SET    1898    -0.014976   -0.0028739     0.041764      0.64004
L2-3_CUX2_dev-fetal       SET    1906     0.033571    0.0064555     0.041139      0.20724
L3_CUX2_PRSS12            SET    1929    -0.041357   -0.0079985     0.039645      0.85156
L4_RORB_dev-1             SET    1895    -0.001702  -0.00032637     0.040532      0.51675
L4_RORB_dev-2             SET    1904      0.02659    0.0051105     0.040681      0.25668
L4_RORB_dev-fetal         SET    1905     0.013718    0.0026373     0.041039      0.36909
L4_RORB_LRRK1             SET    1918   -0.0078991   -0.0015235     0.039892      0.57848
L4_RORB_MET               SET    1924    0.0098718    0.0019069     0.040098      0.40277
L4_RORB_MME               SET    1918    -0.070042    -0.013509     0.040783      0.95704
L5-6_THEMIS_CNR1          SET    1918    0.0090111     0.001738     0.040118      0.41114
L5-6_THEMIS_dev-1         SET    1895      -0.0239    -0.004583     0.041234      0.71891
L5-6_THEMIS_dev-2         SET    1908   -0.0079191   -0.0015236      0.04171      0.57529
L5-6_THEMIS_NTNG2         SET    1921     -0.02145   -0.0041403      0.04099      0.69962
L5-6_TLE4_dev             SET    1909    -0.048489   -0.0093312      0.04134      0.87959
L5-6_TLE4_HTR2C           SET    1905     0.021217    0.0040789     0.040491      0.30014
L5-6_TLE4_SCUBE1          SET    1921    -0.023639   -0.0045628     0.040856      0.71857
L5-6_TLE4_SORCS1          SET    1890     0.012416    0.0023778     0.040613      0.37992
LAMP5_CCK                 SET    1875    -0.067762    -0.012928     0.042227      0.94571
LAMP5_NDNF                SET    1874    -0.068984    -0.013158     0.041751      0.95076
LAMP5_NOS1                SET    1885    -0.012213   -0.0023359     0.041516      0.61568
MGE_dev-1                 SET    1882       0.0906     0.017316     0.042976     0.017513
MGE_dev-2                 SET    1871     0.057202     0.010902     0.040904     0.080994
Micro                     SET    1894      0.11054     0.021192     0.043145    0.0052055
Micro_out                 SET    1895     0.077101     0.014785     0.042872     0.036063
Oligo_mat                 SET    1927      0.18043     0.034878     0.042324   1.0111e-05
Oligo-1                   SET    1911      0.18412      0.03545     0.041633   4.8972e-06
Oligo-2                   SET    1920      0.15255     0.029438     0.041781   0.00013074
Oligo-3                   SET    1930      0.20888     0.040407      0.04157   2.5365e-07
Oligo-4                   SET    1922      0.15476     0.029879     0.041331   9.0568e-05
Oligo-5                   SET    1925      0.14058     0.027161     0.041096   0.00031275
OPC                       SET    1900      0.11055     0.021225     0.041118    0.0035899
OPC_dev                   SET    1904     0.094672     0.018196      0.04189     0.011914
