# TOTAL_GENES = 50414
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2309     0.020616    0.0043098     0.019536      0.14566
Astro_dev-2               SET    2217     0.013718    0.0028129     0.019928      0.24561
Astro_dev-3               SET    1854      0.01369    0.0025767     0.021217      0.25938
Astro_dev-4               SET    1975     0.031614    0.0061337      0.02063     0.062706
Astro_dev-5               SET    1209    0.0095707    0.0014642     0.026092      0.35688
Astro_GFAP                SET    2249    -0.038302   -0.0079074     0.019684      0.97416
Astro_SLC1A2              SET    2329   -0.0069746   -0.0014641      0.01949      0.63978
Astro_SLC1A2_dev          SET    2243    0.0051736    0.0010667      0.01975      0.39668
BKGR_NRGN                 SET    2084    -0.010647   -0.0021194     0.020283      0.70017
CCK_RELN                  SET    1987    -0.013314   -0.0025906     0.020934      0.73761
CCK_SORCS1                SET    2100    0.0050108    0.0010012     0.020071      0.40143
CCK_SYT6                  SET    1805   -0.0090332   -0.0016784     0.021662      0.66166
CGE_dev                   SET    2009     0.017486    0.0034203     0.020238       0.1938
ID2_CSMD1                 SET    2052    -0.019878    -0.003928      0.02077      0.83073
ID2_dev                   SET    1882     0.027633    0.0052384     0.021136     0.095543
L2_CUX2_LAMP5             SET    2301   -0.0094706   -0.0019766      0.01947      0.68667
L2_CUX2_LAMP5_dev         SET    2180    0.0019183   0.00039019     0.019911      0.46162
L2-3_CUX2_dev-1           SET    2292     0.029217    0.0060866     0.019684     0.068862
L2-3_CUX2_dev-2           SET    2304    -0.012666   -0.0026451     0.019362      0.74349
L2-3_CUX2_dev-3           SET    2294     0.033399    0.0069606     0.019791     0.045747
L2-3_CUX2_dev-4           SET    2156     0.019075    0.0038596     0.019617      0.16544
L2-3_CUX2_dev-5           SET    2174   -0.0030458  -0.00061871     0.019775       0.5612
L2-3_CUX2_dev-6           SET    2104    0.0042562   0.00085117     0.020343      0.41714
L2-3_CUX2_dev-fetal       SET    2140     0.032978    0.0066487     0.019842     0.048261
L3_CUX2_PRSS12            SET    2191    -0.007053    -0.001438     0.020178      0.63665
L4_RORB_dev-1             SET    1961     0.029563    0.0057161     0.020485     0.074493
L4_RORB_dev-2             SET    2287      0.04355    0.0090629      0.01952     0.012844
L4_RORB_dev-fetal         SET    2305     0.030731    0.0064192     0.019311     0.055768
L4_RORB_LRRK1             SET    2271     0.025808    0.0053528     0.019908     0.097438
L4_RORB_MET               SET    2257     0.011931    0.0024672     0.019876      0.27417
L4_RORB_MME               SET    2154     0.017427    0.0035245     0.020157      0.19364
L5-6_THEMIS_CNR1          SET    2100    -0.016259   -0.0032486     0.020435      0.78688
L5-6_THEMIS_dev-1         SET    2313     0.029967      0.00627     0.019388     0.061096
L5-6_THEMIS_dev-2         SET    2261     0.021999    0.0045533     0.019836      0.13371
L5-6_THEMIS_NTNG2         SET    1897      0.01265    0.0024072     0.020975      0.27323
L5-6_TLE4_dev             SET    2302     0.032921    0.0068724     0.019327      0.04425
L5-6_TLE4_HTR2C           SET    2125   -0.0014558  -0.00029253      0.01987       0.5292
L5-6_TLE4_SCUBE1          SET    2279     0.033122    0.0068813     0.019782     0.047034
L5-6_TLE4_SORCS1          SET    2237     0.015598     0.003212      0.01971      0.21437
LAMP5_CCK                 SET    2147    0.0020179   0.00040748     0.020209      0.46023
LAMP5_NDNF                SET    2115     0.021416    0.0042936      0.02018      0.14429
LAMP5_NOS1                SET    2080      0.02143    0.0042621     0.020786      0.15128
MGE_dev-1                 SET    1985     0.021793    0.0042383     0.020258      0.14102
MGE_dev-2                 SET    1935     0.027842     0.005349     0.020505     0.087267
Micro                     SET    2208    -0.020766   -0.0042497     0.020134      0.84882
Micro_out                 SET    1777   -0.0063755   -0.0011757     0.021876      0.61464
Oligo_mat                 SET    2252   -0.0072266   -0.0014929     0.019895      0.64179
Oligo-1                   SET    2216   -0.0032427  -0.00066475     0.019976      0.56448
Oligo-2                   SET    2232  -0.00039752  -8.1771e-05     0.019855      0.50799
Oligo-3                   SET    2150     -0.01986   -0.0040129     0.020099      0.83844
Oligo-4                   SET    1986    -0.010481   -0.0020388     0.020798      0.69284
Oligo-5                   SET    1884   0.00031732   6.0186e-05     0.021325      0.49406
OPC                       SET    2340      0.04028    0.0084743     0.019817     0.021053
OPC_dev                   SET    2098     0.052841     0.010553     0.020622    0.0051995
OPC_MBP                   SET    2041    0.0093422    0.0018413     0.020842      0.32699
PN_dev                    SET    2302      0.03113    0.0064985     0.019125     0.051793
