# TOTAL_GENES = 50921
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
L4_RORB_LRRK1-GO:0003008~sys...       SET     193        0.157    0.0096474     0.068989     0.011435 L4_RORB_LRRK1-GO:0003008~system_process
L4_RORB_LRRK1-GO:0006811~ion...       SET     185      0.12149    0.0073097     0.071504     0.044656 L4_RORB_LRRK1-GO:0006811~ion_transport
L4_RORB_LRRK1-GO:0006813~pot...       SET      52      0.15177    0.0048476      0.13661      0.13328 L4_RORB_LRRK1-GO:0006813~potassium_ion_transport
L4_RORB_LRRK1-GO:0006836~neu...       SET      43      0.20893     0.006069      0.14404     0.073455 L4_RORB_LRRK1-GO:0006836~neurotransmitter_transport
L4_RORB_LRRK1-GO:0007186~G-p...       SET     106      0.29399     0.013399     0.096718    0.0011853 L4_RORB_LRRK1-GO:0007186~G-protein_coupled_receptor_signaling_pathway
L4_RORB_LRRK1-GO:0007267~cel...       SET     195      0.25731     0.015893     0.069666   0.00011078 L4_RORB_LRRK1-GO:0007267~cell-cell_signaling
L4_RORB_LRRK1-GO:0007268~che...       SET     126      0.32389     0.016092      0.08516   7.1503e-05 L4_RORB_LRRK1-GO:0007268~chemical_synaptic_transmission
L4_RORB_LRRK1-GO:0007270~neu...       SET      33       0.1809    0.0046036      0.16787      0.14061 L4_RORB_LRRK1-GO:0007270~neuron-neuron_synaptic_transmission
L4_RORB_LRRK1-GO:0007399~ner...       SET     245      0.26634      0.01843     0.062039   8.8353e-06 L4_RORB_LRRK1-GO:0007399~nervous_system_development
L4_RORB_LRRK1-GO:0019226~tra...       SET      23      0.21341    0.0045347       0.1987      0.14141 L4_RORB_LRRK1-GO:0019226~transmission_of_nerve_impulse
L4_RORB_LRRK1-GO:0042391~reg...       SET      74      0.39577     0.015076      0.11406   0.00026072 L4_RORB_LRRK1-GO:0042391~regulation_of_membrane_potential
L4_RORB_LRRK1-GO:0043269~reg...       SET      87     0.050961    0.0021047      0.10435      0.31265 L4_RORB_LRRK1-GO:0043269~regulation_of_ion_transport
L4_RORB_LRRK1-GO:0046903~sec...       SET     114      0.25555     0.012078     0.093528    0.0031463 L4_RORB_LRRK1-GO:0046903~secretion
L4_RORB_LRRK1-GO:0050804~mod...       SET      94      0.48539     0.020836     0.097656    3.356e-07 L4_RORB_LRRK1-GO:0050804~modulation_of_synaptic_transmission
L4_RORB_LRRK1-GO:0050808~syn...       SET      74       0.3644     0.013881      0.11358   0.00066814 L4_RORB_LRRK1-GO:0050808~synapse_organization
L4_RORB_LRRK1-GO:0050877~neu...       SET     126      0.21289     0.010577     0.084095    0.0056796 L4_RORB_LRRK1-GO:0050877~neurological_system_process
L4_RORB_LRRK1-GO:0055085~tra...       SET     160      0.12461    0.0069743     0.077724     0.054438 L4_RORB_LRRK1-GO:0055085~transmembrane_transport
L4_RORB_LRRK1-GO:0060078~reg...       SET      32      0.50964     0.012772      0.18072    0.0024018 L4_RORB_LRRK1-GO:0060078~regulation_of_postsynaptic_membrane_potential
L4_RORB_LRRK1-GO:0071805~pot...       SET      47      0.16358    0.0049674      0.14109      0.12315 L4_RORB_LRRK1-GO:0071805~potassium_ion_transmembrane_transport
L4_RORB_LRRK1-GO:0098660~ino...       SET     115      0.11674    0.0055414     0.090022     0.097361 L4_RORB_LRRK1-GO:0098660~inorganic_ion_transmembrane_transport
