# TOTAL_GENES = 50921
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2310     0.030083    0.0062604     0.021984     0.085598
Astro_dev-2               SET    2220     0.015788    0.0032238     0.022044      0.23694
Astro_dev-3               SET    1857     0.041959    0.0078654     0.023649     0.038017
Astro_dev-4               SET    1977     0.033187    0.0064111     0.023121     0.075597
Astro_dev-5               SET    1211     0.016329    0.0024881     0.028971       0.2865
Astro_GFAP                SET    2249   -0.0057716   -0.0011859     0.021939      0.60375
Astro_SLC1A2              SET    2330     0.013643    0.0028509     0.021678      0.26456
Astro_SLC1A2_dev          SET    2244    0.0052416    0.0010758     0.022475       0.4078
BKGR_NRGN                 SET    2085   -0.0096656   -0.0019154     0.022611      0.66548
CCK_RELN                  SET    1998     0.015695    0.0030473     0.023567      0.25272
CCK_SORCS1                SET    2106     0.022328     0.004446     0.022235      0.15765
CCK_SYT6                  SET    1806    -0.012463   -0.0023051     0.024004      0.69819
CGE_dev                   SET    2010     0.021983    0.0042806     0.022469      0.16395
ID2_CSMD1                 SET    2063    -0.010007    -0.001973     0.022799      0.66964
ID2_dev                   SET    1886     0.028423    0.0053679     0.023166      0.10993
L2_CUX2_LAMP5             SET    2306       0.0123    0.0025576     0.021372      0.28247
L2_CUX2_LAMP5_dev         SET    2187     0.023916    0.0048488     0.021653      0.13468
L2-3_CUX2_dev-1           SET    2298       0.0593      0.01231     0.021588    0.0030096
L2-3_CUX2_dev-2           SET    2311     0.016105    0.0033522     0.021394       0.2258
L2-3_CUX2_dev-3           SET    2300     0.024216    0.0050289     0.021264       0.1274
L2-3_CUX2_dev-4           SET    2160     0.009142    0.0018425     0.021647      0.33639
L2-3_CUX2_dev-5           SET    2179     0.027759    0.0056181     0.021878      0.10226
L2-3_CUX2_dev-6           SET    2117     0.027783     0.005546     0.022497      0.10842
L2-3_CUX2_dev-fetal       SET    2142     0.056092      0.01126     0.021692    0.0048598
L3_CUX2_PRSS12            SET    2199     0.044079    0.0089602     0.021909     0.022116
L4_RORB_dev-1             SET    1968   0.00088451    0.0001705     0.022281      0.48417
L4_RORB_dev-2             SET    2289     0.031074    0.0064386       0.0214     0.073248
L4_RORB_dev-fetal         SET    2308     0.081147      0.01688     0.021238   6.6636e-05
L4_RORB_LRRK1             SET    2275     0.081194     0.016774     0.021576   8.4039e-05
L4_RORB_MET               SET    2261     0.081972     0.016885     0.021945   9.3917e-05
L4_RORB_MME               SET    2160     0.046089     0.009289     0.022256     0.019191
L5-6_THEMIS_CNR1          SET    2105     0.070789     0.014092     0.022066   0.00066872
L5-6_THEMIS_dev-1         SET    2318      0.06019     0.012546     0.021076    0.0021475
L5-6_THEMIS_dev-2         SET    2263     0.069921     0.014409      0.02171   0.00064018
L5-6_THEMIS_NTNG2         SET    1904      0.05205     0.009875     0.023514     0.013431
L5-6_TLE4_dev             SET    2309     0.070752     0.014721     0.021165   0.00041506
L5-6_TLE4_HTR2C           SET    2138     0.059738     0.011981     0.022106    0.0034439
L5-6_TLE4_SCUBE1          SET    2285     0.033859    0.0070097     0.021617      0.05864
L5-6_TLE4_SORCS1          SET    2244     0.025613     0.005257     0.021611      0.11798
LAMP5_CCK                 SET    2156     0.016972    0.0034175     0.022534      0.22568
LAMP5_NDNF                SET    2123      0.03418    0.0068321     0.022487     0.064264
LAMP5_NOS1                SET    2091     0.064434     0.012786     0.022646    0.0022203
MGE_dev-1                 SET    1989     0.045378    0.0087916     0.022702     0.022813
MGE_dev-2                 SET    1944      0.04643    0.0088971     0.022917     0.021388
Micro                     SET    2223    -0.055746    -0.011391     0.022024      0.99431
Micro_out                 SET    1788    -0.054858    -0.010098     0.024157      0.98842
Oligo_mat                 SET    2251     0.018365     0.003775     0.022395       0.2061
Oligo-1                   SET    2218   -0.0047073  -0.00096081     0.022273      0.58369
Oligo-2                   SET    2233    0.0084293    0.0017261     0.022163      0.35185
Oligo-3                   SET    2146    0.0082286    0.0016533     0.022304      0.35609
Oligo-4                   SET    1987    -0.010415   -0.0020168     0.023393      0.67191
Oligo-5                   SET    1884   -0.0033619  -0.00063459     0.023857      0.55603
OPC                       SET    2346    0.0044712   0.00093734     0.021731      0.41849
OPC_dev                   SET    2103     0.020865    0.0041518      0.02282      0.18027
OPC_MBP                   SET    2045    -0.010618   -0.0020846     0.023182      0.67653
PN_dev                    SET    2313     0.045439    0.0094619     0.021318     0.016529
PV_dev                    SET    2077     0.044281    0.0087588     0.023164     0.027964
PV_SCUBE3                 SET    2038     -0.00239  -0.00046847     0.022681      0.54196
PV_SCUBE3_dev             SET    1801     0.025168    0.0046488     0.024246      0.14964
PV_SST                    SET    1922     0.030951    0.0058986     0.023145     0.090571
PV_SULF1                  SET    2059     0.038394    0.0075628     0.022817     0.046222
PV_SULF1_dev              SET    1892     0.024778    0.0046867     0.023486      0.14571
PV_WFDC2                  SET    2213     0.036342    0.0074098     0.022152     0.050451
SST_ADGRG6                SET    2128     0.055401     0.011086     0.022226    0.0063419
SST_ADGRG6_dev            SET    2061     0.010612    0.0020913     0.022649       0.3197
