# MEAN_SAMPLE_SIZE = 57028
# TOTAL_GENES = 33497
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET     857     0.049398    0.0077997     0.035308     0.080903
Astro_dev-2               SET     945      0.01055    0.0017469      0.03328      0.37562
Astro_dev-3               SET     631     0.048622    0.0066104     0.040284      0.11372
Astro_dev-4               SET     896     0.063923     0.010314     0.032844     0.025816
Astro_dev-5               SET     382     0.056338     0.005982     0.050105      0.13043
Astro_GFAP                SET     836    -0.011604   -0.0018102      0.03593      0.62664
Astro_SLC1A2              SET     922    0.0099827    0.0016333     0.033886      0.38415
Astro_SLC1A2_dev          SET     842     0.014304    0.0022392     0.035967      0.34543
BKGR_NRGN                 SET     558    -0.040498   -0.0051833     0.042222      0.83126
CCK_RELN                  SET    1045     0.029638    0.0051526     0.031908      0.17649
CCK_SORCS1                SET    1134     0.046766     0.008458     0.030096     0.060113
CCK_SYT6                  SET     909   0.00020609   3.3487e-05     0.033567      0.49755
CGE_dev                   SET    1199     0.086502      0.01607     0.029582     0.001729
ID2_CSMD1                 SET    1106       0.0107     0.001912     0.031151      0.36561
ID2_dev                   SET     982     0.048345    0.0081555     0.031512     0.062503
L2_CUX2_LAMP5             SET    1034     0.047772    0.0082628     0.032431      0.07038
L2_CUX2_LAMP5_dev         SET    1050     0.040777    0.0071055     0.031465     0.097509
L2-3_CUX2_dev-1           SET    1031     0.090889     0.015698     0.032571    0.0026333
L2-3_CUX2_dev-2           SET    1079     0.010121     0.001787     0.031285      0.37316
L2-3_CUX2_dev-3           SET    1057     0.023591    0.0041241     0.032059      0.23091
L2-3_CUX2_dev-4           SET    1162     0.048104    0.0088028     0.029657     0.052407
L2-3_CUX2_dev-5           SET     915     0.040524    0.0066056       0.0337      0.11459
L2-3_CUX2_dev-6           SET    1029     0.043446    0.0074969     0.031964     0.087044
L2-3_CUX2_dev-fetal       SET    1144     0.066473     0.012073     0.029403     0.011892
L3_CUX2_PRSS12            SET     997     0.047912    0.0081421     0.033163     0.074272
L4_RORB_dev-1             SET    1089     0.043155    0.0076537     0.030462     0.078299
L4_RORB_dev-2             SET     945     0.063301     0.010481      0.03348     0.029336
L4_RORB_dev-fetal         SET    1290      0.10673     0.020539     0.028199   7.7043e-05
L4_RORB_LRRK1             SET     954     0.091422     0.015207     0.033964    0.0035565
L4_RORB_MET               SET    1080      0.12401     0.021905     0.032146   5.7411e-05
L4_RORB_MME               SET    1116     0.067859     0.012178     0.031115     0.014598
L5-6_THEMIS_CNR1          SET     855     0.049264    0.0077697     0.035192     0.080781
L5-6_THEMIS_dev-1         SET    1320      0.11892     0.023138     0.028474    1.485e-05
L5-6_THEMIS_dev-2         SET    1005     0.090001     0.015354     0.032422    0.0027543
L5-6_THEMIS_NTNG2         SET     784     0.020129    0.0030432     0.036339      0.28982
