# MEAN_SAMPLE_SIZE = 94515
# TOTAL_GENES = 19616
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    1453   -0.0076849   -0.0020126     0.028923      0.60476
Astro_dev-2               SET    1275     0.018143    0.0044727     0.030943      0.27883
Astro_dev-3               SET    1226    0.0081702    0.0019777     0.030687      0.39503
Astro_dev-4               SET    1081    0.0051206    0.0011685     0.032798      0.43797
Astro_dev-5               SET     829   -0.0096184   -0.0019351     0.037962      0.60001
Astro_GFAP                SET    1413    -0.011136   -0.0028791     0.029287      0.64811
Astro_SLC1A2              SET    1408   -0.0088535   -0.0022853      0.02928      0.61882
Astro_SLC1A2_dev          SET    1402    -0.035209   -0.0090705     0.029404      0.88442
BKGR_NRGN                 SET    1527   -0.0025759  -0.00069018     0.028046      0.53659
CCK_RELN                  SET     953    0.0022616   0.00048624     0.035424      0.47455
CCK_SORCS1                SET     972     0.028908    0.0062737     0.035199      0.20575
CCK_SYT6                  SET     897    -0.012216    -0.002552     0.035843      0.63338
CGE_dev                   SET     811    0.0043568   0.00086739     0.037159      0.45333
ID2_CSMD1                 SET     957    0.0077996    0.0016802     0.034699      0.41108
ID2_dev                   SET     904     0.012556    0.0026326     0.035655      0.36237
L2_CUX2_LAMP5             SET    1272     0.035891    0.0088386     0.030637      0.12071
L2_CUX2_LAMP5_dev         SET    1137     0.027133    0.0063405     0.031494      0.19448
L2-3_CUX2_dev-1           SET    1267     0.063062     0.015501     0.030637     0.019786
L2-3_CUX2_dev-2           SET    1232     0.019124      0.00464     0.030719      0.26679
L2-3_CUX2_dev-3           SET    1243     0.040333    0.0098263     0.030898     0.095891
L2-3_CUX2_dev-4           SET     998   -0.0081255   -0.0017856     0.032861      0.59765
L2-3_CUX2_dev-5           SET    1264     0.045147     0.011085     0.030521     0.069554
L2-3_CUX2_dev-6           SET    1088     0.022217    0.0050853     0.032419      0.24658
L2-3_CUX2_dev-fetal       SET     998     0.041169    0.0090469     0.033639      0.11052
L3_CUX2_PRSS12            SET    1202     0.082389      0.01976     0.031469    0.0044253
L4_RORB_dev-1             SET     879    -0.040108   -0.0082981      0.03518      0.87287
L4_RORB_dev-2             SET    1344     0.019289    0.0048732     0.030013      0.26021
L4_RORB_dev-fetal         SET    1018     0.046608     0.010339      0.03423     0.086674
L4_RORB_LRRK1             SET    1321      0.13836     0.034675     0.029903   1.8722e-06
L4_RORB_MET               SET    1181     0.085728     0.020392     0.031614    0.0033507
L4_RORB_MME               SET    1044     0.076273     0.017122      0.03366     0.011733
