# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
L4_RORB_LRRK1_GO:0003008~sys...       SET     199      0.29999     0.018671     0.079111   7.4849e-05 L4_RORB_LRRK1_GO:0003008~system
L4_RORB_LRRK1_GO:0006813~pot...       SET      52      0.32602     0.010387      0.15117     0.015521 L4_RORB_LRRK1_GO:0006813~potassium
L4_RORB_LRRK1_GO:0007186~G-p...       SET     105       0.1203    0.0054434      0.10981      0.13665 L4_RORB_LRRK1_GO:0007186~G-protein
L4_RORB_LRRK1_GO:0007267~cel...       SET     206      0.41176     0.026072     0.077928   6.3625e-08 L4_RORB_LRRK1_GO:0007267~cell-cell
L4_RORB_LRRK1_GO:0007399~ner...       SET     251      0.47479      0.03317     0.068748   2.5307e-12 L4_RORB_LRRK1_GO:0007399~nervous
L4_RORB_LRRK1_GO:0007416~syn...       SET      34      0.53781     0.013858      0.19345    0.0027179 L4_RORB_LRRK1_GO:0007416~synapse
L4_RORB_LRRK1_GO:0030001~met...       SET     117      0.41789     0.019959      0.10048   1.6018e-05 L4_RORB_LRRK1_GO:0030001~metal
L4_RORB_LRRK1_GO:0030030~cell         SET     154      0.35847     0.019635     0.085607   1.4143e-05 L4_RORB_LRRK1_GO:0030030~cell
L4_RORB_LRRK1_GO:0034762~reg...       SET      83      0.51763     0.020829      0.11715   4.9875e-06 L4_RORB_LRRK1_GO:0034762~regulation
L4_RORB_LRRK1_GO:0034765~reg...       SET      81      0.52133     0.020724      0.11861   5.5486e-06 L4_RORB_LRRK1_GO:0034765~regulation
L4_RORB_LRRK1_GO:0042391~reg...       SET      74      0.55789     0.021199      0.12909    7.764e-06 L4_RORB_LRRK1_GO:0042391~regulation
L4_RORB_LRRK1_GO:0043269~reg...       SET     117      0.40599      0.01939     0.098545   1.8999e-05 L4_RORB_LRRK1_GO:0043269~regulation
L4_RORB_LRRK1_GO:0048167~reg...       SET      49      0.63927     0.019772      0.14959   9.6471e-06 L4_RORB_LRRK1_GO:0048167~regulation
L4_RORB_LRRK1_GO:0048666~neu...       SET     131      0.64075     0.032377     0.094174   5.1737e-12 L4_RORB_LRRK1_GO:0048666~neuron
L4_RORB_LRRK1_GO:0050803~reg...       SET      37      0.87973     0.023646      0.21178   1.6376e-05 L4_RORB_LRRK1_GO:0050803~regulation
L4_RORB_LRRK1_GO:0050804~mod...       SET     103      0.59909      0.02685      0.10638   8.9987e-09 L4_RORB_LRRK1_GO:0050804~modulation
L4_RORB_LRRK1_GO:0050808~syn...       SET      75      0.50615     0.019363       0.1278   3.7461e-05 L4_RORB_LRRK1_GO:0050808~synapse
L4_RORB_LRRK1_GO:0050877~neu...       SET     128      0.44349     0.022152     0.099094   3.8242e-06 L4_RORB_LRRK1_GO:0050877~neurological
L4_RORB_LRRK1_GO:0050906~det...       SET      18      0.19543    0.0036646      0.27263      0.23673 L4_RORB_LRRK1_GO:0050906~detection
L4_RORB_LRRK1_GO:0099536~syn...       SET     139      0.49238     0.025626     0.093723   7.5052e-08 L4_RORB_LRRK1_GO:0099536~synaptic
L4_RORB_LRRK1_GO:0099537~tra...       SET     138      0.50152     0.026008     0.094087   4.9316e-08 L4_RORB_LRRK1_GO:0099537~trans-synaptic
L4_RORB_dev_2_GO:0003008~sys...       SET     191       0.3503     0.021361     0.081284   8.2026e-06 L4_RORB_dev_2_GO:0003008~system
L4_RORB_dev_2_GO:0006813~pot...       SET      36      0.48805      0.01294      0.18001    0.0033527 L4_RORB_dev_2_GO:0006813~potassium
L4_RORB_dev_2_GO:0007186~G-p...       SET      80      0.17806    0.0070345      0.12641     0.079492 L4_RORB_dev_2_GO:0007186~G-protein
L4_RORB_dev_2_GO:0007267~cel...       SET     165      0.40643     0.023041      0.08607    1.172e-06 L4_RORB_dev_2_GO:0007267~cell-cell
L4_RORB_dev_2_GO:0007399~ner...       SET     256      0.48864     0.034474     0.070125   1.6353e-12 L4_RORB_dev_2_GO:0007399~nervous
L4_RORB_dev_2_GO:0007416~syn...       SET      36      0.60335     0.015997      0.19512    0.0009944 L4_RORB_dev_2_GO:0007416~synapse
L4_RORB_dev_2_GO:0030001~met...       SET     122      0.42312     0.020634     0.099893   1.1422e-05 L4_RORB_dev_2_GO:0030001~metal
L4_RORB_dev_2_GO:0030030~cell         SET     179      0.35526     0.020974     0.082245   7.8395e-06 L4_RORB_dev_2_GO:0030030~cell
L4_RORB_dev_2_GO:0034762~reg...       SET      82      0.62147     0.024857      0.12741   5.3879e-07 L4_RORB_dev_2_GO:0034762~regulation
L4_RORB_dev_2_GO:0034765~reg...       SET      81      0.62179     0.024718      0.12859   6.6715e-07 L4_RORB_dev_2_GO:0034765~regulation
L4_RORB_dev_2_GO:0042391~reg...       SET      79      0.48087     0.018879      0.12419   5.4066e-05 L4_RORB_dev_2_GO:0042391~regulation
L4_RORB_dev_2_GO:0043269~reg...       SET     103      0.51994     0.023302      0.11131   1.5051e-06 L4_RORB_dev_2_GO:0043269~regulation
L4_RORB_dev_2_GO:0048666~neu...       SET     137      0.55441     0.028647     0.096525   4.6711e-09 L4_RORB_dev_2_GO:0048666~neuron
L4_RORB_dev_2_GO:0050803~reg...       SET      38      0.58109     0.015829      0.20095    0.0019168 L4_RORB_dev_2_GO:0050803~regulation
L4_RORB_dev_2_GO:0050804~mod...       SET      65      0.65692     0.023397      0.14169   1.7812e-06 L4_RORB_dev_2_GO:0050804~modulation
L4_RORB_dev_2_GO:0050808~syn...       SET      65      0.56804     0.020232      0.14086    2.763e-05 L4_RORB_dev_2_GO:0050808~synapse
L4_RORB_dev_2_GO:0050877~neu...       SET     110      0.43506     0.020149      0.10609   2.0644e-05 L4_RORB_dev_2_GO:0050877~neurological
L4_RORB_dev_2_GO:0099536~syn...       SET      89      0.58336     0.024307      0.11869   4.4566e-07 L4_RORB_dev_2_GO:0099536~synaptic
L4_RORB_dev_2_GO:0099537~tra...       SET      88      0.59924     0.024828      0.11943   2.6304e-07 L4_RORB_dev_2_GO:0099537~trans-synaptic
