# TOTAL_GENES = 51167
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar), one-sided, positive (set x set), two-sided (set x cov)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  MODEL  TERM  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GO:0007399                            SET      1     A    2394      0.13115     0.027697     0.024649   5.2054e-08 GO:0007399
L4_RORB_LRRK1                         SET      1     B    2285      0.06253     0.012916     0.024816    0.0058748 L4_RORB_LRRK1
INTERACT::GO:0007399::L4_ROR...  INTER-SS      1   A*B     245      0.29477     0.020349     0.077192   6.7214e-05 INTERACT::GO:0007399::L4_RORB_LRRK1
GO:0042391                            SET      2     A     428      0.18227     0.016601     0.057357   0.00074243 GO:0042391
L4_RORB_LRRK1                         SET      2     B    2285     0.086882     0.017946     0.023918   0.00014057 L4_RORB_LRRK1
INTERACT::GO:0042391::L4_ROR...  INTER-SS      2   A*B      74      0.31982     0.012154      0.14255     0.012431 INTERACT::GO:0042391::L4_RORB_LRRK1
GO:0006811                            SET      3     A    1599       0.0614     0.010683     0.029989     0.020315 GO:0006811
L4_RORB_LRRK1                         SET      3     B    2285     0.087742     0.018123     0.024615   0.00018246 L4_RORB_LRRK1
INTERACT::GO:0006811::L4_ROR...  INTER-SS      3   A*B     185      0.11272    0.0067655     0.087681     0.099305 INTERACT::GO:0006811::L4_RORB_LRRK1
GO:0098660                            SET      4     A     854      0.14065     0.018018     0.041833   0.00038718 GO:0098660
L4_RORB_LRRK1                         SET      4     B    2285     0.089598     0.018507     0.024246   0.00010995 L4_RORB_LRRK1
INTERACT::GO:0098660::L4_ROR...  INTER-SS      4   A*B     115       0.1049    0.0049677      0.11016      0.17048 INTERACT::GO:0098660::L4_RORB_LRRK1
GO:0003008                            SET      5     A    2068     0.037756    0.0074355     0.026631     0.078137 GO:0003008
L4_RORB_LRRK1                         SET      5     B    2285      0.08395      0.01734     0.024491   0.00030466 L4_RORB_LRRK1
INTERACT::GO:0003008::L4_ROR...  INTER-SS      5   A*B     193      0.19298      0.01183     0.087649     0.013846 INTERACT::GO:0003008::L4_RORB_LRRK1
GO:0007267                            SET      6     A    1495     0.091262      0.01537     0.030693    0.0014736 GO:0007267
L4_RORB_LRRK1                         SET      6     B    2285     0.078915       0.0163     0.024561   0.00065734 L4_RORB_LRRK1
INTERACT::GO:0007267::L4_ROR...  INTER-SS      6   A*B     195      0.20869     0.012859     0.088334    0.0090792 INTERACT::GO:0007267::L4_RORB_LRRK1
GO:0007268                            SET      7     A     648      0.18201     0.020353     0.048459   8.6477e-05 GO:0007268
L4_RORB_LRRK1                         SET      7     B    2285     0.085883     0.017739     0.024213   0.00019511 L4_RORB_LRRK1
INTERACT::GO:0007268::L4_ROR...  INTER-SS      7   A*B     126      0.13799    0.0068393      0.11189      0.10874 INTERACT::GO:0007268::L4_RORB_LRRK1
GO:0050877                            SET      8     A    1322     0.034683    0.0055025      0.03377       0.1522 GO:0050877
L4_RORB_LRRK1                         SET      8     B    2285     0.083451     0.017237     0.024149   0.00027473 L4_RORB_LRRK1
INTERACT::GO:0050877::L4_ROR...  INTER-SS      8   A*B     126      0.31491     0.015608      0.10751    0.0017013 INTERACT::GO:0050877::L4_RORB_LRRK1
