# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    2418     0.017051    0.0036101     0.023661      0.23557
CGE_dev            SET    2014     0.039119    0.0075901     0.024873     0.057895
ID2                SET    2328     0.012748    0.0026508     0.023566      0.29427
L2-3_CUX2          SET    2461     0.037221    0.0079469     0.022849     0.051665
L4_RORB            SET    2438       0.0774     0.016452     0.022925   0.00036786
L5-6_THEMIS        SET    2404     0.074833     0.015801      0.02323   0.00063842
L5-6_TLE4          SET    2430     0.029082     0.006172     0.023213      0.10514
LAMP5_NOS1         SET    2092     0.021937    0.0043346     0.024532       0.1856
MGE_dev            SET    2134     0.062857     0.012539     0.024033    0.0044579
Micro              SET    2271    -0.040224   -0.0082659      0.02375      0.95483
Oligo              SET    2406     0.085406      0.01804     0.023538   0.00014278
OPC                SET    2379     0.036478    0.0076638     0.024042     0.064608
PN_dev             SET    2332     0.047095     0.009801     0.023118     0.020818
Poor-Quality       SET    2083     0.017475    0.0034458     0.024452      0.23741
PV                 SET    2318     0.018424    0.0038232     0.023555      0.21706
PV_SCUBE3          SET    2129     0.022114    0.0044063     0.024473      0.18311
SST                SET    2357    0.0065982    0.0013801     0.023466      0.38929
Vas                SET    2057     -0.11397    -0.022338     0.024208            1
VIP                SET    2361     0.015177     0.003177      0.02344      0.25867
