# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev-1               SET    2314     0.045252    0.0094026     0.024003       0.0297
Astro_dev-2               SET    2225     0.010463    0.0021337     0.024167      0.33253
Astro_dev-3               SET    1862     0.019001    0.0035579     0.025586      0.22885
Astro_dev-4               SET    1980    -0.015308   -0.0029522     0.025418      0.72649
Astro_dev-5               SET    1218     0.031057     0.004734     0.031684      0.16349
Astro_GFAP                SET    2254    -0.016586   -0.0034033     0.023924      0.75593
Astro_SLC1A2              SET    2337      0.01606    0.0033526      0.02373      0.24928
Astro_SLC1A2_dev          SET    2250     0.031697    0.0064986     0.024796      0.10057
BKGR_NRGN                 SET    2088    0.0091969    0.0018194     0.024419      0.35323
CCK_RELN                  SET    2008    0.0058731    0.0011403     0.025271      0.40811
CCK_SORCS1                SET    2107     0.014555     0.002892     0.024297      0.27457
CCK_SYT6                  SET    1818   -0.0094508   -0.0017494     0.025847      0.64268
CGE_dev                   SET    2016     0.042934     0.008352     0.024583     0.040369
ID2_CSMD1                 SET    2063    -0.029808    -0.005863     0.024317      0.88986
ID2_dev                   SET    1891     0.037751    0.0071214      0.02568     0.070777
L2_CUX2_LAMP5             SET    2314     0.031593    0.0065645     0.023258     0.087177
L2_CUX2_LAMP5_dev         SET    2193     0.073175      0.01482     0.024051    0.0011742
L2-3_CUX2_dev-1           SET    2306     0.056367     0.011693     0.023455    0.0081277
L2-3_CUX2_dev-2           SET    2316     0.040504    0.0084193     0.023527      0.04258
L2-3_CUX2_dev-3           SET    2298     0.015072    0.0031214      0.02353      0.26091
L2-3_CUX2_dev-4           SET    2167     0.031785    0.0064007     0.023622     0.089227
L2-3_CUX2_dev-5           SET    2183      0.01957    0.0039548     0.023733      0.20481
L2-3_CUX2_dev-6           SET    2116     0.031308    0.0062333     0.024275     0.098578
L2-3_CUX2_dev-fetal       SET    2149     0.019056    0.0038222     0.023654      0.21023
L3_CUX2_PRSS12            SET    2201    0.0088098    0.0017873     0.024253      0.35821
L4_RORB_dev-1             SET    1974    -0.014238   -0.0027419     0.024535      0.71915
L4_RORB_dev-2             SET    2297      0.11494     0.023798     0.023583   5.4992e-07
L4_RORB_dev-fetal         SET    2313     0.077505     0.016101     0.023473   0.00048067
L4_RORB_LRRK1             SET    2285      0.10003     0.020661     0.023602   1.1283e-05
L4_RORB_MET               SET    2266     0.081855     0.016839     0.023816   0.00029452
