# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET     968    -0.038914   -0.0052897     0.035643      0.86253
CGE_dev            SET     953     0.013531    0.0018253     0.036077      0.35381
ID2                SET     950     0.041346    0.0055687     0.035945      0.12502
L2-3_CUX2          SET     973     0.041964    0.0057186     0.035792      0.12052
L4_RORB            SET     972      0.10369     0.014124     0.035756    0.0018672
L5-6_THEMIS        SET     969     0.061037    0.0083011     0.036169     0.045753
L5-6_TLE4          SET     973     0.019066    0.0025982     0.035508      0.29565
LAMP5_NOS1         SET     965   -0.0029132  -0.00039539     0.035664      0.53255
MGE_dev            SET     965     0.021031    0.0028544     0.035095       0.2745
Micro              SET     966    -0.093579    -0.012707     0.035781      0.99554
Oligo              SET     975     0.058544    0.0079861     0.036647      0.05508
OPC                SET     964    -0.010534    -0.001429     0.037195      0.61149
PN_dev             SET     962     0.060741    0.0082315     0.035769     0.044747
Poor-Quality       SET     959    -0.032077   -0.0043404     0.035613      0.81613
PV                 SET     960   -0.0090944   -0.0012312     0.035105      0.60221
PV_SCUBE3          SET     963       0.0181    0.0024541     0.035659      0.30588
SST                SET     957     0.025238    0.0034114     0.035653      0.23951
Vas                SET     968     -0.11653     -0.01584      0.03448      0.99964
VIP                SET     959    -0.043756   -0.0059206     0.036689      0.88349
