# TOTAL_GENES = 51403
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
Astro              SET    1781     0.015496     0.002834     0.027014      0.28311
CGE_dev            SET    1720      0.12862      0.02313     0.026891   8.6732e-07
ID2                SET    1802     0.022456    0.0041301     0.026327      0.19684
L2-3_CUX2          SET    1859     0.036709    0.0068537     0.025694     0.076554
L4_RORB            SET    1852     0.076184     0.014198     0.025903    0.0016361
L5-6_THEMIS        SET    1846     0.078929     0.014687      0.02617    0.0012814
L5-6_TLE4          SET    1841     0.026997    0.0050169     0.026142      0.15088
LAMP5_NOS1         SET    1778     0.035517    0.0064903     0.026941     0.093706
MGE_dev            SET    1736      0.12834     0.023183     0.026504   6.4508e-07
Micro              SET    1708    -0.036915   -0.0066164     0.027207      0.91258
Oligo              SET    1735     0.082688     0.014933     0.027085    0.0011338
OPC                SET    1758     0.044627    0.0081108     0.027593     0.052907
PN_dev             SET    1812     0.067477     0.012444     0.026116    0.0048889
Poor-Quality       SET    1770     0.023177    0.0042262     0.026615      0.19192
PV                 SET    1801     0.027802     0.005112     0.026474      0.14683
PV_SCUBE3          SET    1806      0.06897     0.012699     0.026513     0.004644
SST                SET    1790     0.033866    0.0062088     0.026275      0.09872
Vas                SET    1766      -0.1057    -0.019253     0.026345      0.99997
VIP                SET    1814     0.030802    0.0056834     0.026238      0.12021
